"","rules","support","confidence","orderedConf","orderedSupp"
"1","{wheelBase=[-Inf;97.3],width=[64.4;Inf],height=[52.5;55.6]} => {XClass=0}",0.118918918073177,1,1,22
"2","{wheelBase=[94.3;97.3],height=[52.8;55.5],cityMpg=[-Inf;30]} => {XClass=0}",0.10810811072588,1,1,3
"3","{normalizedLosses=[-Inf;106],wheelBase=[-Inf;97.2],curbWeight=[2254;Inf]} => {XClass=0}",0.0918918922543526,1,1,3
"4","{length=[170.7;175.4],height=[52.5;55.6]} => {XClass=0}",0.0864864885807037,1,1,2
"5","{wheelBase=[95.1;97.2],horsepower=[-Inf;86],cityMpg=[-Inf;30]} => {XClass=0}",0.0864864885807037,1,1,1
"6","{fuelSystem=2bbl,length=[163.4;172.6],peakRpm=[4900;Inf]} => {XClass=1}",0.0756756737828255,1,1,14
"7","{wheelBase=[-Inf;94.5],height=[52.4;Inf],bore=[2.92;3.17]} => {XClass=1}",0.0756756737828255,1,1,4
"8","{numOfDoors=four,wheelBase=[99.2;Inf],length=[176.8;187.5]} => {XClass=0}",0.0702702701091766,1,1,13
"9","{bodyStyle=sedan,wheelBase=[100.4;Inf],length=[175.7;187.5]} => {XClass=0}",0.0648648664355278,1,1,1
"10","{numOfDoors=four,length=[176.8;187.8],height=[54.3;56]} => {XClass=0}",0.0648648664355278,1,1,3
"11","{fuelSystem=mpfi,wheelBase=[97.2;99.8],highwayMpg=[29;Inf]} => {XClass=2}",0.0594594590365887,1,1,11
"12","{numOfCylinders=four,height=[-Inf;50.5]} => {XClass=3}",0.0540540553629398,1,1,10
"13","{wheelBase=[-Inf;95.3],engineSize=[61;103],cityMpg=[18;30]} => {XClass=1}",0.0540540553629398,1,1,9
"14","{bodyStyle=sedan,length=[175.7;187.8],peakRpm=[-Inf;5121.4673913]} => {XClass=0}",0.0540540553629398,1,1,1
"15","{length=[168.8;169]} => {XClass=3}",0.0486486479640007,1,1,6
"16","{bodyStyle=sedan,wheelBase=[-Inf;103.3],height=[55.6;Inf]} => {XClass=2}",0.0486486479640007,1,1,5
"17","{bodyStyle=sedan,fuelSystem=mpfi,wheelBase=[97.2;99.8]} => {XClass=2}",0.0486486479640007,1,1,2
"18","{height=[55.6;56.5],highwayMpg=[30;Inf]} => {XClass=2}",0.0432432442903519,1,1,1
"19","{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[-Inf;29]} => {XClass=3}",0.0432432442903519,1,1,4
"20","{height=[-Inf;53.2],bore=[-Inf;3.15],cityMpg=[-Inf;30]} => {XClass=1}",0.0432432442903519,1,1,1
"21","{make=peugot} => {XClass=0}",0.0378378368914127,1,1,2
"22","{aspiration=turbo,height=[-Inf;50.5]} => {XClass=3}",0.0378378368914127,1,1,1
"23","{numOfDoors=two,bodyStyle=sedan,wheelBase=[-Inf;97.2]} => {XClass=1}",0.0378378368914127,1,1,1
"24","{make=dodge,length=[-Inf;173]} => {XClass=1}",0.0324324332177639,1,1,4
"25","{wheelBase=[-Inf;Inf],length=[175.7;188.8],peakRpm=[-Inf;4750]} => {XClass=0}",0.0324324332177639,1,1,1
"26","{driveWheels=rwd,engineType=ohc,height=[50.5;52.5]} => {XClass=2}",0.0324324332177639,1,1,1
"27","{aspiration=turbo,height=[50.5;54.1]} => {XClass=1}",0.0270270276814699,1,1,1
"28","{numOfDoors=two,engineType=dohc,engineSize=[103;Inf]} => {XClass=3}",0.0270270276814699,1,1,2
"29","{driveWheels=rwd,length=[189;Inf],peakRpm=[4800;Inf]} => {XClass=0}",0.0270270276814699,1,1,3
"30","{width=[63.9;Inf],curbWeight=[1874;2212],peakRpm=[5100;5900]} => {XClass=2}",0.0270270276814699,1,1,3
"31","{aspiration=turbo,bore=[-Inf;3.15],peakRpm=[4900;Inf]} => {XClass=1}",0.0270270276814699,1,1,1
"32","{make=toyota,width=[-Inf;64.2],curbWeight=[-Inf;2275]} => {XClass=1}",0.0270270276814699,1,1,3
"33","{normalizedLosses=[-Inf;95],bore=[-Inf;3.17],peakRpm=[4900;Inf]} => {XClass=0}",0.0270270276814699,1,1,1
"34","{numOfDoors=four,width=[-Inf;64.4],price=[8013;Inf]} => {XClass=0}",0.0270270276814699,1,1,1
