"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Single_Epi_Cell_Size=[-Inf;2],Bare_Nuclei=1} => {Class=benign}",0.511923670768738,1,1,322
"2","{Cell_Size_Uniformity=1,Bare_Nuclei=1} => {Class=benign}",0.475357711315155,1,1,14
"3","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[-Inf;2],Mitoses=1} => {Class=benign}",0.468998402357101,1,1,29
"4","{Cell_Size_Uniformity=1,Marginal_Adhesion=1,Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.459459453821182,1,1,6
"5","{Marginal_Adhesion=1,Bare_Nuclei=1,Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.454689979553223,1,1,6
"6","{Clump_Thickness=[-Inf;4],Marginal_Adhesion=1} => {Class=benign}",0.426073133945465,1,1,3
"7","{Bare_Nuclei=1,Bland_Chromatin=[-Inf;2],Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.3847376704216,1,1,1
"8","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[-Inf;2],Bland_Chromatin=[-Inf;2],Mitoses=1} => {Class=benign}",0.332273453474045,1,1,1
"9","{Single_Epi_Cell_Size=[-Inf;2],Bland_Chromatin=3,Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.160572335124016,1,1,4
"10","{Cell_Size_Uniformity=1,Bland_Chromatin=3} => {Class=benign}",0.152623206377029,1,1,1
"11","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.151033386588097,1,1,95
"12","{Marginal_Adhesion=1,Bare_Nuclei=1,Bland_Chromatin=3} => {Class=benign}",0.130365654826164,1,1,1
"13","{Cell_Size_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.122416533529758,1,1,30
"14","{Cell_Shape_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.116057232022285,1,1,7
"15","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[4;Inf]} => {Class=malignant}",0.112877584993839,1,1,5
"16","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.104928456246853,1,1,2
"17","{Clump_Thickness=[5;6],Cell_Size_Uniformity=1,Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.10333863645792,1,1,1
"18","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[4;Inf]} => {Class=malignant}",0.101748809218407,1,1,1
"19","{Clump_Thickness=[5;6],Bland_Chromatin=[-Inf;2]} => {Class=benign}",0.0937996804714203,1,1,2
"20","{Normal_Nucleoli=10} => {Class=malignant}",0.0890302062034607,1,1,11
"21","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;9]} => {Class=malignant}",0.0810810774564743,1,1,11
"22","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;9]} => {Class=malignant}",0.0810810774564743,1,1,2
"23","{Marginal_Adhesion=[2;3],Bare_Nuclei=1,Mitoses=1} => {Class=benign}",0.0747217833995819,1,1,2
"24","{Clump_Thickness=[7;Inf],Bare_Nuclei=[6;Inf],Mitoses=1} => {Class=malignant}",0.0731319561600685,1,1,9
"25","{Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[4;Inf],Bare_Nuclei=[6;Inf],Normal_Nucleoli=[3;9]} => {Class=malignant}",0.0699523016810417,1,1,1
"26","{Clump_Thickness=[7;Inf],Single_Epi_Cell_Size=[4;Inf],Bland_Chromatin=[4;Inf],Mitoses=1} => {Class=malignant}",0.0588235296308994,1,1,1
"27","{Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;9],Mitoses=1} => {Class=malignant}",0.0556438788771629,1,1,4
