"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Bare_Nuclei=[9;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.173290938138962,1,1,109
"2","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.158982515335083,1,1,29
"3","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[9;Inf]} => {Class=malignant}",0.152623206377029,1,1,10
"4","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.151033386588097,1,1,27
"5","{Clump_Thickness=[6;Inf],Bare_Nuclei=[9;Inf]} => {Class=malignant}",0.135135129094124,1,1,4
"6","{Cell_Size_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.119236886501312,1,1,4
"7","{Cell_Shape_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.112877584993839,1,1,3
"8","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[4;Inf]} => {Class=malignant}",0.112877584993839,1,1,2
"9","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[4;Inf]} => {Class=malignant}",0.104928456246853,1,1,2
"10","{Normal_Nucleoli=10} => {Class=malignant}",0.0922098532319069,1,1,4
"11","{Clump_Thickness=[7;Inf],Single_Epi_Cell_Size=[4;Inf],Bland_Chromatin=[2;Inf],Mitoses=1} => {Class=malignant}",0.0715421289205551,1,1,1
"12","{Marginal_Adhesion=[1;4],Bare_Nuclei=[9;Inf]} => {Class=malignant}",0.0683624818921089,1,1,1
"13","{Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[2;4],Bare_Nuclei=[3.51712887439;Inf]} => {Class=malignant}",0.0683624818921089,1,1,1
"14","{Clump_Thickness=[6;Inf],Marginal_Adhesion=[1;4],Mitoses=[2;Inf]} => {Class=malignant}",0.0508744046092033,1,1,5
"15","{Clump_Thickness=5,Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[2;Inf]} => {Class=malignant}",0.0461049266159534,1,1,2
"16","{Clump_Thickness=[7;Inf],Bare_Nuclei=[2;6],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0461049266159534,1,1,1
"17","{Single_Epi_Cell_Size=3,Bare_Nuclei=[3;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0445151031017303,1,1,2
"18","{Clump_Thickness=5,Marginal_Adhesion=[4;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0397456288337708,1,1,2
"19","{Cell_Size_Uniformity=[5;Inf],Cell_Shape_Uniformity=[1;4]} => {Class=malignant}",0.0317965038120747,1,1,1
"20","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[4;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0302066765725613,1,1,2
"21","{Single_Epi_Cell_Size=3,Normal_Nucleoli=[3;10],Mitoses=[2;Inf]} => {Class=malignant}",0.0238473769277334,1,1,1
"22","{Cell_Shape_Uniformity=[3;4],Bland_Chromatin=3,Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0174880754202604,1,1,1
"23","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[2;10]} => {Class=malignant}",0.0143084265291691,1,1,1
"24","{} => {Class=benign}",0.65500795841217,0.65500795841217,0.995169082125604,412
