"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Cell_Size_Uniformity=[-Inf;3],Bare_Nuclei=[1;2],Mitoses=[1;3]} => {Class=benign}",0.578696370124817,1,1,364
"2","{Cell_Size_Uniformity=[-Inf;3],Bare_Nuclei=[1;2],Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.575516700744629,1,1,2
"3","{Cell_Shape_Uniformity=[-Inf;2],Bare_Nuclei=[1;3.55537459283],Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.543720185756683,1,1,17
"4","{Single_Epi_Cell_Size=[-Inf;3],Bare_Nuclei=1} => {Class=benign}",0.542130351066589,1,1,1
"5","{Cell_Shape_Uniformity=[-Inf;3],Marginal_Adhesion=[1;2],Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.53259140253067,1,1,12
"6","{Clump_Thickness=[-Inf;6],Marginal_Adhesion=1,Bland_Chromatin=[-Inf;3],Mitoses=[1;2]} => {Class=benign}",0.521462619304657,1,1,4
"7","{Marginal_Adhesion=[1;2],Single_Epi_Cell_Size=[-Inf;5],Bland_Chromatin=[-Inf;2],Mitoses=[1;4]} => {Class=benign}",0.397456288337708,1,1,1
"8","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[5;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.170111283659935,1,1,107
"9","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[5;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.163751989603043,1,1,10
"10","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.157392680644989,1,1,38
"11","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[2;Inf]} => {Class=malignant}",0.151033386588097,1,1,5
"12","{Clump_Thickness=[7;Inf],Single_Epi_Cell_Size=[-Inf;Inf],Bare_Nuclei=[8;Inf]} => {Class=malignant}",0.138314783573151,1,1,15
"13","{Cell_Size_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.124006360769272,1,1,7
"14","{Clump_Thickness=[5;6],Cell_Size_Uniformity=[-Inf;2],Single_Epi_Cell_Size=[-Inf;3]} => {Class=benign}",0.116057232022285,1,1,1
"15","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[4;Inf]} => {Class=malignant}",0.114467412233353,1,1,1
"16","{Clump_Thickness=[5;8],Cell_Size_Uniformity=[-Inf;2],Cell_Shape_Uniformity=[-Inf;2]} => {Class=benign}",0.10810811072588,1,1,1
"17","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;Inf],Mitoses=1} => {Class=malignant}",0.0985691547393799,1,1,2
"18","{Bare_Nuclei=[6;Inf],Normal_Nucleoli=[3;10],Mitoses=1} => {Class=malignant}",0.0890302062034607,1,1,3
"19","{Cell_Size_Uniformity=[-Inf;8],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Mitoses=1} => {Class=malignant}",0.0890302062034607,1,1,8
"20","{Normal_Nucleoli=10} => {Class=malignant}",0.0874403789639473,1,1,3
"21","{Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[-Inf;4],Bare_Nuclei=[5;Inf]} => {Class=malignant}",0.0874403789639473,1,1,1
"22","{Marginal_Adhesion=[2;4],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.0779014304280281,1,1,1
"23","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[4;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.0747217833995819,1,1,1
"24","{Clump_Thickness=[-Inf;5],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0683624818921089,1,1,2
"25","{Cell_Shape_Uniformity=[3;Inf],Marginal_Adhesion=[1;4],Mitoses=[2;Inf]} => {Class=malignant}",0.0572337061166763,1,1,3
"26","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[1;2],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0445151031017303,1,1,1
"27","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0381558015942574,1,1,4
"28","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[4;7],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0365659780800343,1,1,1
"29","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[4;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0286168530583382,1,1,1
"30","{Single_Epi_Cell_Size=[3;4],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[-Inf;2]} => {Class=malignant}",0.0238473769277334,1,1,1
"31","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[2;10]} => {Class=malignant}",0.0111287757754326,1,1,1
"32","{} => {Class=benign}",0.65500795841217,0.65500795841217,0.9,9
