"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Single_Epi_Cell_Size=[1;2],Bare_Nuclei=1} => {Class=benign}",0.519872784614563,1,1,327
"2","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[1;2],Normal_Nucleoli=[1;2],Mitoses=1} => {Class=benign}",0.480127185583115,1,1,29
"3","{Cell_Size_Uniformity=1,Bare_Nuclei=1} => {Class=benign}",0.478537350893021,1,1,11
"4","{Cell_Size_Uniformity=1,Marginal_Adhesion=1,Normal_Nucleoli=[1;2]} => {Class=benign}",0.46740859746933,1,1,6
"5","{Marginal_Adhesion=1,Bare_Nuclei=1,Normal_Nucleoli=[1;2]} => {Class=benign}",0.459459453821182,1,1,5
"6","{Clump_Thickness=[1;4],Marginal_Adhesion=1} => {Class=benign}",0.43402224779129,1,1,3
"7","{Bare_Nuclei=1,Bland_Chromatin=[1;2],Normal_Nucleoli=[1;2]} => {Class=benign}",0.392686814069748,1,1,1
"8","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[1;2],Bland_Chromatin=[1;2],Mitoses=1} => {Class=benign}",0.341812402009964,1,1,1
"9","{Single_Epi_Cell_Size=[1;2],Bland_Chromatin=3,Normal_Nucleoli=[1;2]} => {Class=benign}",0.157392680644989,1,1,3
"10","{Clump_Thickness=[7;10],Cell_Size_Uniformity=[5;10]} => {Class=malignant}",0.154213041067123,1,1,97
"11","{Clump_Thickness=[7;10],Bare_Nuclei=[6;10]} => {Class=malignant}",0.141494438052177,1,1,24
"12","{Clump_Thickness=[7;10],Single_Epi_Cell_Size=[4;10]} => {Class=malignant}",0.139904603362083,1,1,4
"13","{Clump_Thickness=[7;10],Marginal_Adhesion=[4;10]} => {Class=malignant}",0.127186015248299,1,1,2
"14","{Marginal_Adhesion=1,Bare_Nuclei=1,Bland_Chromatin=3} => {Class=benign}",0.127186015248299,1,1,1
"15","{Cell_Size_Uniformity=[5;10],Mitoses=[2;10]} => {Class=malignant}",0.117647059261799,1,1,28
"16","{Single_Epi_Cell_Size=[4;10],Mitoses=[2;10]} => {Class=malignant}",0.111287757754326,1,1,1
"17","{Cell_Shape_Uniformity=[5;10],Mitoses=[2;10]} => {Class=malignant}",0.10810811072588,1,1,1
"18","{Bare_Nuclei=[7;10],Bland_Chromatin=[4;10],Normal_Nucleoli=[3;9]} => {Class=malignant}",0.10810811072588,1,1,19
"19","{Clump_Thickness=[7;10],Mitoses=[2;10]} => {Class=malignant}",0.100158981978893,1,1,2
"20","{Clump_Thickness=[5;6],Cell_Size_Uniformity=1,Normal_Nucleoli=[1;2]} => {Class=benign}",0.100158981978893,1,1,1
"21","{Clump_Thickness=[5;6],Cell_Size_Uniformity=1,Single_Epi_Cell_Size=[1;2]} => {Class=benign}",0.0953895077109337,1,1,1
"22","{Clump_Thickness=[5;6],Bland_Chromatin=[1;2]} => {Class=benign}",0.0906200334429741,1,1,2
"23","{Normal_Nucleoli=10} => {Class=malignant}",0.0826709046959877,1,1,10
"24","{Marginal_Adhesion=[2;3],Bare_Nuclei=1,Mitoses=1} => {Class=benign}",0.0731319561600685,1,1,2
"25","{Cell_Shape_Uniformity=[5;10],Marginal_Adhesion=[4;10],Bare_Nuclei=[7;10],Normal_Nucleoli=[3;9]} => {Class=malignant}",0.0699523016810417,1,1,1
"26","{Cell_Size_Uniformity=[5;10],Marginal_Adhesion=[2;3]} => {Class=malignant}",0.0572337061166763,1,1,3
"27","{Clump_Thickness=[1;4],Cell_Shape_Uniformity=2} => {Class=benign}",0.0540540553629398,1,1,1
"28","{Cell_Shape_Uniformity=[3;4],Single_Epi_Cell_Size=[1;2],Normal_Nucleoli=[1;2]} => {Class=benign}",0.0524642281234264,1,1,2
"29","{Marginal_Adhesion=[2;3],Bare_Nuclei=[6;10]} => {Class=malignant}",0.0508744046092033,1,1,4
"30","{Clump_Thickness=[1;4],Bare_Nuclei=[2;3.55284552846],Normal_Nucleoli=[1;2]} => {Class=benign}",0.0508744046092033,1,1,3
"31","{Marginal_Adhesion=[4;10],Bare_Nuclei=[7;10],Normal_Nucleoli=[3;9],Mitoses=1} => {Class=malignant}",0.0476947538554668,1,1,1
"32","{Clump_Thickness=[7;10],Cell_Shape_Uniformity=[3;4]} => {Class=malignant}",0.0461049266159534,1,1,1
"33","{Clump_Thickness=[1;4],Single_Epi_Cell_Size=[1;2],Bare_Nuclei=[2;3.55284552846]} => {Class=benign}",0.0445151031017303,1,1,1
"34","{Cell_Size_Uniformity=[3;4],Bare_Nuclei=[7;10],Bland_Chromatin=[4;10]} => {Class=malignant}",0.0397456288337708,1,1,1
"35","{Cell_Shape_Uniformity=[3;4],Bare_Nuclei=[7;10],Bland_Chromatin=[4;10]} => {Class=malignant}",0.0381558015942574,1,1,1
"36","{Cell_Shape_Uniformity=[5;10],Single_Epi_Cell_Size=3,Bare_Nuclei=[6;10]} => {Class=malignant}",0.0349761508405209,1,1,2
"37","{Clump_Thickness=[7;10],Marginal_Adhesion=1} => {Class=malignant}",0.0333863273262978,1,1,1
"38","{Single_Epi_Cell_Size=3,Bland_Chromatin=[1;2]} => {Class=benign}",0.0302066765725613,1,1,1
"39","{Cell_Size_Uniformity=[5;10],Cell_Shape_Uniformity=[3;4]} => {Class=malignant}",0.0302066765725613,1,1,1
"40","{Cell_Shape_Uniformity=[5;10],Bare_Nuclei=[4;5],Bland_Chromatin=[4;10]} => {Class=malignant}",0.0302066765725613,1,1,3
"41","{Cell_Size_Uniformity=[6;10],Bare_Nuclei=1} => {Class=malignant}",0.0158982519060373,1,1,2
"42","{Clump_Thickness=[1;4],Marginal_Adhesion=[2;3],Bare_Nuclei=[2;3]} => {Class=benign}",0.0143084265291691,1,1,1
"43","{Marginal_Adhesion=[4;10],Single_Epi_Cell_Size=[4;10],Bare_Nuclei=1} => {Class=malignant}",0.0143084265291691,1,1,1
"44","{Marginal_Adhesion=1,Normal_Nucleoli=[3;9],Mitoses=[2;10]} => {Class=malignant}",0.0111287757754326,1,1,1
"45","{Marginal_Adhesion=[4;10],Single_Epi_Cell_Size=2,Normal_Nucleoli=[3;8]} => {Class=malignant}",0.0111287757754326,1,1,1
"46","{Bare_Nuclei=[7;10],Bland_Chromatin=[4;10]} => {Class=malignant}",0.203497618436813,0.992248058319092,0.5,1
