"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Clump_Thickness=[-Inf;5],Cell_Shape_Uniformity=[-Inf;2],Bare_Nuclei=[1;4]} => {Class=benign}",0.553259134292603,1,1,348
"2","{Single_Epi_Cell_Size=[-Inf;3],Bare_Nuclei=1} => {Class=benign}",0.543720185756683,1,1,36
"3","{Cell_Shape_Uniformity=[-Inf;3],Bare_Nuclei=1} => {Class=benign}",0.542130351066589,1,1,1
"4","{Marginal_Adhesion=[1;3],Bare_Nuclei=1,Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.540540516376495,1,1,1
"5","{Cell_Shape_Uniformity=[-Inf;2],Marginal_Adhesion=[1;2],Normal_Nucleoli=[-Inf;3],Mitoses=1} => {Class=benign}",0.513513505458832,1,1,5
"6","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[-Inf;5],Normal_Nucleoli=[-Inf;2],Mitoses=1} => {Class=benign}",0.508744060993195,1,1,5
"7","{Clump_Thickness=[-Inf;4],Marginal_Adhesion=[1;3],Bare_Nuclei=[1;4]} => {Class=benign}",0.491255968809128,1,1,3
"8","{Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[2;Inf],Bare_Nuclei=[4;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.168521463871002,1,1,106
"9","{Marginal_Adhesion=[1;3],Bare_Nuclei=1,Bland_Chromatin=[3;4]} => {Class=benign}",0.155802860856056,1,1,1
"10","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.154213041067123,1,1,3
"11","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[2;Inf]} => {Class=malignant}",0.14308425784111,1,1,27
"12","{Cell_Size_Uniformity=[1;8],Bare_Nuclei=[8;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.138314783573151,1,1,31
"13","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.116057232022285,1,1,12
"14","{Cell_Shape_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.109697930514812,1,1,5
"15","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[4;Inf]} => {Class=malignant}",0.109697930514812,1,1,4
"16","{Clump_Thickness=[5;9],Cell_Shape_Uniformity=[-Inf;2],Mitoses=1} => {Class=benign}",0.10810811072588,1,1,1
"17","{Clump_Thickness=[5;9],Cell_Size_Uniformity=1,Single_Epi_Cell_Size=[-Inf;3]} => {Class=benign}",0.100158981978893,1,1,1
"18","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;Inf],Mitoses=1} => {Class=malignant}",0.0953895077109337,1,1,1
"19","{Normal_Nucleoli=10} => {Class=malignant}",0.0858505591750145,1,1,6
"20","{Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;10],Mitoses=1} => {Class=malignant}",0.0794912576675415,1,1,1
"21","{Marginal_Adhesion=[2;Inf],Bare_Nuclei=[6;Inf],Normal_Nucleoli=[3;10],Mitoses=1} => {Class=malignant}",0.0794912576675415,1,1,1
"22","{Cell_Size_Uniformity=[4;Inf],Single_Epi_Cell_Size=[-Inf;4],Bare_Nuclei=[8;Inf]} => {Class=malignant}",0.0763116031885147,1,1,1
"23","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[4;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.0747217833995819,1,1,1
"24","{Marginal_Adhesion=[2;4],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.0731319561600685,1,1,1
"25","{Clump_Thickness=[-Inf;5],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0731319561600685,1,1,2
"26","{Clump_Thickness=[-Inf;6],Bare_Nuclei=[2;4],Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.0651828274130821,1,1,1
"27","{Clump_Thickness=[-Inf;7],Single_Epi_Cell_Size=[4;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.0572337061166763,1,1,2
"28","{Clump_Thickness=[6;Inf],Marginal_Adhesion=[1;2],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0492845773696899,1,1,3
"29","{Cell_Size_Uniformity=[4;Inf],Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;3]} => {Class=malignant}",0.0365659780800343,1,1,1
"30","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[4;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0254372023046017,1,1,4
"31","{Cell_Shape_Uniformity=[2;Inf],Marginal_Adhesion=1,Mitoses=[2;Inf]} => {Class=malignant}",0.0206677261739969,1,1,1
"32","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[2;10]} => {Class=malignant}",0.0143084265291691,1,1,2
"33","{} => {Class=benign}",0.65500795841217,0.65500795841217,0.818181818181818,9
