"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Cell_Shape_Uniformity=[-Inf;4],Bare_Nuclei=[1;3.53745928339],Normal_Nucleoli=[-Inf;2],Mitoses=[1;6]} => {Class=benign}",0.589825093746185,1,1,371
"2","{Single_Epi_Cell_Size=[-Inf;3],Bare_Nuclei=1} => {Class=benign}",0.540540516376495,1,1,10
"3","{Cell_Shape_Uniformity=[-Inf;3],Bare_Nuclei=1} => {Class=benign}",0.540540516376495,1,1,1
"4","{Marginal_Adhesion=[1;3],Bare_Nuclei=1,Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.538950741291046,1,NA,0
"5","{Cell_Size_Uniformity=1,Marginal_Adhesion=[1;2],Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.499205082654953,1,1,13
"6","{Clump_Thickness=[-Inf;4],Marginal_Adhesion=[1;3],Bare_Nuclei=[1;4]} => {Class=benign}",0.48330682516098,1,1,1
"7","{Marginal_Adhesion=1,Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[-Inf;2],Mitoses=1} => {Class=benign}",0.476947546005249,1,NA,0
"8","{Clump_Thickness=[-Inf;4],Bare_Nuclei=[1;4],Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.472178071737289,1,NA,0
"9","{Clump_Thickness=[-Inf;4],Marginal_Adhesion=1} => {Class=benign}",0.435612082481384,1,1,1
"10","{Marginal_Adhesion=[1;2],Single_Epi_Cell_Size=[-Inf;5],Bland_Chromatin=[-Inf;2],Mitoses=1} => {Class=benign}",0.3847376704216,1,1,1
"11","{Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[2;Inf],Bare_Nuclei=[4;Inf]} => {Class=malignant}",0.203497618436813,1,1,128
"12","{Bare_Nuclei=[8;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[-Inf;10]} => {Class=malignant}",0.190779015421867,1,1,27
"13","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.186009541153908,1,1,1
"14","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.186009541153908,1,NA,0
"15","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.178060412406921,1,1,2
"16","{Single_Epi_Cell_Size=[-Inf;2],Bland_Chromatin=3,Normal_Nucleoli=[-Inf;2]} => {Class=benign}",0.168521463871002,1,NA,0
"17","{Cell_Shape_Uniformity=[-Inf;2],Bland_Chromatin=3} => {Class=benign}",0.165341809391975,1,1,1
"18","{Marginal_Adhesion=[1;3],Bare_Nuclei=1,Bland_Chromatin=[3;4]} => {Class=benign}",0.160572335124016,1,1,1
"19","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.157392680644989,1,1,25
"20","{Cell_Size_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.120826706290245,1,1,5
"21","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Single_Epi_Cell_Size=[4;Inf]} => {Class=malignant}",0.116057232022285,1,1,2
"22","{Cell_Shape_Uniformity=[5;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.114467412233353,1,1,1
"23","{Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Mitoses=1} => {Class=malignant}",0.114467412233353,1,NA,0
"24","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.114467412233353,1,1,9
"25","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf],Marginal_Adhesion=[4;Inf]} => {Class=malignant}",0.106518283486366,1,NA,0
"26","{Clump_Thickness=[5;Inf],Cell_Size_Uniformity=1,Normal_Nucleoli=[-Inf;3]} => {Class=benign}",0.101748809218407,1,1,2
"27","{Clump_Thickness=[-Inf;7],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.101748809218407,1,NA,0
"28","{Cell_Size_Uniformity=[5;Inf],Marginal_Adhesion=[2;5]} => {Class=malignant}",0.100158981978893,1,NA,0
"29","{Clump_Thickness=[5;9],Cell_Shape_Uniformity=[-Inf;2],Single_Epi_Cell_Size=[-Inf;2]} => {Class=benign}",0.0985691547393799,1,1,1
"30","{Clump_Thickness=[5;7],Bland_Chromatin=[-Inf;2]} => {Class=benign}",0.0937996804714203,1,NA,0
"31","{Normal_Nucleoli=10} => {Class=malignant}",0.0890302062034607,1,1,3
"32","{Clump_Thickness=[6;Inf],Bare_Nuclei=[5;Inf],Mitoses=1} => {Class=malignant}",0.0890302062034607,1,NA,0
"33","{Marginal_Adhesion=[2;Inf],Bare_Nuclei=[6;Inf],Normal_Nucleoli=[3;10],Mitoses=1} => {Class=malignant}",0.0810810774564743,1,1,1
"34","{Marginal_Adhesion=[2;4],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.0779014304280281,1,1,1
"35","{Marginal_Adhesion=[2;3],Bare_Nuclei=1,Mitoses=[1;2]} => {Class=benign}",0.0731319561600685,1,NA,0
"36","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[4;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.0715421289205551,1,NA,0
"37","{Cell_Size_Uniformity=[5;Inf],Normal_Nucleoli=[-Inf;3]} => {Class=malignant}",0.0699523016810417,1,1,1
"38","{Clump_Thickness=[7;Inf],Single_Epi_Cell_Size=[-Inf;3],Bare_Nuclei=[3;Inf]} => {Class=malignant}",0.0667726546525955,1,NA,0
"39","{Cell_Shape_Uniformity=[3;Inf],Marginal_Adhesion=[1;4],Mitoses=[2;Inf]} => {Class=malignant}",0.0604133531451225,1,1,2
"40","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;6]} => {Class=malignant}",0.0524642281234264,1,NA,0
"41","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[1;2],Normal_Nucleoli=[3;10]} => {Class=malignant}",0.0445151031017303,1,NA,0
"42","{Single_Epi_Cell_Size=[3;4],Bland_Chromatin=[-Inf;2]} => {Class=benign}",0.0365659780800343,1,NA,0
"43","{Cell_Size_Uniformity=[5;Inf],Cell_Shape_Uniformity=[-Inf;4]} => {Class=malignant}",0.0317965038120747,1,1,1
"44","{Clump_Thickness=[7;Inf],Single_Epi_Cell_Size=[-Inf;3],Mitoses=[2;Inf]} => {Class=malignant}",0.0317965038120747,1,NA,0
"45","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[4;Inf],Bare_Nuclei=[1;3]} => {Class=malignant}",0.0302066765725613,1,1,2
"46","{Marginal_Adhesion=[4;Inf],Single_Epi_Cell_Size=[-Inf;2],Normal_Nucleoli=[2;10]} => {Class=malignant}",0.0143084265291691,1,1,2
"47","{Clump_Thickness=[-Inf;6],Marginal_Adhesion=1,Bland_Chromatin=[-Inf;3],Mitoses=[1;2]} => {Class=benign}",0.518283009529114,0.996941924095154,0.666666666666667,2
"48","{Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.198728144168854,0.992063462734222,0,0
"49","{Bland_Chromatin=[-Inf;3],Normal_Nucleoli=[-Inf;2],Mitoses=1} => {Class=benign}",0.589825093746185,0.986702144145966,0.5,1
"50","{Cell_Size_Uniformity=[5;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.209856912493706,0.985074639320374,0,0
"51","{Clump_Thickness=[5;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.240063592791557,0.961783468723297,0.666666666666667,2
"52","{Single_Epi_Cell_Size=[3;5],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.133545309305191,0.954545438289642,NA,0
"53","{Clump_Thickness=[-Inf;4],Mitoses=[1;2]} => {Class=benign}",0.496025443077087,0.939759016036987,1,1
"54","{Bland_Chromatin=[-Inf;3]} => {Class=benign}",0.627980947494507,0.899772226810455,1,1
"55","{} => {Class=benign}",0.65500795841217,0.65500795841217,NA,0
