"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A4=y,A8=[0;1],A9=f,A13=g} => {class=-}",0.0885668247938156,1,1,55
"2","{A9=f,A10=t,A13=g,A15=[0;200]} => {class=-}",0.0821256041526794,1,1,44
"3","{A1=b,A9=t,A11=[3;20],A12=f} => {class=+}",0.0740740746259689,1,1,46
"4","{A5=g,A9=t,A12=t,A14=[0;99]} => {class=+}",0.0724637657403946,1,1,45
"5","{A4=y,A8=[0;1],A9=f,A12=f} => {class=-}",0.0708534643054008,1,1,3
"6","{A7=h,A9=t,A15=[284;31285]} => {class=+}",0.0692431554198265,1,1,27
"7","{A3=[0;4.125],A4=y,A9=f,A12=f} => {class=-}",0.0692431554198265,1,1,8
"8","{A4=y,A8=[0;1],A12=f,A15=[0;204]} => {class=-}",0.0692431554198265,1,1,2
"9","{A7=ff,A9=f,A13=g} => {class=-}",0.0644122362136841,1,1,14
"10","{A6=ff,A7=ff,A9=f} => {class=-}",0.0628019347786903,1,1,2
"11","{A4=y,A8=[0;1],A10=f,A12=f} => {class=-}",0.0628019347786903,1,1,1
"12","{A1=b,A4=y,A9=f,A12=f} => {class=-}",0.059581320732832,1,1,2
"13","{A9=t,A10=t,A12=t,A14=[0;99]} => {class=+}",0.0579710155725479,1,1,4
"14","{A1=b,A9=f,A10=t,A13=g} => {class=-}",0.0579710155725479,1,1,7
"15","{A4=y,A7=v,A8=[0;1],A9=f} => {class=-}",0.0515297912061214,1,1,1
"16","{A5=g,A11=[3;67],A12=t,A15=[258;10000]} => {class=+}",0.0515297912061214,1,1,12
"17","{A3=[0.04;4],A9=t,A12=f,A15=[300;15108]} => {class=+}",0.0515297912061214,1,1,9
"18","{A6=c,A9=t,A10=t,A15=[284;18027]} => {class=+}",0.0499194860458374,1,1,4
"19","{A8=[1.04;14],A9=t,A11=[0;2],A15=[278;50000]} => {class=+}",0.0499194860458374,1,1,8
"20","{A1=a,A9=f,A12=t,A13=g} => {class=-}",0.0499194860458374,1,1,13
"21","{A7=h,A9=t,A14=[0;96]} => {class=+}",0.0483091771602631,1,1,4
"22","{A3=[4.79;25.125],A9=t,A12=t,A15=[258;10561]} => {class=+}",0.0483091771602631,1,1,1
"23","{A7=ff,A10=f,A13=g} => {class=-}",0.0434782616794109,1,1,3
"24","{A5=g,A6=c,A8=[1.085;15],A11=[3;20]} => {class=+}",0.0434782616794109,1,1,2
"25","{A8=[1.5;12.5],A11=[3;17],A12=f,A14=[100;520]} => {class=+}",0.0434782616794109,1,1,4
"26","{A6=i,A8=[0;1],A9=f} => {class=-}",0.0418679565191269,1,1,20
"27","{A6=i,A8=[0;1],A14=[100;1160]} => {class=-}",0.0418679565191269,1,1,3
"28","{A1=a,A9=f,A14=[0;92]} => {class=-}",0.0418679565191269,1,1,4
"29","{A1=a,A5=g,A9=f,A12=t} => {class=-}",0.0418679565191269,1,1,1
"30","{A7=h,A8=[1.25;15.5],A10=t,A12=f} => {class=+}",0.0402576476335526,1,1,2
"31","{A1=b,A3=[4.415;25.085],A7=v,A11=[3;67]} => {class=+}",0.0386473424732685,1,1,3
"32","{A3=[4.25;12.835],A9=f,A14=[0;80],A15=[0;228]} => {class=-}",0.0386473424732685,1,1,10
"33","{A6=k,A9=f,A14=[100;380]} => {class=-}",0.0370370373129845,1,1,10
"34","{A6=k,A9=f,A15=[0;80]} => {class=-}",0.0370370373129845,1,1,1
"35","{A3=[4.25;25.125],A10=t,A14=[100;515],A15=[245;51100]} => {class=+}",0.0370370373129845,1,1,1
"36","{A6=x,A10=t} => {class=+}",0.0354267321527004,1,1,6
"37","{A5=g,A6=c,A9=t,A14=[0;96]} => {class=+}",0.0354267321527004,1,1,2
"38","{A6=c,A9=t,A10=t,A12=f} => {class=+}",0.0354267321527004,1,1,2
"39","{A9=t,A11=[3;17],A14=[0;96],A15=[0;221]} => {class=+}",0.0354267321527004,1,1,3
"40","{A3=[0.21;3.5],A9=t,A10=t,A14=[0;96]} => {class=+}",0.0354267321527004,1,1,1
"41","{A1=a,A3=[4.415;13.665],A5=g,A9=f} => {class=-}",0.0354267321527004,1,1,5
"42","{A6=cc,A10=t} => {class=+}",0.0338164232671261,1,1,4
"43","{A6=aa,A9=f} => {class=-}",0.0338164232671261,1,1,9
"44","{A6=i,A9=f,A12=t} => {class=-}",0.0338164232671261,1,1,5
"45","{A3=[4.25;19.5],A6=c,A9=t,A10=t} => {class=+}",0.0338164232671261,1,1,1
"46","{A8=[0;1],A9=t,A11=[3;23],A15=[247;15108]} => {class=+}",0.0338164232671261,1,1,2
"47","{A1=b,A7=ff,A15=[0;146]} => {class=-}",0.032206118106842,1,1,1
"48","{A7=h,A8=[0;0.5],A9=f} => {class=-}",0.032206118106842,1,1,3
"49","{A1=b,A6=aa,A10=f,A13=g} => {class=-}",0.032206118106842,1,1,6
"50","{A3=[4.415;25.085],A7=v,A11=[3;67],A14=[100;520]} => {class=+}",0.032206118106842,1,1,2
"51","{A1=b,A3=[0.085;4],A9=f,A15=[251;4500]} => {class=-}",0.030595812946558,1,1,2
"52","{A5=g,A6=d,A10=f} => {class=-}",0.028985507786274,1,1,11
"53","{A3=[5;19.5],A6=c,A9=t,A14=[0;80]} => {class=+}",0.0273752007633448,1,1,1
"54","{A9=f,A12=t,A13=g,A14=[0;80]} => {class=-}",0.0273752007633448,1,1,2
"55","{A1=a,A3=[5.5;16],A8=[0;1],A9=t} => {class=+}",0.0273752007633448,1,1,4
"56","{A7=h,A9=f,A12=f} => {class=-}",0.0257648956030607,1,1,1
"57","{A7=v,A9=f,A10=f,A13=s} => {class=-}",0.0241545885801315,1,1,5
"58","{A3=[4.5;25.085],A6=w,A8=[1.46;15.5],A9=t} => {class=+}",0.0241545885801315,1,1,3
"59","{A6=x,A9=t,A12=f} => {class=+}",0.0225442834198475,1,1,2
"60","{A7=bb,A8=[1.5;15],A10=t} => {class=+}",0.0225442834198475,1,1,2
"61","{A6=i,A8=[0;1],A10=f,A12=f} => {class=-}",0.0225442834198475,1,1,1
"62","{A3=[0.42;3.125],A6=w,A8=[0.04;0.875],A9=f} => {class=-}",0.0225442834198475,1,1,3
"63","{A3=[4.5;25.125],A5=g,A6=x} => {class=+}",0.0209339782595634,1,1,1
"64","{A3=[4.415;12.625],A6=c,A9=f} => {class=-}",0.0209339782595634,1,1,1
"65","{A9=f,A12=t,A13=g,A15=[251;4500]} => {class=-}",0.0209339782595634,1,1,1
"66","{A1=a,A5=g,A8=[1.25;6.5],A9=f} => {class=-}",0.0209339782595634,1,1,2
"67","{A6=m,A9=t,A13=g} => {class=+}",0.0193236712366343,1,1,4
"68","{A6=m,A7=v,A9=f} => {class=-}",0.0193236712366343,1,1,1
"69","{A4=y,A6=k,A11=[0;2],A15=[0;80]} => {class=-}",0.0193236712366343,1,1,1
"70","{A5=g,A7=bb,A8=[0;1],A9=f} => {class=-}",0.0193236712366343,1,1,2
"71","{A6=q,A7=v,A9=f,A15=[0;160]} => {class=-}",0.0193236712366343,1,1,6
"72","{A6=e,A9=t,A13=g} => {class=+}",0.0177133660763502,1,1,2
"73","{A6=aa,A9=t,A10=t} => {class=+}",0.0177133660763502,1,1,2
"74","{A3=[5;14.585],A6=i,A10=f} => {class=-}",0.0177133660763502,1,1,1
"75","{A6=w,A9=t,A12=f} => {class=+}",0.0177133660763502,1,1,3
"76","{A6=w,A8=[0.04;1],A9=f,A12=f} => {class=-}",0.0177133660763502,1,1,1
"77","{A1=a,A7=h,A8=[0.125;1],A9=t} => {class=+}",0.0177133660763502,1,1,1
"78","{A3=[4.5;25.125],A6=x,A8=[1.625;17.5]} => {class=+}",0.016103059053421,1,1,1
"79","{A5=g,A8=[0;0.875],A12=t,A13=s} => {class=-}",0.016103059053421,1,1,2
"80","{A5=g,A6=w,A9=t,A15=[278;10000]} => {class=+}",0.016103059053421,1,1,1
"81","{A6=q,A8=[1.25;12.75],A11=[0;2],A14=[0;92]} => {class=+}",0.016103059053421,1,1,1
"82","{A4=y,A6=c,A8=[0;1],A11=[0;2]} => {class=-}",0.016103059053421,1,1,1
"83","{A6=e,A9=f,A13=g} => {class=-}",0.014492753893137,1,1,2
"84","{A6=d,A10=f,A12=f} => {class=-}",0.014492753893137,1,1,1
"85","{A1=b,A6=cc,A10=f} => {class=-}",0.014492753893137,1,1,4
"86","{A6=i,A8=[1.5;10],A9=t} => {class=+}",0.014492753893137,1,1,2
"87","{A3=[5;14.585],A7=bb,A10=f} => {class=-}",0.014492753893137,1,1,1
"88","{A3=[0;2.165],A6=k,A12=f,A15=[0;70]} => {class=-}",0.014492753893137,1,1,2
"89","{A6=w,A9=t,A11=[0;1],A15=[278;5800]} => {class=+}",0.014492753893137,1,1,1
"90","{A3=[0.21;3],A6=q,A9=t,A11=[3;23]} => {class=+}",0.014492753893137,1,1,1
"91","{A3=[4.625;16.5],A6=q,A9=t,A10=f} => {class=+}",0.014492753893137,1,1,3
"92","{A1=b,A6=q,A9=t,A10=f} => {class=+}",0.014492753893137,1,1,2
"93","{A1=a,A3=[4.415;19.5],A6=c,A9=t} => {class=+}",0.014492753893137,1,1,2
"94","{A3=[0;3],A4=y,A10=f,A14=[0;86]} => {class=-}",0.014492753893137,1,1,1
"95","{A1=,A10=f} => {class=-}",0.0128824478015304,1,1,2
"96","{A3=[0.42;3],A6=w,A9=f,A12=t} => {class=-}",0.0128824478015304,1,1,1
"97","{A6=q,A12=f,A14=[120;333],A15=[245;26726]} => {class=+}",0.0128824478015304,1,1,1
"98","{A3=[4.415;12.625],A6=c,A8=[0.125;1],A11=[0;2]} => {class=-}",0.0128824478015304,1,1,1
"99","{A6=c,A8=[0.25;1],A9=f,A12=t} => {class=-}",0.0128824478015304,1,1,1
"100","{A6=j,A11=[0;1],A15=[0;184]} => {class=-}",0.0112721417099237,1,1,1
"101","{A3=[0.17;3.29],A6=m,A7=v,A13=s} => {class=-}",0.0112721417099237,1,1,3
