"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A1=b,A9=t,A15=[444;Inf]} => {class=+}",0.106280192732811,1,1,66
"2","{A3=[-Inf;8.46],A8=[1.04;Inf],A9=t,A15=[350;Inf]} => {class=+}",0.0966183543205261,1,1,21
"3","{A3=[-Inf;8.46],A9=t,A11=[1;Inf],A15=[501;Inf]} => {class=+}",0.0917874425649643,1,1,2
"4","{A1=b,A9=t,A11=[3;Inf],A14=[-Inf;130]} => {class=+}",0.0756843835115433,1,1,24
"5","{A8=[1.04;Inf],A9=t,A14=[86;Inf],A15=[350;Inf]} => {class=+}",0.0740740746259689,1,1,2
"6","{A9=t,A11=[-Inf;9],A12=f,A15=[390;Inf]} => {class=+}",0.0740740746259689,1,1,12
"7","{A1=b,A8=[0.415;Inf],A11=[2;Inf],A12=f} => {class=+}",0.0660225450992584,1,1,8
"8","{A8=[1.04;Inf],A9=t,A12=t,A15=[350;Inf]} => {class=+}",0.0628019347786903,1,1,2
"9","{A7=h,A9=t,A15=[221;Inf]} => {class=+}",0.0579710155725479,1,1,5
"10","{A8=[1.335;Inf],A11=[2;Inf],A12=f,A15=[-Inf;960]} => {class=+}",0.0547504015266895,1,1,4
"11","{A11=[3;Inf],A12=t,A15=[350;Inf]} => {class=+}",0.0515297912061214,1,1,3
"12","{A7=h,A8=[0.25;Inf],A10=t,A12=f} => {class=+}",0.046698871999979,1,1,6
"13","{A1=b,A3=[3.54;Inf],A7=v,A11=[3;Inf]} => {class=+}",0.045088566839695,1,1,4
"14","{A8=[-Inf;1.71],A9=t,A11=[3;Inf],A14=[-Inf;130]} => {class=+}",0.045088566839695,1,1,5
"15","{A3=[1.29;Inf],A6=c,A9=t,A10=t} => {class=+}",0.0418679565191269,1,1,4
"16","{A1=a,A3=[3.625;Inf],A8=[-Inf;1.71],A9=t} => {class=+}",0.0418679565191269,1,1,7
"17","{A5=g,A6=c,A9=t,A14=[-Inf;112]} => {class=+}",0.0402576476335526,1,1,3
"18","{A7=h,A9=t,A12=f,A14=[-Inf;110]} => {class=+}",0.0402576476335526,1,1,2
"19","{A5=g,A6=c,A8=[0.835;Inf],A11=[3;Inf]} => {class=+}",0.0386473424732685,1,1,1
"20","{A6=x,A10=t} => {class=+}",0.0354267321527004,1,1,3
"21","{A3=[3.54;Inf],A7=v,A11=[3;Inf],A14=[86;Inf]} => {class=+}",0.0354267321527004,1,1,2
"22","{A6=q,A8=[0.415;Inf],A11=[-Inf;9],A14=[-Inf;102]} => {class=+}",0.0338164232671261,1,1,6
"23","{A6=cc,A10=t} => {class=+}",0.0273752007633448,1,1,4
"24","{A6=x,A12=f} => {class=+}",0.0257648956030607,1,1,3
"25","{A1=b,A6=c,A7=v,A11=[3;Inf]} => {class=+}",0.0257648956030607,1,1,1
"26","{A1=a,A7=h,A8=[-Inf;1.71],A9=t} => {class=+}",0.0257648956030607,1,1,1
"27","{A3=[3.54;Inf],A6=w,A8=[1.21;Inf]} => {class=+}",0.0241545885801315,1,1,6
"28","{A3=[4.25;Inf],A5=g,A6=x} => {class=+}",0.0225442834198475,1,1,1
"29","{A1=b,A5=g,A6=cc,A9=t} => {class=+}",0.0225442834198475,1,1,3
"30","{A5=g,A6=aa,A9=t,A14=[-Inf;195]} => {class=+}",0.0225442834198475,1,1,2
"31","{A6=q,A9=t,A12=t,A14=[-Inf;164]} => {class=+}",0.0225442834198475,1,1,1
"32","{A7=bb,A8=[1.04;Inf],A10=t} => {class=+}",0.0209339782595634,1,1,2
"33","{A6=m,A9=t,A13=g} => {class=+}",0.0193236712366343,1,1,3
"34","{A6=w,A9=t,A12=f} => {class=+}",0.0193236712366343,1,1,1
"35","{A1=b,A6=m,A8=[0.54;Inf],A9=t} => {class=+}",0.0177133660763502,1,1,1
"36","{A7=bb,A8=[1.04;Inf],A9=t,A14=[-Inf;181]} => {class=+}",0.0177133660763502,1,1,1
"37","{A3=[-Inf;Inf],A6=e,A14=[-Inf;99]} => {class=+}",0.016103059053421,1,1,2
"38","{A7=h,A9=t,A10=f,A14=[-Inf;110]} => {class=+}",0.016103059053421,1,1,2
"39","{A5=g,A6=i,A8=[1.04;Inf],A9=t} => {class=+}",0.0128824478015304,1,1,2
"40","{A1=b,A6=q,A9=t,A10=f} => {class=+}",0.0128824478015304,1,1,3
"41","{A1=a,A3=[2.125;Inf],A6=c,A9=t} => {class=+}",0.0128824478015304,1,1,1
"42","{A5=p,A6=w,A9=t,A11=[-Inf;5]} => {class=+}",0.0112721417099237,1,1,1
"43","{A8=[1.04;Inf],A9=t,A15=[350;Inf]} => {class=+}",0.140096619725227,0.988636374473572,0.5,1
"44","{A1=b,A3=[3.54;Inf],A8=[0.04;Inf],A11=[3;Inf]} => {class=+}",0.0885668247938156,0.982142865657806,0.5,1
"45","{A3=[4.04;25.21],A9=t,A12=t,A14=[-Inf;112]} => {class=+}",0.0708534643054008,0.977777779102325,0.666666666666667,2
"46","{A1=b,A5=g,A8=[0.375;Inf],A11=[3;Inf]} => {class=+}",0.119162641465664,0.973684191703796,0.5,1
"47","{A5=g,A7=v,A9=t,A14=[-Inf;112]} => {class=+}",0.0982286632061005,0.968253970146179,0.5,1
"48","{A1=b,A7=v,A9=t,A11=[3;Inf]} => {class=+}",0.0869565233588219,0.964285731315613,0.5,1
"49","{A5=g,A9=t,A12=t,A14=[-Inf;112]} => {class=+}",0.0821256041526794,0.962264180183411,0.5,1
"50","{A3=[3.04;Inf],A8=[1.04;Inf],A10=t,A12=f} => {class=+}",0.0821256041526794,0.962264180183411,0.5,1
"51","{A5=g,A8=[1.04;Inf],A9=t,A10=t} => {class=+}",0.204508855938911,0.954887211322784,0.333333333333333,1
"52","{A5=g,A8=[1.04;Inf],A9=t,A12=f} => {class=+}",0.132045090198517,0.953488349914551,0.6,3
"53","{A6=c,A9=t,A12=f,A14=[-Inf;110]} => {class=+}",0.032206118106842,0.952380955219269,0.5,1
"54","{A6=q,A12=f,A15=[99;Inf]} => {class=+}",0.028985507786274,0.947368443012238,1,2
"55","{A3=[-Inf;9.625],A6=c,A9=t,A12=f} => {class=+}",0.0273752007633448,0.944444417953491,0.666666666666667,2
"56","{A3=[2.665;Inf],A12=f,A14=[-Inf;156],A15=[500;Inf]} => {class=+}",0.0531400963664055,0.942857146263123,0.5,1
"57","{A1=a,A9=t,A10=t,A12=f} => {class=+}",0.059581320732832,0.925000011920929,0.5,1
"58","{A6=e,A9=t} => {class=+}",0.0193236712366343,0.923076927661896,0.5,1
"59","{A1=b,A12=t,A14=[102;Inf],A15=[484;Inf]} => {class=+}",0.0386473424732685,0.888888895511627,0.25,1
"60","{A1=a,A6=cc} => {class=+}",0.0128824478015304,0.888888895511627,0.666666666666667,2
"61","{A5=g,A7=bb,A8=[1.04;Inf],A12=f} => {class=+}",0.0128824478015304,0.888888895511627,0.5,1
"62","{} => {class=-}",0.555555582046509,0.555555582046509,0.947214076246334,323
