"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A9=f,A14=[-Inf;121],A15=[-Inf;2510]} => {class=-}",0.146302253007889,1,1,91
"2","{A3=[1.54;Inf],A9=f,A12=f,A15=[-Inf;2510]} => {class=-}",0.143086820840836,1,1,50
"3","{A2=[-Inf;47.83],A9=f,A14=[-Inf;121]} => {class=-}",0.133440509438515,1,1,3
"4","{A2=[-Inf;47.83],A3=[1.54;Inf],A9=f,A12=f} => {class=-}",0.131832793354988,1,1,2
"5","{A5=p,A9=f,A12=f} => {class=-}",0.0900321528315544,1,1,22
"6","{A5=p,A8=[-Inf;1.46],A9=f,A13=g} => {class=-}",0.0900321528315544,1,1,10
"7","{A9=f,A10=t,A13=g,A15=[-Inf;742]} => {class=-}",0.0868167206645012,1,1,26
"8","{A3=[0.5;Inf],A9=t,A12=t,A15=[234;Inf]} => {class=+}",0.0852090045809746,1,1,53
"9","{A5=p,A8=[-Inf;2.415],A12=f,A15=[-Inf;316]} => {class=-}",0.0819935724139214,1,1,4
"10","{A4=u,A9=t,A12=t,A14=[-Inf;99]} => {class=+}",0.0771704167127609,1,1,28
"11","{A8=[-Inf;1.71],A9=t,A10=t,A15=[221;Inf]} => {class=+}",0.0707395523786545,1,1,28
"12","{A9=t,A11=[3;Inf],A14=[-Inf;99],A15=[-Inf;960]} => {class=+}",0.0707395523786545,1,1,22
"13","{A1=b,A9=t,A11=[3;Inf],A14=[-Inf;130]} => {class=+}",0.0691318362951279,1,1,9
"14","{A8=[1.04;Inf],A9=t,A11=[-Inf;5],A15=[234;Inf]} => {class=+}",0.0675241127610207,1,1,15
"15","{A2=[-Inf;54.42],A7=ff,A13=g} => {class=-}",0.0643086805939674,1,1,6
"16","{A3=[-Inf;5.415],A9=t,A12=f,A15=[204;Inf]} => {class=+}",0.0643086805939674,1,1,9
"17","{A6=c,A8=[-Inf;1.46],A9=f} => {class=-}",0.0627009645104408,1,1,8
"18","{A1=b,A8=[1.04;Inf],A11=[2;Inf],A12=f} => {class=+}",0.0627009645104408,1,1,9
"19","{A7=h,A9=t,A15=[221;Inf]} => {class=+}",0.0610932484269142,1,1,2
"20","{A1=b,A9=f,A10=t,A13=g} => {class=-}",0.0578778125345707,1,1,2
"21","{A2=[37.58;Inf],A9=f,A13=g,A15=[-Inf;2510]} => {class=-}",0.0562700964510441,1,1,8
"22","{A4=u,A6=c,A7=v,A9=f} => {class=-}",0.0546623803675175,1,1,1
"23","{A6=i,A9=f} => {class=-}",0.0530546605587006,1,1,11
"24","{A4=u,A11=[3;Inf],A12=t,A15=[53;Inf]} => {class=+}",0.0530546605587006,1,1,1
"25","{A2=[39.83;73.42],A11=[2;Inf],A14=[-Inf;99]} => {class=+}",0.0498392283916473,1,1,4
"26","{A7=h,A8=[0.25;Inf],A10=t,A12=f} => {class=+}",0.0482315123081207,1,1,5
"27","{A8=[1.335;Inf],A11=[2;Inf],A12=f,A14=[86;Inf]} => {class=+}",0.0450160764157772,1,1,2
"28","{A1=a,A3=[3.75;Inf],A8=[-Inf;1.71],A9=t} => {class=+}",0.0450160764157772,1,1,8
"29","{A1=a,A8=[0.415;Inf],A9=f,A13=g} => {class=-}",0.0450160764157772,1,1,3
"30","{A1=b,A3=[3.54;Inf],A7=v,A11=[3;Inf]} => {class=+}",0.0434083603322506,1,1,3
"31","{A4=u,A6=c,A8=[0.835;Inf],A11=[3;Inf]} => {class=+}",0.0434083603322506,1,1,1
"32","{A7=h,A9=t,A12=f,A14=[-Inf;178]} => {class=+}",0.0434083603322506,1,1,2
"33","{A6=i,A8=[-Inf;1.46],A14=[86;Inf]} => {class=-}",0.041800644248724,1,1,5
"34","{A2=[-Inf;47.83],A6=k,A9=f} => {class=-}",0.041800644248724,1,1,8
"35","{A7=h,A8=[-Inf;2.125],A9=f} => {class=-}",0.041800644248724,1,1,2
"36","{A1=a,A9=f,A12=t,A13=g} => {class=-}",0.041800644248724,1,1,3
"37","{A4=u,A6=c,A9=t,A14=[-Inf;117]} => {class=+}",0.0353697761893272,1,1,2
"38","{A6=cc,A10=t} => {class=+}",0.0337620563805103,1,1,4
"39","{A6=c,A9=t,A10=t,A12=f} => {class=+}",0.0337620563805103,1,1,1
"40","{A3=[3.54;Inf],A7=v,A11=[3;Inf],A12=t} => {class=+}",0.0337620563805103,1,1,2
"41","{A9=f,A12=t,A13=g,A15=[117;Inf]} => {class=-}",0.0337620563805103,1,1,2
"42","{A6=q,A8=[0.415;Inf],A11=[-Inf;9],A14=[-Inf;100]} => {class=+}",0.0337620563805103,1,1,2
"43","{A6=x,A10=t} => {class=+}",0.0321543402969837,1,1,4
"44","{A6=aa,A9=f} => {class=-}",0.0305466242134571,1,1,5
"45","{A1=b,A6=aa,A10=f,A13=g} => {class=-}",0.0289389062672853,1,1,7
"46","{A2=[-Inf;40.92],A7=v,A9=f,A13=s} => {class=-}",0.0289389062672853,1,1,4
"47","{A6=i,A8=[-Inf;5.085],A10=f,A12=f} => {class=-}",0.0273311901837587,1,1,1
"48","{A1=a,A7=h,A8=[-Inf;1.71],A9=t} => {class=+}",0.0273311901837587,1,1,2
"49","{A1=b,A4=u,A6=cc,A9=t} => {class=+}",0.025723472237587,1,1,2
"50","{A2=[39.58;Inf],A4=u,A7=v,A14=[-Inf;100]} => {class=+}",0.025723472237587,1,1,1
"51","{A1=a,A2=[34;Inf],A9=t,A12=f} => {class=+}",0.025723472237587,1,1,1
"52","{A6=x,A9=t,A12=f} => {class=+}",0.0241157561540604,1,1,1
"53","{A3=[-Inf;4.46],A4=u,A12=t,A13=s} => {class=-}",0.0241157561540604,1,1,5
"54","{A3=[-Inf;5.125],A6=w,A8=[-Inf;1.46],A9=f} => {class=-}",0.0241157561540604,1,1,2
"55","{A1=a,A6=c,A8=[0.835;Inf],A9=t} => {class=+}",0.0241157561540604,1,1,2
"56","{A6=m,A9=t,A13=g} => {class=+}",0.0225080382078886,1,1,3
"57","{A3=[3.54;Inf],A6=w,A8=[1.21;Inf],A9=t} => {class=+}",0.0225080382078886,1,1,3
"58","{A3=[-Inf;8.17],A6=q,A10=t,A15=[162;Inf]} => {class=+}",0.0225080382078886,1,1,1
"59","{A2=[37.58;Inf],A5=p,A10=f,A15=[-Inf;300]} => {class=-}",0.0225080382078886,1,1,2
"60","{A3=[-Inf;6.75],A6=q,A9=t,A11=[3;Inf]} => {class=+}",0.0225080382078886,1,1,1
"61","{A7=bb,A8=[0.625;Inf],A10=t} => {class=+}",0.020900322124362,1,1,1
"62","{A3=[4.04;Inf],A6=c,A8=[-Inf;1.96],A11=[-Inf;2]} => {class=-}",0.020900322124362,1,1,2
"63","{A6=w,A9=t,A11=[-Inf;5],A15=[1;Inf]} => {class=+}",0.020900322124362,1,1,1
"64","{A3=[4.25;Inf],A6=x} => {class=+}",0.0192926041781902,1,1,1
"65","{A6=d,A8=[-Inf;1.46],A9=f} => {class=-}",0.0192926041781902,1,1,1
"66","{A4=u,A6=d,A9=f} => {class=-}",0.0192926041781902,1,1,1
"67","{A6=w,A9=t,A12=f} => {class=+}",0.0192926041781902,1,1,2
"68","{A2=[38.17;Inf],A6=q,A8=[0.25;Inf]} => {class=+}",0.0192926041781902,1,1,1
"69","{A3=[1.54;Inf],A6=m,A9=t} => {class=+}",0.0192926041781902,1,1,1
"70","{A2=[-Inf;54.33],A5=p,A6=k,A11=[-Inf;9]} => {class=-}",0.0192926041781902,1,1,2
"71","{A4=u,A6=d,A10=f,A14=[17;Inf]} => {class=-}",0.0192926041781902,1,1,2
