"","rules","support","confidence","orderedConf","orderedSupp"
"1","{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}",0.0466666668653488,1,1,42
"2","{purpose=used car,credit_amount=[1236;3868]} => {class=good}",0.0444444455206394,1,1,17
"3","{checking_status=no checking,purpose=used car,personal_status=male single} => {class=good}",0.0388888902962208,1,1,2
"4","{duration=[10;33],purpose=used car,other_payment_plans=none,housing=own} => {class=good}",0.0355555564165115,1,1,2
"5","{duration=[6;33],purpose=used car,personal_status=male single,num_dependents=1} => {class=good}",0.0344444438815117,1,1,2
"6","{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}",0.0322222225368023,1,1,22
"7","{credit_amount=[590;3763],other_payment_plans=none,foreign_worker=no} => {class=good}",0.0311111118644476,1,1,27
"8","{credit_amount=[409;3777],savings_status=>=1000,other_payment_plans=none,num_dependents=1} => {class=good}",0.028888888657093,1,1,21
"9","{duration=[6;30],other_parties=guarantor,property_magnitude=real estate} => {class=good}",0.0277777779847383,1,1,20
"10","{checking_status=no checking,purpose=furniture/equipment,personal_status=male single} => {class=good}",0.0277777779847383,1,1,24
"11","{credit_amount=[590;3763],housing=own,foreign_worker=no} => {class=good}",0.0255555547773838,1,1,1
"12","{credit_amount=[590;3398],other_parties=none,foreign_worker=no} => {class=good}",0.0255555547773838,1,1,1
"13","{checking_status=no checking,credit_history=existing paid,purpose=used car} => {class=good}",0.0255555547773838,1,1,1
"14","{checking_status=no checking,employment=>=7,property_magnitude=real estate} => {class=good}",0.0255555547773838,1,1,16
"15","{duration=[6;30],savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}",0.0255555547773838,1,1,7
"16","{credit_amount=[708;3620],savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}",0.0244444441050291,1,1,1
"17","{duration=[10;30],purpose=used car,housing=own,job=skilled} => {class=good}",0.0244444441050291,1,1,1
"18","{duration=[12;33],credit_history=critical/other existing credit,purpose=used car} => {class=good}",0.0233333334326744,1,1,3
"19","{credit_amount=[709;3777],savings_status=>=1000,other_payment_plans=none,housing=own} => {class=good}",0.0233333334326744,1,1,1
"20","{purpose=used car,personal_status=male single,job=high qualif/self emp/mgmt} => {class=good}",0.0222222227603197,1,1,3
"21","{credit_history=critical/other existing credit,property_magnitude=real estate,other_payment_plans=none,num_dependents=2} => {class=good}",0.0222222227603197,1,1,12
"22","{checking_status=no checking,credit_amount=[3972;15653],employment=4<=X<7} => {class=good}",0.0211111102253199,1,1,4
"23","{checking_status=no checking,other_payment_plans=none,num_dependents=2,own_telephone=yes} => {class=good}",0.0211111102253199,1,1,10
"24","{checking_status=no checking,savings_status=500<=X<1000,personal_status=male single,other_payment_plans=none} => {class=good}",0.0199999995529652,1,1,6
"25","{checking_status=no checking,credit_history=critical/other existing credit,personal_status=male single,num_dependents=2} => {class=good}",0.0199999995529652,1,1,2
"26","{savings_status=>=1000,property_magnitude=real estate} => {class=good}",0.0188888888806105,1,1,2
"27","{savings_status=500<=X<1000,property_magnitude=car,other_payment_plans=none,housing=own} => {class=good}",0.0188888888806105,1,1,7
"28","{checking_status=no checking,personal_status=male mar/wid,num_dependents=1,own_telephone=none} => {class=good}",0.0188888888806105,1,1,11
"29","{checking_status=no checking,credit_history=existing paid,property_magnitude=no known property,other_payment_plans=none} => {class=good}",0.0188888888806105,1,1,9
"30","{checking_status=no checking,duration=[6;24],credit_history=existing paid,property_magnitude=no known property} => {class=good}",0.0188888888806105,1,1,1
"31","{checking_status=no checking,duration=[36;60],employment=>=7} => {class=good}",0.0177777782082558,1,1,7
"32","{employment=4<=X<7,other_payment_plans=none,housing=own,num_dependents=2} => {class=good}",0.0177777782082558,1,1,7
"33","{credit_history=critical/other existing credit,savings_status=<100,property_magnitude=real estate,num_dependents=2} => {class=good}",0.0177777782082558,1,1,1
"34","{checking_status=no checking,property_magnitude=real estate,other_payment_plans=none,num_dependents=2} => {class=good}",0.0177777782082558,1,1,3
"35","{checking_status=no checking,job=skilled,num_dependents=2,own_telephone=yes} => {class=good}",0.0177777782082558,1,1,1
"36","{other_payment_plans=none,job=skilled,foreign_worker=no} => {class=good}",0.0166666675359011,1,1,1
"37","{credit_amount=[1231;3777],savings_status=>=1000,own_telephone=yes} => {class=good}",0.0166666675359011,1,1,1
"38","{credit_history=existing paid,credit_amount=[709;3651],savings_status=>=1000} => {class=good}",0.0166666675359011,1,1,1
"39","{checking_status=no checking,credit_history=existing paid,personal_status=male mar/wid,num_dependents=1} => {class=good}",0.0166666675359011,1,1,5
"40","{credit_history=critical/other existing credit,purpose=new car,other_payment_plans=none,num_dependents=2} => {class=good}",0.0166666675359011,1,1,1
"41","{checking_status=no checking,purpose=radio/tv,personal_status=male single,num_dependents=2} => {class=good}",0.0166666675359011,1,1,3
"42","{checking_status=no checking,employment=1<=X<4,other_payment_plans=none,num_dependents=2} => {class=good}",0.0166666675359011,1,1,1
