"","rules","support","confidence","orderedConf","orderedSupp"
"1","{preg=[0;6],plas=[0;101],mass=[0;27.8]} => {class=tested_negative}",0.111432708799839,1,1,77
"2","{plas=[0;101],insu=0,mass=[0;27.7]} => {class=tested_negative}",0.0607814751565456,1,1,5
"3","{plas=[103;123],insu=[148;325],age=[21;28]} => {class=tested_negative}",0.0289435591548681,1,1,20
"4","{plas=[102;116],insu=0,mass=[0;27.4],age=[21;27]} => {class=tested_negative}",0.0274963825941086,1,1,19
"5","{plas=[68;99],insu=[23;85],age=[29;48]} => {class=tested_negative}",0.0231548473238945,1,1,13
"6","{preg=[7;11],plas=[155;196],insu=[145;495]} => {class=tested_positive}",0.0202604923397303,1,1,14
"7","{insu=[148;415],mass=[22.1;27.6],age=[21;27]} => {class=tested_negative}",0.0188133139163256,1,1,8
"8","{plas=[124;140],insu=[148;415],mass=[19.6;27.5]} => {class=tested_negative}",0.0130246020853519,1,1,3
"9","{plas=[155;180],insu=[90;132]} => {class=tested_positive}",0.0115774236619473,1,1,8
"10","{plas=[162;193],insu=[0;14],mass=[34.9;59.4],age=[23;27]} => {class=tested_positive}",0.0115774236619473,1,1,8
"11","{plas=[104;121],insu=[89;135],mass=[0;27.8]} => {class=tested_negative}",0.0101302461698651,1,1,7
"12","{plas=[0;101],insu=0,age=[21;28]} => {class=tested_negative}",0.0752532556653023,0.981132090091705,0.956521739130435,22
"13","{preg=[0;6],insu=[15;87],mass=[18.2;27.8]} => {class=tested_negative}",0.0564399436116219,0.975000023841858,0.857142857142857,6
"14","{plas=[0;100],insu=[15;87]} => {class=tested_negative}",0.10564399510622,0.973333358764648,0.931034482758621,27
"15","{preg=[7;17],plas=[155;196],mass=[30;47.9]} => {class=tested_positive}",0.0419681631028652,0.966666638851166,0.933333333333333,14
"16","{preg=[0;6],plas=[102;122],insu=0,mass=[0;27.8]} => {class=tested_negative}",0.0419681631028652,0.966666638851166,0.916666666666667,11
"17","{insu=0,mass=[0;27.7],age=[21;28]} => {class=tested_negative}",0.0795947909355164,0.964912295341492,0.75,6
"18","{mass=[0;27.8],age=[21;28]} => {class=tested_negative}",0.167872652411461,0.958677709102631,0.8,4
"19","{plas=[0;101],age=[21;28]} => {class=tested_negative}",0.186685964465141,0.955555558204651,0.823529411764706,14
"20","{insu=[15;87],mass=[18.2;27.8]} => {class=tested_negative}",0.0593342967331409,0.953488349914551,0.666666666666667,2
"21","{preg=[0;6],plas=[0;101]} => {class=tested_negative}",0.238784372806549,0.9375,0.772727272727273,17
"22","{preg=[0;6],plas=[102;122],mass=[0;27.8]} => {class=tested_negative}",0.0636758357286453,0.936170220375061,0.5,1
"23","{insu=[15;87],age=[21;28]} => {class=tested_negative}",0.10564399510622,0.935897409915924,0.846153846153846,11
"24","{preg=[0;6],insu=[15;87]} => {class=tested_negative}",0.130246013402939,0.927835047245026,0.714285714285714,5
"25","{plas=[156;197],insu=[0;14],mass=[28.4;59.4]} => {class=tested_positive}",0.0520984083414078,0.923076927661896,0.875,14
"26","{preg=[0;6],mass=[0;27.8]} => {class=tested_negative}",0.222865417599678,0.916666686534882,0.611111111111111,11
"27","{plas=[0;101],insu=0} => {class=tested_negative}",0.125904485583305,0.915789484977722,0.769230769230769,10
"28","{plas=[0;101]} => {class=tested_negative}",0.269175112247467,0.911764681339264,0.2,1
"29","{plas=[102;122],insu=0,mass=[0;27.8]} => {class=tested_negative}",0.0578871183097363,0.909090936183929,0.769230769230769,10
"30","{preg=[7;17],plas=[155;197]} => {class=tested_positive}",0.0492040514945984,0.89473682641983,0.5,3
"31","{plas=[102;122],insu=[89;142],age=[21;28]} => {class=tested_negative}",0.0332850925624371,0.884615361690521,0.863636363636364,19
"32","{mass=[0;27.8]} => {class=tested_negative}",0.260492026805878,0.878048777580261,0.75,3
"33","{preg=[0;6],plas=[102;122],insu=[89;142]} => {class=tested_negative}",0.0405209846794605,0.875,0.75,3
"34","{preg=[0;6],plas=[102;123],age=[21;28]} => {class=tested_negative}",0.125904485583305,0.870000004768372,0.666666666666667,14
"35","{preg=[7;14],insu=[144;600],mass=[28.7;45.4]} => {class=tested_positive}",0.0376266278326511,0.866666674613953,0.785714285714286,11
"36","{plas=[102;123],insu=[89;142]} => {class=tested_negative}",0.0448625199496746,0.861111104488373,0.666666666666667,2
"37","{plas=[155;197],insu=[144;846],age=[29;60]} => {class=tested_positive}",0.0434153415262699,0.857142865657806,0.75,15
"38","{plas=[155;198],mass=[28.4;59.4]} => {class=tested_positive}",0.117221415042877,0.852631568908691,0.733333333333333,11
"39","{plas=[126;154],insu=[145;485],age=[21;28]} => {class=tested_negative}",0.0303907375782728,0.839999973773956,0.789473684210526,15
"40","{preg=[0;6],age=[21;28]} => {class=tested_negative}",0.389290869235992,0.805389225482941,0.448275862068966,13
"41","{preg=[0;6],plas=[102;123]} => {class=tested_negative}",0.186685964465141,0.78658539056778,0.525,21
"42","{insu=[144;846],mass=[28;49.7],age=[29;60]} => {class=tested_positive}",0.0824891477823257,0.77027028799057,0.7,7
"43","{preg=[0;6],insu=[88;142]} => {class=tested_negative}",0.0882778614759445,0.753086447715759,0.444444444444444,4
"44","{plas=[102;123]} => {class=tested_negative}",0.215629518032074,0.741293549537659,0.294117647058824,5
"45","{preg=[0;6]} => {class=tested_negative}",0.560057878494263,0.715341985225677,0.476190476190476,10
"46","{insu=[88;142]} => {class=tested_negative}",0.101302459836006,0.693069279193878,0.4,4
"47","{preg=[7;15],plas=[124;154],mass=[28.3;52.3]} => {class=tested_positive}",0.0390738062560558,0.675000011920929,0.647058823529412,11
"48","{} => {class=tested_negative}",0.651230096817017,0.651230096817017,NA,0
