"","rules","support","confidence","orderedConf","orderedSupp"
"1","{RI=[1.51736;1.51786],Al=[1.05;1.38]} => {Type=build wind float}",0.130890056490898,1,1,25
"2","{Na=[14.14;15.79],Ba=[0.4;2.88]} => {Type=headlamps}",0.115183249115944,1,1,22
"3","{Mg=[0;1.83],Ca=[8.28;9.45],Ba=[0.4;1.71]} => {Type=headlamps}",0.109947644174099,1,1,1
"4","{Na=[14.14;15.15],Al=[1.8;2.88],Ca=[8.28;9.76]} => {Type=headlamps}",0.104712039232254,1,1,1
"5","{RI=[1.51508;1.51732],Mg=0,Ca=[8.28;9.45]} => {Type=headlamps}",0.104712039232254,1,1,1
"6","{Na=[11.02;13.83],Al=[0.56;1.36],Ca=[10.79;16.19]} => {Type=build wind non-float}",0.0471204183995724,1,1,9
"7","{RI=[1.51742;1.51766],Ca=[7.83;8.27]} => {Type=build wind float}",0.0366492159664631,1,NA,0
"8","{Na=[11.02;13.75],Mg=[0;1.01],Al=[0.56;1.36],Ca=[10.99;16.19]} => {Type=build wind non-float}",0.0366492159664631,1,NA,0
"9","{Na=[14.09;14.99],Mg=[0;2.24],K=0,Ba=0} => {Type=tableware}",0.0314136110246181,1,1,6
"10","{Al=[1.54;1.74],K=0} => {Type=tableware}",0.0261780098080635,1,1,1
"11","{Al=[1.56;1.76],Ca=[11.32;12.24]} => {Type=containers}",0.0261780098080635,1,1,5
"12","{Na=[14.17;14.77],Mg=[3.75;3.85],Al=[0.29;0.89]} => {Type=build wind float}",0.0261780098080635,1,1,5
"13","{Mg=[0.78;2.41],K=0,Ca=[9.26;9.95],Ba=0} => {Type=tableware}",0.0261780098080635,1,1,1
"14","{Mg=[0;1.01],Al=[0.67;1.36],K=[0.06;0.33],Ca=[11.14;16.19]} => {Type=build wind non-float}",0.0261780098080635,1,1,1
"15","{Al=[1.81;2.12],Ca=[7.08;8.08]} => {Type=build wind non-float}",0.0209424085915089,1,1,4
"16","{RI=[1.518;1.51892],Ca=[8.12;8.21]} => {Type=build wind non-float}",0.0209424085915089,1,1,4
"17","{Na=[12.85;14.01],Mg=[0;2.68],Al=[1.83;3.5],K=[0.76;6.21]} => {Type=containers}",0.0209424085915089,1,1,4
"18","{Na=[12.73;13.02],Mg=[0;1.85],Al=[1.83;3.04],Ba=[0;0.24]} => {Type=containers}",0.0209424085915089,1,1,1
"19","{Mg=[3.7;3.81],K=[0;0.03]} => {Type=build wind float}",0.0157068055123091,1,1,1
"20","{Na=[11.02;13.72],K=0,Ca=[10.99;14.96]} => {Type=build wind non-float}",0.0157068055123091,1,NA,0
"21","{Mg=[3.2;3.26],Ca=[5.43;5.79]} => {Type=headlamps}",0.0104712042957544,1,1,1
"22","{Na=[14.25;14.86],Mg=[3.09;3.67],Ca=[7.08;7.36]} => {Type=build wind non-float}",0.0104712042957544,1,1,1
"23","{RI=[1.51569;1.5173],Mg=[2.72;3.67],Al=[1.43;1.74]} => {Type=build wind non-float}",0.151832461357117,0.935483872890472,0.933333333333333,28
"24","{RI=[1.51735;1.51786]} => {Type=build wind float}",0.146596863865852,0.933333337306976,0.6,3
"25","{Mg=[3.33;3.93],Al=[1.43;1.74],Ca=[7.36;8.27]} => {Type=build wind non-float}",0.141361251473427,0.931034505367279,NA,0
"26","{RI=[1.51409;1.51711],Mg=[3.09;3.68],Ca=[7.08;8.27]} => {Type=build wind non-float}",0.167539268732071,0.914285719394684,0.666666666666667,2
"27","{Mg=[2.72;3.93],Al=[1.43;1.74]} => {Type=build wind non-float}",0.172774866223335,0.804878056049347,0.6,3
"28","{Na=[10.73;13.72],Al=[1.81;2.12],K=[0.58;0.69]} => {Type=build wind non-float}",0.0209424085915089,0.800000011920929,1,1
"29","{Al=[1.43;1.74],K=[0.07;0.73]} => {Type=build wind non-float}",0.183246076107025,0.744680821895599,1,2
"30","{RI=[1.51409;1.5173],Mg=[2.72;3.68],Ba=[0;0.06]} => {Type=build wind non-float}",0.193717271089554,0.725490212440491,0.153846153846154,2
"31","{Mg=[2.71;4.49],Al=[0.29;1.41],Ca=[8.3;10.06]} => {Type=build wind float}",0.256544500589371,0.671232879161835,0.611111111111111,22
"32","{} => {Type=build wind non-float}",0.356020957231522,0.356020957231522,0,0
