"","rules","support","confidence","orderedConf","orderedSupp"
"1","{RI=[1.51707;1.51786],Al=[-Inf;1.51],K=[0.12;0.61]} => {Type=build wind float}",0.13020832836628,1,1,25
"2","{Mg=[-Inf;3.57],Ca=[5.43;Inf],Ba=[0.4;1.71]} => {Type=headlamps}",0.11979166418314,1,1,23
"3","{RI=[-Inf;Inf],Mg=[-Inf;2.09],Ca=[7.78;9.54]} => {Type=headlamps}",0.11458333581686,1,1,1
"4","{Na=[12.86;Inf],Al=[1.71;Inf],Ca=[8.21;10.09]} => {Type=headlamps}",0.109375,1,1,1
"5","{RI=[-Inf;1.51732],Al=[1.4;1.76],Ca=[8.1;Inf]} => {Type=build wind non-float}",0.0572916679084301,1,1,11
"6","{RI=[1.51719;1.51797],Ca=[5.43;8.43]} => {Type=build wind float}",0.0520833320915699,1,1,1
"7","{RI=[-Inf;1.51846],Al=[-Inf;1.29],Ca=[8.33;8.57]} => {Type=build wind float}",0.0520833320915699,1,1,4
"8","{Al=[1.63;Inf],K=[0.61;0.73]} => {Type=build wind non-float}",0.046875,1,1,7
"9","{RI=[1.51755;Inf],Na=[13.19;14.01],Ca=[7.86;8.42]} => {Type=build wind non-float}",0.0416666679084301,1,1,8
"10","{Na=[13.73;Inf],Mg=[-Inf;3.89],K=[-Inf;0],Ba=[-Inf;0.53]} => {Type=tableware}",0.0416666679084301,1,1,8
"11","{Na=[-Inf;14.46],Mg=[-Inf;Inf],Al=[-Inf;1.38],Ca=[10.56;Inf]} => {Type=build wind non-float}",0.0416666679084301,1,1,8
"12","{Na=[-Inf;Inf],Al=[1.05;Inf],Ca=[10.99;12.5]} => {Type=containers}",0.03125,1,1,6
"13","{Na=[11.56;14.14],Mg=[-Inf;3.46],Al=[1.74;Inf],Ba=[-Inf;0.56]} => {Type=containers}",0.03125,1,1,5
"14","{Mg=[-Inf;Inf],Al=[-Inf;Inf],K=[0.31;0.73],Ca=[9.15;10.06]} => {Type=build wind non-float}",0.020833333954215,1,1,3
"15","{K=[0.02;Inf],Ca=[5.87;6.96]} => {Type=containers}",0.015625,1,1,1
"16","{RI=[1.518;Inf],K=[0.61;0.73]} => {Type=build wind non-float}",0.015625,1,1,3
"17","{Na=[12.98;Inf],K=[0.02;0.45],Ca=[10.56;11.62]} => {Type=build wind non-float}",0.015625,1,1,1
"18","{Na=[-Inf;Inf],Al=[1.34;1.41],Ca=[5.43;8.3]} => {Type=build wind float}",0.015625,1,1,2
"19","{Na=[12.65;Inf],Al=[1.55;Inf],K=[0.15;0.45]} => {Type=build wind non-float}",0.0104166669771075,1,1,1
"20","{RI=[1.5159;1.5175],K=[0.62;0.81]} => {Type=build wind non-float}",0.11979166418314,0.958333313465118,0.923076923076923,12
"21","{RI=[-Inf;1.51732],Al=[1.4;2.51],K=[0.06;0.63]} => {Type=build wind non-float}",0.0729166641831398,0.933333337306976,0.8,4
"22","{RI=[1.51707;1.51808],Al=[0.67;1.51]} => {Type=build wind float}",0.16666667163372,0.914285719394684,0.714285714285714,5
"23","{Na=[13.65;Inf],Mg=[2.68;3.89],Ca=[8.61;10.56]} => {Type=build wind float}",0.0520833320915699,0.909090936183929,0.909090909090909,10
"24","{RI=[1.51735;1.51797]} => {Type=build wind float}",0.15625,0.833333313465118,0.25,1
"25","{RI=[1.51796;Inf],Mg=[2.41;Inf],Al=[1.38;1.62]} => {Type=build wind non-float}",0.026041666045785,0.833333313465118,0.75,3
"26","{RI=[1.51707;1.5232],Al=[-Inf;1.41],K=[0.02;0.61],Ca=[8.43;11.41]} => {Type=build wind float}",0.20833332836628,0.816326558589935,0.75,12
"27","{} => {Type=vehic wind float}",0.078125,0.078125,0.615384615384615,8
