"","rules","support","confidence","orderedConf","orderedSupp"
"1","{sex=0,chest=[-Inf;3],fasting_blood_sugar=0,thal=[3;6]} => {class=absent}",0.160493820905685,1,1,39
"2","{age=[-Inf;57],sex=0,thal=[3;6]} => {class=absent}",0.148148149251938,1,1,10
"3","{sex=0,chest=[-Inf;3],number_of_major_vessels=0} => {class=absent}",0.139917701482773,1,1,4
"4","{age=[-Inf;57],maximum_heart_rate_achieved=[148;Inf],slope=[2;Inf],thal=[3;6]} => {class=absent}",0.0864197537302971,1,1,10
"5","{sex=0,exercise_induced_angina=0,slope=[2;Inf],number_of_major_vessels=0} => {class=absent}",0.0740740746259689,1,1,2
"6","{age=[-Inf;58],chest=4,number_of_major_vessels=0,thal=3} => {class=absent}",0.0617283955216408,1,1,5
"7","{fasting_blood_sugar=1,exercise_induced_angina=0,number_of_major_vessels=0} => {class=absent}",0.0534979440271854,1,1,8
"8","{sex=0,chest=[-Inf;3],maximum_heart_rate_achieved=[-Inf;151],thal=[3;6]} => {class=absent}",0.0534979440271854,1,1,1
"9","{age=[-Inf;55],chest=[-Inf;3],fasting_blood_sugar=1} => {class=absent}",0.0452674888074398,1,1,2
"10","{age=[-Inf;56],fasting_blood_sugar=1,exercise_induced_angina=0} => {class=absent}",0.0452674888074398,1,1,1
"11","{sex=0,fasting_blood_sugar=0,slope=1,number_of_major_vessels=[1;Inf]} => {class=absent}",0.0452674888074398,1,1,1
"12","{fasting_blood_sugar=1,number_of_major_vessels=0,thal=[3;6]} => {class=absent}",0.0411522649228573,1,1,1
"13","{sex=1,fasting_blood_sugar=1,exercise_induced_angina=0,slope=1} => {class=absent}",0.0370370373129845,1,1,1
"14","{chest=[-Inf;3],exercise_induced_angina=1,thal=3} => {class=absent}",0.0329218097031116,1,1,3
"15","{sex=0,chest=4,exercise_induced_angina=1,slope=[2;Inf]} => {class=present}",0.028806583955884,1,1,7
"16","{chest=[-Inf;3],exercise_induced_angina=1,slope=1} => {class=absent}",0.0205761324614286,1,1,1
"17","{chest=[-Inf;3],fasting_blood_sugar=1,maximum_heart_rate_achieved=[-Inf;151],thal=3} => {class=absent}",0.0205761324614286,1,1,1
"18","{age=[-Inf;59],maximum_heart_rate_achieved=[118;Inf],oldpeak=[1.9;3.5],thal=3} => {class=absent}",0.0205761324614286,1,1,1
"19","{age=[-Inf;58],oldpeak=[-Inf;1.6],number_of_major_vessels=0,thal=[3;6]} => {class=absent}",0.267489701509476,0.984848499298096,0.952380952380952,20
"20","{age=[-Inf;57],chest=[-Inf;3],maximum_heart_rate_achieved=[148;Inf],thal=[3;6]} => {class=absent}",0.230452671647072,0.982456147670746,1,2
"21","{sex=0,chest=[-Inf;3],thal=[3;6]} => {class=absent}",0.185185179114342,0.97826087474823,0.5,1
"22","{age=[-Inf;56],chest=[-Inf;3],slope=1,number_of_major_vessels=0} => {class=absent}",0.15226337313652,0.973684191703796,1,3
"23","{age=[-Inf;56],chest=[-Inf;3],oldpeak=[-Inf;3.5],number_of_major_vessels=0} => {class=absent}",0.242798358201981,0.967213094234467,0.666666666666667,2
"24","{chest=[-Inf;3],maximum_heart_rate_achieved=[142;Inf],slope=1,number_of_major_vessels=0} => {class=absent}",0.181069955229759,0.95652174949646,0.5,1
"25","{sex=0,exercise_induced_angina=0,number_of_major_vessels=0} => {class=absent}",0.168724283576012,0.953488349914551,0.333333333333333,1
"26","{sex=0,fasting_blood_sugar=0,exercise_induced_angina=0,thal=[3;6]} => {class=absent}",0.19753086566925,0.941176474094391,0.5,1
"27","{chest=[-Inf;3],maximum_heart_rate_achieved=[142;Inf],oldpeak=[-Inf;1.6],number_of_major_vessels=0} => {class=absent}",0.259259253740311,0.940298497676849,0.5,1
"28","{chest=[-Inf;3],maximum_heart_rate_achieved=[142;Inf],oldpeak=[-Inf;3.1],slope=1} => {class=absent}",0.251028805971146,0.938461542129517,0.5,1
"29","{age=[-Inf;56],exercise_induced_angina=0,slope=1,number_of_major_vessels=0} => {class=absent}",0.185185179114342,0.9375,0.333333333333333,1
"30","{age=[51;Inf],exercise_induced_angina=0,number_of_major_vessels=0,thal=[6;Inf]} => {class=absent}",0.0617283955216408,0.9375,0.8,4
"31","{maximum_heart_rate_achieved=[144;Inf],oldpeak=[-Inf;1.6],number_of_major_vessels=0,thal=[3;6]} => {class=absent}",0.267489701509476,0.928571403026581,1,2
"32","{maximum_heart_rate_achieved=[145;Inf],slope=1,number_of_major_vessels=0} => {class=absent}",0.230452671647072,0.903225779533386,0.5,1
"33","{} => {class=present}",0.444444447755814,0.444444447755814,0.967032967032967,88
