"","rules","support","confidence","orderedConf","orderedSupp"
"1","{sex=1,chest=4,fasting_blood_sugar=0,number_of_major_vessels=[1;Inf]} => {class=present}",0.172839507460594,1,1,42
"2","{sex=0,chest=[-Inf;3],fasting_blood_sugar=0} => {class=absent}",0.160493820905685,1,1,39
"3","{chest=4,exercise_induced_angina=1,number_of_major_vessels=[1;Inf]} => {class=present}",0.15226337313652,1,1,8
"4","{chest=4,fasting_blood_sugar=0,number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.144032925367355,1,1,4
"5","{age=[55;Inf],sex=1,chest=4,number_of_major_vessels=[1;Inf]} => {class=present}",0.144032925367355,1,1,1
"6","{age=[-Inf;54],sex=0,thal=3} => {class=absent}",0.139917701482773,1,1,10
"7","{sex=0,chest=[-Inf;3],number_of_major_vessels=0} => {class=absent}",0.139917701482773,1,1,2
"8","{exercise_induced_angina=1,slope=[2;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.127572014927864,1,1,3
"9","{chest=4,oldpeak=[1.8;Inf],slope=[2;Inf],thal=[6;Inf]} => {class=present}",0.115226335823536,1,1,8
"10","{exercise_induced_angina=1,oldpeak=[1.8;Inf],thal=[6;Inf]} => {class=present}",0.106995888054371,1,1,2
"11","{chest=4,maximum_heart_rate_achieved=[-Inf;147],exercise_induced_angina=1,oldpeak=[1.8;Inf]} => {class=present}",0.102880656719208,1,1,1
"12","{age=[-Inf;54],maximum_heart_rate_achieved=[148;Inf],slope=[2;Inf],thal=3} => {class=absent}",0.0781892985105515,1,1,8
"13","{sex=0,exercise_induced_angina=0,slope=[2;Inf],number_of_major_vessels=0} => {class=absent}",0.0740740746259689,1,1,3
"14","{oldpeak=[-Inf;1.6],slope=[2;Inf],number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.0658436194062233,1,1,3
"15","{chest=[-Inf;3],fasting_blood_sugar=1,number_of_major_vessels=0} => {class=absent}",0.0617283955216408,1,1,10
"16","{age=[-Inf;54],chest=4,exercise_induced_angina=1,thal=[6;Inf]} => {class=present}",0.0617283955216408,1,1,5
"17","{age=[-Inf;54],chest=4,slope=[2;Inf],thal=[6;Inf]} => {class=present}",0.0617283955216408,1,1,2
"18","{age=[-Inf;54],chest=4,number_of_major_vessels=0,thal=3} => {class=absent}",0.0617283955216408,1,1,5
"19","{age=[-Inf;54],chest=[-Inf;3],fasting_blood_sugar=1} => {class=absent}",0.0452674888074398,1,1,2
"20","{age=[-Inf;54],fasting_blood_sugar=1,exercise_induced_angina=0} => {class=absent}",0.0452674888074398,1,1,1
"21","{age=[55;Inf],maximum_heart_rate_achieved=[148;Inf],slope=[2;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.0452674888074398,1,1,3
"22","{sex=0,chest=4,thal=[6;Inf]} => {class=present}",0.0411522649228573,1,1,1
"23","{sex=1,fasting_blood_sugar=1,exercise_induced_angina=0,slope=1} => {class=absent}",0.0411522649228573,1,1,1
"24","{chest=4,maximum_heart_rate_achieved=[-Inf;147],exercise_induced_angina=1,thal=3} => {class=present}",0.0411522649228573,1,1,1
"25","{fasting_blood_sugar=1,exercise_induced_angina=1,thal=[6;Inf]} => {class=present}",0.0370370373129845,1,1,1
"26","{age=[-Inf;54],maximum_heart_rate_achieved=[-Inf;147],oldpeak=[1.8;Inf]} => {class=present}",0.0370370373129845,1,1,1
"27","{chest=[-Inf;3],exercise_induced_angina=1,thal=3} => {class=absent}",0.0370370373129845,1,1,4
"28","{sex=0,chest=[-Inf;3],maximum_heart_rate_achieved=[-Inf;147]} => {class=absent}",0.0370370373129845,1,1,1
"29","{sex=0,fasting_blood_sugar=0,slope=1,number_of_major_vessels=[1;Inf]} => {class=absent}",0.0370370373129845,1,1,1
"30","{age=[55;Inf],chest=4,fasting_blood_sugar=1} => {class=present}",0.0329218097031116,1,1,1
"31","{age=[55;Inf],sex=0,exercise_induced_angina=1,slope=[2;Inf]} => {class=present}",0.0329218097031116,1,1,1
"32","{age=[-Inf;54],chest=[-Inf;3],exercise_induced_angina=1,oldpeak=[-Inf;1.6]} => {class=absent}",0.0329218097031116,1,1,2
"33","{chest=[-Inf;3],exercise_induced_angina=1,oldpeak=[-Inf;1.6],number_of_major_vessels=0} => {class=absent}",0.028806583955884,1,1,1
"34","{chest=[-Inf;3],slope=1,number_of_major_vessels=0,thal=[6;Inf]} => {class=absent}",0.0246913582086563,1,1,2
"35","{sex=0,exercise_induced_angina=1,slope=1} => {class=absent}",0.0205761324614286,1,1,2
"36","{chest=[-Inf;3],fasting_blood_sugar=1,maximum_heart_rate_achieved=[-Inf;147],thal=3} => {class=absent}",0.0205761324614286,1,1,1
"37","{maximum_heart_rate_achieved=[148;Inf],oldpeak=[1.8;Inf],number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.0205761324614286,1,1,1
"38","{age=[-Inf;54],maximum_heart_rate_achieved=[148;Inf],oldpeak=[1.8;Inf],thal=3} => {class=absent}",0.0205761324614286,1,1,1
"39","{chest=4,maximum_heart_rate_achieved=[-Inf;147],exercise_induced_angina=1,slope=1} => {class=present}",0.0205761324614286,1,1,1
"40","{age=[-Inf;54],oldpeak=[-Inf;1.6],number_of_major_vessels=0,thal=3} => {class=absent}",0.234567895531654,0.982758641242981,0.941176470588235,16
"41","{age=[-Inf;54],chest=[-Inf;3],maximum_heart_rate_achieved=[148;Inf],thal=3} => {class=absent}",0.213991776108742,0.981132090091705,1,2
"42","{sex=0,chest=[-Inf;3]} => {class=absent}",0.185185179114342,0.97826087474823,0.5,1
"43","{sex=1,chest=4,maximum_heart_rate_achieved=[-Inf;147],slope=[2;Inf]} => {class=present}",0.168724283576012,0.976190447807312,0.5,1
"44","{slope=[2;Inf],number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.160493820905685,0.975000023841858,0.5,1
"45","{age=[-Inf;54],chest=[-Inf;3],oldpeak=[-Inf;1.6],number_of_major_vessels=0} => {class=absent}",0.218106999993324,0.963636338710785,0.75,3
"46","{sex=1,maximum_heart_rate_achieved=[-Inf;147],oldpeak=[1.8;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.0987654328346252,0.959999978542328,1,1
"47","{chest=[-Inf;3],maximum_heart_rate_achieved=[148;Inf],slope=1,number_of_major_vessels=0} => {class=absent}",0.181069955229759,0.95652174949646,0.666666666666667,2
"48","{sex=0,exercise_induced_angina=0,number_of_major_vessels=0} => {class=absent}",0.172839507460594,0.954545438289642,0.333333333333333,1
"49","{chest=[-Inf;3],oldpeak=[-Inf;1.6],number_of_major_vessels=0,thal=3} => {class=absent}",0.242798358201981,0.951612889766693,0.5,1
"50","{sex=1,fasting_blood_sugar=0,maximum_heart_rate_achieved=[-Inf;147],number_of_major_vessels=[1;Inf]} => {class=present}",0.156378597021103,0.949999988079071,1,1
"51","{age=[-Inf;54],chest=4,fasting_blood_sugar=0,thal=[6;Inf]} => {class=present}",0.0781892985105515,0.949999988079071,0.75,3
"52","{sex=0,fasting_blood_sugar=0,exercise_induced_angina=0,thal=3} => {class=absent}",0.189300417900085,0.938775539398193,1,1
"53","{fasting_blood_sugar=0,number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.181069955229759,0.936170220375061,0.5,1
"54","{maximum_heart_rate_achieved=[148;Inf],oldpeak=[-Inf;1.6],number_of_major_vessels=0,thal=3} => {class=absent}",0.279835402965546,0.931506872177124,1,2
"55","{chest=[-Inf;3],maximum_heart_rate_achieved=[148;Inf],exercise_induced_angina=0,number_of_major_vessels=0} => {class=absent}",0.251028805971146,0.910447776317596,0.25,1
"56","{chest=[-Inf;3],exercise_induced_angina=0,number_of_major_vessels=0} => {class=absent}",0.296296298503876,0.899999976158142,1,1
"57","{age=[55;Inf],exercise_induced_angina=0,number_of_major_vessels=0,thal=[6;Inf]} => {class=absent}",0.0329218097031116,0.888888895511627,1,3
"58","{maximum_heart_rate_achieved=[148;Inf],slope=1,number_of_major_vessels=0} => {class=absent}",0.238683134317398,0.878787875175476,1,1
"59","{} => {class=absent}",0.555555582046509,0.555555582046509,NA,0
