"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,BILIRUBIN=[-Inf;2.2],HISTOLOGY=no} => {Class=LIVE}",0.442028999328613,1,1,61
"2","{SPIDERS=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.434782594442368,1,1,13
"3","{LIVER_FIRM=no,SPIDERS=no,PROTIME=[42;Inf]} => {Class=LIVE}",0.427536219358444,1,1,7
"4","{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.326086968183517,1,1,2
"5","{FATIGUE=no,BILIRUBIN=[-Inf;1.9],ALBUMIN=[3.83064516129;Inf]} => {Class=LIVE}",0.289855062961578,1,1,1
"6","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.246376812458038,1,1,2
"7","{STEROID=yes,FATIGUE=no,BILIRUBIN=[-Inf;1.9]} => {Class=LIVE}",0.202898547053337,1,1,1
"8","{STEROID=no,ANOREXIA=no,BILIRUBIN=[-Inf;2.2],HISTOLOGY=no} => {Class=LIVE}",0.18840579688549,1,1,1
"9","{STEROID=no,BILIRUBIN=[-Inf;2.8],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.181159421801567,1,1,4
"10","{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.9]} => {Class=LIVE}",0.159420296549797,1,1,7
"11","{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.9]} => {Class=LIVE}",0.152173906564713,1,1,1
"12","{ANTIVIRALS=yes,PROTIME=[41;Inf]} => {Class=LIVE}",0.144927531480789,1,1,2
"13","{BILIRUBIN=[-Inf;1.9],ALBUMIN=[3.9;Inf],HISTOLOGY=yes} => {Class=LIVE}",0.144927531480789,1,1,2
"14","{STEROID=no,LIVER_BIG=yes,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.144927531480789,1,1,1
"15","{MALAISE=yes,LIVER_BIG=yes,ASCITES=no,PROTIME=[42;Inf]} => {Class=LIVE}",0.137681156396866,1,1,1
"16","{MALAISE=yes,BILIRUBIN=[-Inf;2.8],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.130434781312943,1,1,1
"17","{MALAISE=yes,ANOREXIA=yes,VARICES=no,BILIRUBIN=[-Inf;1.8]} => {Class=LIVE}",0.0869565233588219,1,1,1
"18","{MALAISE=yes,LIVER_FIRM=no,ASCITES=no,HISTOLOGY=no} => {Class=LIVE}",0.0869565233588219,1,1,1
"19","{VARICES=,HISTOLOGY=no} => {Class=LIVE}",0.028985507786274,1,1,1
"20","{} => {Class=DIE}",0.202898547053337,0.202898547053337,1,28
