"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.438848912715912,1,1,61
"2","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.395683467388153,1,1,11
"3","{LIVER_BIG=yes,SPIDERS=no,BILIRUBIN=[-Inf;2.2],HISTOLOGY=no} => {Class=LIVE}",0.381294965744019,1,1,3
"4","{MALAISE=no,LIVER_FIRM=no,SPIDERS=no} => {Class=LIVE}",0.352517992258072,1,1,1
"5","{LIVER_FIRM=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.338129490613937,1,NA,0
"6","{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.33093523979187,1,1,1
"7","{FATIGUE=no,VARICES=no,ALBUMIN=[3.86746031746;Inf]} => {Class=LIVE}",0.294964015483856,1,1,2
"8","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.230215832591057,1,1,2
"9","{LIVER_FIRM=yes,BILIRUBIN=[0.5;1.41052631579],ALBUMIN=[2.9;Inf]} => {Class=LIVE}",0.194244608283043,1,1,12
"10","{STEROID=no,BILIRUBIN=[-Inf;2.8],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.17985612154007,1,1,3
"11","{BILIRUBIN=[-Inf;1.9],ALBUMIN=[3.9;Inf],HISTOLOGY=yes} => {Class=LIVE}",0.165467619895935,1,1,1
"12","{STEROID=no,ANOREXIA=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.143884897232056,1,NA,0
"13","{STEROID=no,LIVER_BIG=yes,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.136690646409988,1,1,1
"14","{FATIGUE=yes,MALAISE=no,SPIDERS=no} => {Class=LIVE}",0.136690646409988,1,1,1
"15","{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.41052631579]} => {Class=LIVE}",0.136690646409988,1,NA,0
"16","{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.41052631579]} => {Class=LIVE}",0.136690646409988,1,1,1
"17","{MALAISE=yes,BILIRUBIN=[-Inf;2.8],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.129496395587921,1,1,1
"18","{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,HISTOLOGY=no} => {Class=LIVE}",0.122302159667015,1,1,1
"19","{STEROID=no,ALBUMIN=[3.9;Inf],HISTOLOGY=no} => {Class=LIVE}",0.115107916295528,1,NA,0
"20","{ANTIVIRALS=yes,SPIDERS=no,BILIRUBIN=[-Inf;2.2]} => {Class=LIVE}",0.115107916295528,1,NA,0
"21","{STEROID=yes,ASCITES=no,VARICES=no,HISTOLOGY=yes} => {Class=LIVE}",0.115107916295528,1,1,1
"22","{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}",0.0863309353590012,1,1,1
"23","{ANOREXIA=yes,VARICES=no,BILIRUBIN=[-Inf;1.4]} => {Class=LIVE}",0.0791366919875145,1,1,1
"24","{STEROID=yes,MALAISE=yes,ASCITES=no} => {Class=LIVE}",0.0791366919875145,1,1,1
"25","{ANOREXIA=no,LIVER_BIG=no,HISTOLOGY=yes} => {Class=LIVE}",0.0575539581477642,1,1,1
"26","{ASCITES=yes,BILIRUBIN=[1.4;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0503597110509872,1,1,7
"27","{SPIDERS=yes,ASCITES=yes,BILIRUBIN=[1.4;Inf]} => {Class=DIE}",0.0431654676795006,1,1,1
"28","{LIVER_BIG=no,ALBUMIN=[-Inf;3.9],HISTOLOGY=yes} => {Class=LIVE}",0.0431654676795006,1,1,1
"29","{MALAISE=yes,LIVER_FIRM=no,BILIRUBIN=[1.3;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0431654676795006,1,1,3
"30","{LIVER_FIRM=no,SPIDERS=yes,VARICES=no,BILIRUBIN=[1.1;Inf]} => {Class=DIE}",0.0431654676795006,1,1,2
"31","{FATIGUE=yes,LIVER_BIG=,ALBUMIN=[-Inf;3.9]} => {Class=DIE}",0.0359712243080139,1,1,3
"32","{MALAISE=yes,SPLEEN_PALPABLE=yes,BILIRUBIN=[0.4;Inf],ALBUMIN=[-Inf;3.8]} => {Class=DIE}",0.0359712243080139,1,1,1
"33","{MALAISE=yes,LIVER_FIRM=no,ASCITES=no,HISTOLOGY=yes} => {Class=DIE}",0.0359712243080139,1,1,2
"34","{VARICES=,HISTOLOGY=no} => {Class=LIVE}",0.0287769790738821,1,1,1
"35","{MALAISE=yes,ASCITES=yes,VARICES=yes} => {Class=DIE}",0.0287769790738821,1,1,1
"36","{STEROID=yes,LIVER_FIRM=no,ASCITES=yes} => {Class=DIE}",0.0287769790738821,1,NA,0
"37","{SEX=female,LIVER_FIRM=no,VARICES=yes,HISTOLOGY=yes} => {Class=DIE}",0.0287769790738821,1,1,1
"38","{STEROID=yes,LIVER_FIRM=no,SPIDERS=yes,VARICES=no} => {Class=DIE}",0.0287769790738821,1,1,1
"39","{LIVER_FIRM=yes,BILIRUBIN=[1.1;Inf],ALBUMIN=[-Inf;3.86746031746],HISTOLOGY=no} => {Class=DIE}",0.0215827338397503,1,1,3
"40","{SPLEEN_PALPABLE=yes,VARICES=yes,BILIRUBIN=[-Inf;Inf],ALBUMIN=[3.1;3.86746031746]} => {Class=DIE}",0.0215827338397503,1,1,1
"41","{SPLEEN_PALPABLE=no,SPIDERS=yes,BILIRUBIN=[1.1;Inf],ALBUMIN=[4;Inf]} => {Class=DIE}",0.0143884895369411,1,1,1
"42","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no} => {Class=LIVE}",0.410071939229965,0.982758641242981,0.5,1
"43","{STEROID=no,LIVER_BIG=yes,ALBUMIN=[-Inf;3.86746031746],HISTOLOGY=yes} => {Class=DIE}",0.0719424486160278,0.666666686534882,1,1
"44","{} => {Class=LIVE}",0.791366934776306,0.791366934776306,NA,0
