"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,ALBUMIN=[3.9;6.4]} => {Class=LIVE}",0.438848912715912,1,1,61
"2","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.395683467388153,1,1,11
"3","{MALAISE=no,LIVER_FIRM=no,SPIDERS=no} => {Class=LIVE}",0.352517992258072,1,1,1
"4","{LIVER_FIRM=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.338129490613937,1,1,2
"5","{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.33093523979187,1,1,1
"6","{LIVER_BIG=yes,SPIDERS=no,BILIRUBIN=[0.4;1.3],HISTOLOGY=no} => {Class=LIVE}",0.33093523979187,1,1,1
"7","{FATIGUE=no,VARICES=no,ALBUMIN=[3.9;6.4]} => {Class=LIVE}",0.258992791175842,1,1,2
"8","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.230215832591057,1,1,2
"9","{BILIRUBIN=[0.6;1.3],ALBUMIN=[3.9;6.4],HISTOLOGY=yes} => {Class=LIVE}",0.158273383975029,1,1,5
"10","{STEROID=no,BILIRUBIN=[0.4;1.3],ALBUMIN=[4;4.6]} => {Class=LIVE}",0.158273383975029,1,1,1
"11","{STEROID=no,ANOREXIA=no,ALBUMIN=[4;4.6]} => {Class=LIVE}",0.143884897232056,1,1,1
"12","{LIVER_FIRM=yes,BILIRUBIN=[0.6;1.3],ALBUMIN=[3.9;4.5]} => {Class=LIVE}",0.136690646409988,1,1,2
"13","{STEROID=no,LIVER_BIG=yes,ALBUMIN=[3.9;4.6]} => {Class=LIVE}",0.136690646409988,1,1,1
"14","{FATIGUE=yes,MALAISE=no,SPIDERS=no} => {Class=LIVE}",0.136690646409988,1,1,1
"15","{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[0.6;1.3]} => {Class=LIVE}",0.129496395587921,1,1,4
"16","{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[0.3;1.3]} => {Class=LIVE}",0.129496395587921,1,1,1
"17","{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,HISTOLOGY=no} => {Class=LIVE}",0.122302159667015,1,1,1
"18","{MALAISE=yes,BILIRUBIN=[0.6;1.3],ALBUMIN=[3.9;5]} => {Class=LIVE}",0.115107916295528,1,1,1
"19","{STEROID=no,ALBUMIN=[3.9;4.6],HISTOLOGY=no} => {Class=LIVE}",0.115107916295528,1,1,1
"20","{STEROID=yes,ASCITES=no,VARICES=no,HISTOLOGY=yes} => {Class=LIVE}",0.115107916295528,1,1,1
"21","{ANTIVIRALS=yes,SPIDERS=no,BILIRUBIN=[0.4;1.3]} => {Class=LIVE}",0.107913665473461,1,1,1
"22","{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}",0.0863309353590012,1,1,1
"23","{ANOREXIA=yes,VARICES=no,BILIRUBIN=[0.6;1.3]} => {Class=LIVE}",0.0791366919875145,1,1,1
"24","{STEROID=yes,MALAISE=yes,ASCITES=no} => {Class=LIVE}",0.0791366919875145,1,1,1
"25","{ANOREXIA=no,LIVER_BIG=no,HISTOLOGY=yes} => {Class=LIVE}",0.0575539581477642,1,1,2
"26","{ASCITES=yes,BILIRUBIN=[1.5;7.6],HISTOLOGY=yes} => {Class=DIE}",0.0503597110509872,1,1,7
"27","{SPIDERS=yes,ASCITES=yes,BILIRUBIN=[1.5;7.6]} => {Class=DIE}",0.0431654676795006,1,1,1
"28","{LIVER_BIG=no,ALBUMIN=[2.7;3.86746031746],HISTOLOGY=yes} => {Class=LIVE}",0.0431654676795006,1,1,1
"29","{MALAISE=yes,LIVER_FIRM=no,BILIRUBIN=[1.4;8],HISTOLOGY=yes} => {Class=DIE}",0.0431654676795006,1,1,3
"30","{FATIGUE=yes,LIVER_BIG=,ALBUMIN=[2.6;3.86746031746]} => {Class=DIE}",0.0359712243080139,1,1,3
"31","{MALAISE=yes,SPLEEN_PALPABLE=yes,BILIRUBIN=[1.4;8],ALBUMIN=[2.2;3.6]} => {Class=DIE}",0.0359712243080139,1,1,1
"32","{LIVER_FIRM=no,SPIDERS=yes,VARICES=no,BILIRUBIN=[1.4;4.6]} => {Class=DIE}",0.0359712243080139,1,1,1
"33","{MALAISE=yes,LIVER_FIRM=no,ASCITES=no,HISTOLOGY=yes} => {Class=DIE}",0.0359712243080139,1,1,2
"34","{VARICES=,HISTOLOGY=no} => {Class=LIVE}",0.0287769790738821,1,1,1
"35","{MALAISE=yes,ASCITES=yes,VARICES=yes} => {Class=DIE}",0.0287769790738821,1,1,1
"36","{STEROID=yes,LIVER_FIRM=no,ASCITES=yes} => {Class=DIE}",0.0287769790738821,1,1,1
"37","{SEX=female,LIVER_FIRM=no,VARICES=yes,HISTOLOGY=yes} => {Class=DIE}",0.0287769790738821,1,1,1
"38","{STEROID=yes,LIVER_FIRM=no,SPIDERS=yes,VARICES=no} => {Class=DIE}",0.0287769790738821,1,1,1
"39","{LIVER_FIRM=yes,BILIRUBIN=[2;2.8],ALBUMIN=[3.3;3.86746031746],HISTOLOGY=no} => {Class=DIE}",0.0215827338397503,1,1,3
