"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SPIDERS=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.407142847776413,1,1,57
"2","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.371428579092026,1,1,12
"3","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=[46;Inf]} => {Class=LIVE}",0.371428579092026,1,1,2
"4","{LIVER_BIG=yes,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.364285707473755,1,1,4
"5","{ANOREXIA=no,LIVER_FIRM=no,SPIDERS=no,PROTIME=[46;Inf]} => {Class=LIVE}",0.357142865657806,1,1,1
"6","{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.307142853736877,1,1,2
"7","{MALAISE=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.300000011920929,1,1,2
"8","{FATIGUE=no,VARICES=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.24285714328289,1,1,2
"9","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.221428573131561,1,1,2
"10","{STEROID=no,BILIRUBIN=[-Inf;1.3],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.178571432828903,1,1,4
"11","{STEROID=no,ANOREXIA=no,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.164285719394684,1,1,1
"12","{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,PROTIME=[46;Inf]} => {Class=LIVE}",0.164285719394684,1,1,1
"13","{BILIRUBIN=[-Inf;1.3],ALBUMIN=[3.9;Inf],HISTOLOGY=yes} => {Class=LIVE}",0.157142862677574,1,1,3
"14","{FATIGUE=yes,MALAISE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.150000005960464,1,1,1
"15","{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.3]} => {Class=LIVE}",0.142857149243355,1,1,5
"16","{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.3]} => {Class=LIVE}",0.142857149243355,1,1,1
"17","{ANTIVIRALS=yes,PROTIME=[46;Inf]} => {Class=LIVE}",0.128571435809135,1,1,2
"18","{STEROID=no,ALBUMIN=[3.9;Inf],HISTOLOGY=no} => {Class=LIVE}",0.128571435809135,1,1,1
"19","{MALAISE=yes,LIVER_BIG=yes,ASCITES=no,HISTOLOGY=no} => {Class=LIVE}",0.128571435809135,1,1,1
"20","{MALAISE=yes,BILIRUBIN=[-Inf;1.3],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.121428571641445,1,1,1
"21","{SEX=male} => {Class=LIVE}",0.114285714924335,1,1,1
"22","{FATIGUE=yes,MALAISE=no,LIVER_FIRM=yes,VARICES=no} => {Class=LIVE}",0.107142858207226,1,1,1
"23","{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}",0.100000001490116,1,1,1
"24","{ANOREXIA=yes,VARICES=no,BILIRUBIN=[-Inf;1.3]} => {Class=LIVE}",0.0857142880558968,1,1,1
"25","{SEX=female,FATIGUE=yes,ANOREXIA=no,PROTIME=[-Inf;43]} => {Class=DIE}",0.0714285746216774,1,1,10
"26","{ASCITES=yes,BILIRUBIN=[1.4;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0642857179045677,1,1,5
"27","{ANOREXIA=no,LIVER_BIG=no,HISTOLOGY=yes} => {Class=LIVE}",0.0571428574621677,1,1,1
"28","{MALAISE=yes,LIVER_BIG=yes,VARICES=yes,HISTOLOGY=yes} => {Class=DIE}",0.0571428574621677,1,1,2
"29","{ALBUMIN=[-Inf;2.6]} => {Class=DIE}",0.0500000007450581,1,1,2
"30","{BILIRUBIN=[1.4;Inf],PROTIME=[-Inf;43],HISTOLOGY=yes} => {Class=DIE}",0.0500000007450581,1,1,1
"31","{LIVER_BIG=no,ALBUMIN=[2.7;3.80866141732],HISTOLOGY=yes} => {Class=LIVE}",0.0428571440279484,1,1,1
"32","{} => {Class=LIVE}",0.79285717010498,0.79285717010498,0,0
