"","rules","support","confidence","orderedConf","orderedSupp"
"1","{TSH=[-Inf;6],TT4=[49;Inf]} => {Class=negative}",0.897526502609253,1,1,3048
"2","{query hypothyroid=f,TSH=[-Inf;6],FTI=[55;Inf]} => {Class=negative}",0.853945791721344,1,1,14
"3","{sex=M,query hypothyroid=f,TSH=[-Inf;6]} => {Class=negative}",0.268845707178116,1,1,5
"4","{sex=M,TSH=[-Inf;6],FTI measured=t} => {Class=negative}",0.25971731543541,1,1,1
"5","{TSH=[-Inf;6],referral source=SVI} => {Class=negative}",0.247644290328026,1,1,1
"6","{on thyroxine=t,FTI=[60;Inf]} => {Class=negative}",0.119552411139011,1,1,46
"7","{TT4=[147;Inf]} => {Class=negative}",0.103651352226734,1,1,5
"8","{on thyroxine=f,thyroid surgery=f,TSH=[5.7;Inf],FTI=[65;86]} => {Class=compensated_hypothyroid}",0.0197290927171707,1,1,67
"9","{thyroid surgery=f,TSH=[5.6;Inf],FTI=[-Inf;53]} => {Class=primary_hypothyroid}",0.0179623086005449,1,1,61
"10","{sex=,TT4 measured=t,TT4=[79;Inf],referral source=other} => {Class=negative}",0.0176678448915482,1,1,1
"11","{on thyroxine=f,thyroid surgery=f,TSH=[6.1;23],TT4=[85;158]} => {Class=compensated_hypothyroid}",0.0270906947553158,0.98924732208252,1,77
"12","{on thyroxine=f,thyroid surgery=f,TSH=[5.9;25],TT4=[72;93]} => {Class=compensated_hypothyroid}",0.0179623086005449,0.983870983123779,0.944444444444444,17
"13","{T3=[1.1;4],TT4=[90;Inf],referral source=SVI} => {Class=negative}",0.162249699234962,0.982174694538116,0.5,1
"14","{sex=F,FTI measured=f,referral source=other} => {Class=negative}",0.0665488839149475,0.97835499048233,1,1
"15","{on thyroxine=f,thyroid surgery=f,TSH=[6.1;23],FTI=[65;112]} => {Class=compensated_hypothyroid}",0.0382803305983543,0.977443635463715,0.888888888888889,8
"16","{sex=F,referral source=STMW} => {Class=negative}",0.0244405176490545,0.976470589637756,1,1
"17","{thyroid surgery=t,referral source=other} => {Class=negative}",0.0100117782130837,0.971428573131561,0.833333333333333,5
"18","{sex=M,T3=[1.1;Inf],FTI measured=t} => {Class=negative}",0.244699642062187,0.964037120342255,1,1
"19","{} => {Class=primary_hypothyroid}",0.02532391063869,0.02532391063869,0.6875,22
