"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a27=[0.53215;0.99188],a33=[0.09091;0.98934]} => {class=g}",0.314285725355148,1,1,99
"2","{a21=[0.12439;0.99776],a27=[0.53215;0.99989]} => {class=g}",0.298412710428238,1,1,9
"3","{a12=[0.00228;0.84605],a27=[0.53215;0.99989]} => {class=g}",0.209523811936378,1,1,1
"4","{a05=[-1;0.0409]} => {class=b}",0.193650797009468,1,1,61
"5","{a03=[-1;0.1859]} => {class=b}",0.168253973126411,1,1,15
"6","{a33=[0;0.00015]} => {class=b}",0.142857149243355,1,1,6
"7","{a27=1,a31=[-1;0.04447]} => {class=b}",0.126984134316444,1,1,4
"8","{a15=[-0.01586;0.0625],a16=[-0.00166;0]} => {class=b}",0.114285714924335,1,1,1
"9","{a13=[-0.93882;-0.07727],a17=[-0.94315;-0.10305]} => {class=g}",0.114285714924335,1,1,25
"10","{a27=1,a29=[-1;0.06061]} => {class=b}",0.114285714924335,1,1,1
"11","{a01=0} => {class=b}",0.111111111938953,1,1,5
"12","{a09=[-0.03636;0.01128]} => {class=b}",0.104761905968189,1,1,2
"13","{a07=[0.05319;0.9101],a11=[-0.83152;-0.02116],a32=[-0.82127;0.76764]} => {class=g}",0.101587302982807,1,1,1
"14","{a03=1,a27=[0.53777;0.99989]} => {class=g}",0.0984126999974251,1,1,2
"15","{a12=[0.00228;0.71257],a16=[-0.33333;-0.00228]} => {class=g}",0.0984126999974251,1,1,5
"16","{a13=[-0.07576;0.22807],a21=[0;0.06897]} => {class=b}",0.095238097012043,1,1,2
"17","{a15=[0;0.17917],a27=1} => {class=b}",0.0888888910412788,1,1,1
"18","{a18=[-1;-0.81556]} => {class=b}",0.0825396850705147,1,1,1
"19","{a14=[-1;-0.59212],a27=1} => {class=b}",0.0761904790997505,1,1,1
"20","{a08=[-1;-0.99265]} => {class=b}",0.0730158761143684,1,1,3
"21","{a05=[0.99793;1],a06=[-0.78509;-0.01209]} => {class=g}",0.0666666701436043,1,1,7
"22","{a12=[0.21303;0.96748],a17=[-0.94315;-0.06122],a25=[-0.83192;-0.01755]} => {class=g}",0.0666666701436043,1,1,5
"23","{a07=[0.05319;0.9101],a09=[-0.55941;-0.03643]} => {class=g}",0.0634920671582222,1,1,1
"24","{a16=[-1;-0.97515]} => {class=b}",0.0603174604475498,1,1,2
"25","{a07=1,a34=[-0.89158;-0.00182]} => {class=g}",0.0571428574621677,1,1,2
"26","{a10=[-1;-0.63427]} => {class=b}",0.0507936514914036,1,1,1
"27","{a12=[0.14922;0.96748],a25=[-0.83192;-0.01097],a33=[0.00025;0.76066]} => {class=g}",0.0507936514914036,1,1,1
"28","{a11=[0.30612;0.8555],a26=[0.15908;0.7978],a33=[-0.91903;-0.04023]} => {class=g}",0.0507936514914036,1,1,12
"29","{a07=1,a14=[-1;-0.59043]} => {class=b}",0.0476190485060215,1,1,1
"30","{a16=1,a27=1} => {class=b}",0.0444444455206394,1,1,1
"31","{a11=1,a21=[0.5283;0.99484]} => {class=g}",0.0444444455206394,1,1,3
"32","{a13=[0.25;0.88486],a14=[-0.50764;0.83614],a33=[-0.8121;-0.04023]} => {class=g}",0.0444444455206394,1,1,2
"33","{a08=[0.00709;0.71429],a23=1} => {class=g}",0.0412698425352573,1,1,3
"34","{a24=-1,a34=1} => {class=b}",0.0317460335791111,1,1,1
"35","{a17=[0;0.19672],a23=1} => {class=b}",0.0285714287310839,1,1,1
"36","{a09=[0.07766;1],a26=[-0.01505;-0.00303],a33=[0.00025;0.98674]} => {class=g}",0.0285714287310839,1,1,2
"37","{a07=[0.05319;0.92806],a16=[-0.61436;-0.01482],a33=[-0.21572;-8e-05]} => {class=g}",0.0285714287310839,1,1,1
"38","{a17=1,a26=[0.02941;0.68326]} => {class=g}",0.0222222227603197,1,1,1
"39","{a12=0,a15=[0.54167;0.90909]} => {class=g}",0.0190476197749376,1,1,1
"40","{a15=[0.29268;0.94326],a16=0} => {class=g}",0.0190476197749376,1,1,2
"41","{a06=0,a12=[-0.41368;-0.01284],a27=[-1;0.52409]} => {class=b}",0.0190476197749376,1,1,1
"42","{a13=[0;0.24514],a33=[-0.67553;-0.00039],a34=[0.01997;0.45745]} => {class=b}",0.0190476197749376,1,1,1
"43","{a23=[0.25616;0.98042],a25=[0.4044;0.9453],a30=1} => {class=g}",0.0158730167895555,1,1,1
"44","{a08=0,a21=[0.33333;0.86364]} => {class=g}",0.0126984128728509,1,1,1
"45","{a17=[0;0.21032],a25=[0.29839;0.73413]} => {class=b}",0.0126984128728509,1,1,1
"46","{a13=[0.25;0.98343],a34=[0.00755;0.86285]} => {class=g}",0.209523811936378,0.985074639320374,1,10
"47","{a06=[-0.78509;-0.00143],a21=[0.09513;0.99589]} => {class=g}",0.158730164170265,0.980392158031464,1,1
"48","{a08=[0.00197;0.98903],a29=[0.07497;0.97901]} => {class=g}",0.307936519384384,0.979797959327698,1,2
"49","{a04=[0.00075;0.67784],a31=[0.13756;0.99112]} => {class=g}",0.279365092515945,0.977777779102325,1,1
"50","{a21=[0.12439;0.99776],a23=[0.18932;0.99624]} => {class=g}",0.387301594018936,0.968253970146179,1,1
"51","{} => {class=g}",0.641269862651825,0.641269862651825,NA,0
