"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a03=[0.74084;0.99701],a05=[0.42328;0.99363]} => {class=g}",0.298412710428238,1,1,94
"2","{a03=[0.74084;0.99701],a33=[0.00025;0.98971]} => {class=g}",0.234920635819435,1,1,8
"3","{a03=[0.74084;0.99701],a31=[0.11372;0.99112]} => {class=g}",0.231746032834053,1,1,2
"4","{a05=[-Inf;0.0409]} => {class=b}",0.187301591038704,1,1,59
"5","{a09=[0.84111;0.99448],a13=[0.25;0.99745]} => {class=g}",0.171428576111794,1,1,12
"6","{a03=[-Inf;0.1859]} => {class=b}",0.168253973126411,1,1,16
"7","{a09=[0.84111;0.99448],a23=[0.18932;0.98122]} => {class=g}",0.161904767155647,1,1,1
"8","{a06=[-0.208;-0.00143],a11=[0.26289;0.9982]} => {class=g}",0.158730164170265,1,1,19
"9","{a06=[-0.208;-0.00143],a25=[0.21581;0.99899]} => {class=g}",0.158730164170265,1,1,1
"10","{a06=[-0.208;-0.00143],a23=[0.18932;0.98122]} => {class=g}",0.155555561184883,1,1,1
"11","{a07=[0.03759;0.99999],a09=[0.84111;0.99448]} => {class=g}",0.152380958199501,1,1,1
"12","{a06=[-0.208;-0.00143],a15=[0.24266;0.99828]} => {class=g}",0.152380958199501,1,1,1
"13","{a10=[0.59975;0.9782],a12=[0.00228;0.96748]} => {class=g}",0.149206355214119,1,1,9
"14","{a06=[-0.208;-0.00143],a27=[0.53215;0.99989]} => {class=g}",0.139682546257973,1,1,1
"15","{a33=[0;0.00015]} => {class=b}",0.133333340287209,1,1,5
"16","{a27=1,a31=[-Inf;0.09611]} => {class=b}",0.1206349208951,1,1,5
"17","{a06=[-0.208;-0.00143],a32=[-0.93953;-0.08637]} => {class=g}",0.117460317909718,1,1,1
"18","{a05=[0.42328;0.99363],a19=[-0.93641;-0.1639]} => {class=g}",0.111111111938953,1,1,2
"19","{a11=[-0.83152;-0.02116],a12=[0.00228;0.96748],a15=[-0.9765;-0.03685]} => {class=g}",0.104761905968189,1,1,1
"20","{a01=0} => {class=b}",0.101587302982807,1,1,6
"21","{a05=[0.99672;Inf],a27=[0.53215;0.99989]} => {class=g}",0.0984126999974251,1,1,10
"22","{a03=1,a27=[0.53215;0.99989]} => {class=g}",0.095238097012043,1,1,2
"23","{a13=[-0.07576;0.24514],a21=[0;0.06897]} => {class=b}",0.0920634940266609,1,1,2
"24","{a11=[0;0.00282]} => {class=b}",0.0888888910412788,1,1,1
"25","{a18=[-Inf;-0.81556]} => {class=b}",0.0857142880558968,1,1,3
"26","{a25=[-3e-05;0]} => {class=b}",0.0761904790997505,1,1,1
"27","{a09=[-0.03636;0.05405],a31=[-Inf;0.09611]} => {class=b}",0.0761904790997505,1,1,1
"28","{a08=[-Inf;-0.99265]} => {class=b}",0.0730158761143684,1,1,3
"29","{a04=[0.0071;0.63548],a05=[0.42328;0.99363],a29=[-0.82366;-0.00018]} => {class=g}",0.0730158761143684,1,1,1
"30","{a09=[-0.55941;-0.03643],a11=[-0.83152;-0.02116]} => {class=g}",0.0666666701436043,1,1,1
"31","{a14=[-Inf;-0.59043],a27=1} => {class=b}",0.0666666701436043,1,1,2
"32","{a12=[0.00228;0.96748],a23=[-0.93618;-0.00028],a29=[-0.82366;-0.00018]} => {class=g}",0.0666666701436043,1,1,1
"33","{a16=[-Inf;-0.97515]} => {class=b}",0.0634920671582222,1,1,2
"34","{a07=[0.03759;0.99999],a09=[-0.55941;-0.03643]} => {class=g}",0.0634920671582222,1,1,1
"35","{a07=[0.03759;0.99999],a25=[0.21581;0.99899],a32=[-0.07464;-0.00012]} => {class=g}",0.0603174604475498,1,1,5
"36","{a10=[-Inf;-0.63427]} => {class=b}",0.0571428574621677,1,1,1
"37","{a07=1,a34=[-0.94823;-6e-05]} => {class=g}",0.0539682544767857,1,1,1
"38","{a07=1,a14=[-Inf;-0.59043]} => {class=b}",0.0476190485060215,1,1,1
"39","{a03=[0.19466;0.7381],a06=[-0.208;-0.00143]} => {class=g}",0.0412698425352573,1,1,1
"40","{a04=[0.81586;Inf],a25=1} => {class=b}",0.0380952395498753,1,1,1
"41","{a08=[0.00197;0.98903],a09=[0.99709;Inf]} => {class=g}",0.0349206365644932,1,1,3
"42","{a13=[-0.07576;0.24514],a23=[0.00494;0.18382]} => {class=b}",0.0317460335791111,1,1,1
"43","{a24=-1,a30=[-0.89674;0.86061]} => {class=b}",0.0317460335791111,1,1,1
"44","{a19=1,a27=[0.53215;0.99989]} => {class=g}",0.0317460335791111,1,1,1
"45","{a05=[0.04198;0.41287],a08=[0.00197;0.98903],a25=[0.21581;0.99899]} => {class=g}",0.0317460335791111,1,1,2
"46","{a05=[0.04198;0.41287],a12=[0.00228;0.96748],a25=[0.21581;0.99899]} => {class=g}",0.0317460335791111,1,1,1
"47","{a05=[0.42328;0.99363],a11=[0.0107;0.23341]} => {class=g}",0.0222222227603197,1,1,1
"48","{a25=[0.00806;0.21],a32=[-0.93953;-0.08637]} => {class=g}",0.0190476197749376,1,1,1
"49","{a12=[0;0.00141],a15=[0.24266;0.99828]} => {class=g}",0.0158730167895555,1,1,1
"50","{a05=[0.42328;0.99363],a19=1} => {class=g}",0.0158730167895555,1,1,1
"51","{a23=[0.18932;0.98122],a25=[0.21581;0.99899],a30=1} => {class=g}",0.0158730167895555,1,1,1
"52","{a06=[-0.78509;-0.22703],a21=[0.07515;0.99776],a34=[-0.94823;-6e-05]} => {class=g}",0.0126984128728509,1,1,1
"53","{a06=0,a12=[-0.49863;-0.00054],a19=[0.25;0.84091]} => {class=b}",0.0126984128728509,1,1,1
"54","{a27=[0.53215;0.99989],a33=[0.00025;0.98971]} => {class=g}",0.304761916399002,0.989690721035004,1,6
"55","{a04=[0.0071;0.63548],a05=[0.42328;0.99363]} => {class=g}",0.30158731341362,0.989583313465118,1,1
"56","{a08=[0.00197;0.98903],a32=[-0.93953;-0.08637]} => {class=g}",0.1206349208951,0.974358975887299,1,3
"57","{a05=[0.42328;0.99363],a31=[0.11372;0.99112]} => {class=g}",0.339682549238205,0.963963985443115,1,1
"58","{a09=[0.99709;Inf],a29=[0.04606;0.994]} => {class=g}",0.0666666701436043,0.954545438289642,1,1
"59","{} => {class=g}",0.641269862651825,0.641269862651825,0,0
