"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a04=[-0.02401;0.14689],a15=[0.15664;0.99828]} => {class=g}",0.242902204394341,1,1,77
"2","{a05=[0.72554;1],a06=[-0.208;0.0342]} => {class=g}",0.239747628569603,1,1,38
"3","{a15=[0.8481;1],a27=[0.33401;0.99989]} => {class=g}",0.201892748475075,1,1,10
"4","{a05=[-Inf;0.0409]} => {class=b}",0.192429021000862,1,1,61
"5","{a06=[-0.208;-0.00143],a17=[0.29352;1]} => {class=g}",0.186119869351387,1,1,3
"6","{a15=[0.06425;1],a16=[-0.03326;0.0661]} => {class=g}",0.186119869351387,1,1,5
"7","{a06=[-0.208;-0.00143],a13=[0.29167;1]} => {class=g}",0.182965293526649,1,NA,0
"8","{a03=[-Inf;0.1859]} => {class=b}",0.173501580953598,1,1,17
"9","{a06=[-0.22703;-0.00143],a19=[0.36482;1]} => {class=g}",0.173501580953598,1,NA,0
"10","{a05=[0.92007;1],a27=[0.51971;0.99989]} => {class=g}",0.17034700512886,1,1,3
"11","{a06=[-0.22703;-0.00143],a27=[0.41348;0.99989]} => {class=g}",0.160883277654648,1,NA,0
"12","{a12=[-0.10932;0.12808],a15=[0.39208;0.91904]} => {class=g}",0.160883277654648,1,1,4
"13","{a05=[0.00428;0.82683],a08=[-0.07653;1],a25=[0.06911;0.8062]} => {class=g}",0.154574126005173,1,1,18
"14","{a06=[-0.22703;-0.00143],a31=[0.13756;0.99112]} => {class=g}",0.151419565081596,1,NA,0
"15","{a33=[-1;0.92226],a34=[0;0.00325]} => {class=b}",0.145110413432121,1,1,6
"16","{a27=[0.60463;1],a31=[-Inf;0.19512]} => {class=b}",0.135646685957909,1,1,5
"17","{a21=[0;1],a33=[-0.04013;0.00705]} => {class=b}",0.135646685957909,1,1,1
"18","{a05=[0.92007;1],a08=[0.00197;0.98903]} => {class=g}",0.129337534308434,1,1,6
"19","{a05=[0.97487;1],a13=[0.19617;0.99745]} => {class=g}",0.123028390109539,1,1,1
"20","{a05=[0.23308;0.99815],a17=[-1;-0.0409]} => {class=g}",0.119873814284801,1,1,25
"21","{a15=[-1;0.28571],a16=[-0.00228;0.06211]} => {class=b}",0.116719245910645,1,1,2
"22","{a01=0} => {class=b}",0.107255518436432,1,1,3
"23","{a03=[0.10135;Inf],a05=[0.00428;0.72314],a16=[-0.38223;0.05018]} => {class=g}",0.107255518436432,1,1,2
"24","{a13=[-1;-0.07727],a17=[-0.94315;-0.03766]} => {class=g}",0.104100950062275,1,1,1
"25","{a05=[0.41287;1],a13=[0.01427;0.59755],a16=[-0.34412;1]} => {class=g}",0.104100950062275,1,1,5
"26","{a13=[-0.05921;0.99745],a16=[0.00286;1],a34=[-0.94823;-6e-05]} => {class=g}",0.100946374237537,1,1,3
"27","{a08=[-0.02;1],a13=[0.0106;0.99745],a34=[-0.89621;-6e-05]} => {class=g}",0.100946374237537,1,NA,0
"28","{a11=[-1;0.47744],a12=[-0.0351;0.02309]} => {class=b}",0.0977917984127998,1,1,1
"29","{a19=[0.93552;1],a27=[0.52409;0.99989]} => {class=g}",0.0977917984127998,1,NA,0
"30","{a21=[-0.99219;0.90854],a27=[0.95243;1]} => {class=b}",0.0946372225880623,1,1,2
