"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a04=[-0.02401;0.14689],a15=[0.15664;0.99828]} => {class=g}",0.242902204394341,1,1,77
"2","{a05=[0.72554;1],a06=[-0.208;0.0342]} => {class=g}",0.239747628569603,1,1,38
"3","{a15=[0.8481;1],a27=[0.33401;0.99989]} => {class=g}",0.201892748475075,1,1,10
"4","{a05=[-Inf;0.0409]} => {class=b}",0.192429021000862,1,1,61
"5","{a06=[-0.208;-0.00143],a17=[0.29352;1]} => {class=g}",0.186119869351387,1,1,3
"6","{a15=[0.06425;1],a16=[-0.03326;0.0661]} => {class=g}",0.186119869351387,1,1,5
"7","{a03=[-Inf;0.1859]} => {class=b}",0.173501580953598,1,1,17
"8","{a05=[0.92007;1],a27=[0.51971;0.99989]} => {class=g}",0.17034700512886,1,1,3
"9","{a12=[-0.10932;0.12808],a15=[0.39208;0.91904]} => {class=g}",0.160883277654648,1,1,4
"10","{a05=[0.00428;0.82683],a08=[-0.07653;1],a25=[0.06911;0.8062]} => {class=g}",0.154574126005173,1,1,18
"11","{a33=[-1;0.92226],a34=[0;0.00325]} => {class=b}",0.145110413432121,1,1,6
"12","{a27=[0.60463;1],a31=[-Inf;0.19512]} => {class=b}",0.135646685957909,1,1,5
"13","{a21=[0;1],a33=[-0.04013;0.00705]} => {class=b}",0.135646685957909,1,1,1
"14","{a05=[0.92007;1],a08=[0.00197;0.98903]} => {class=g}",0.129337534308434,1,1,6
"15","{a05=[0.97487;1],a13=[0.19617;0.99745]} => {class=g}",0.123028390109539,1,1,1
"16","{a05=[0.23308;0.99815],a17=[-1;-0.0409]} => {class=g}",0.119873814284801,1,1,25
"17","{a15=[-1;0.28571],a16=[-0.00228;0.06211]} => {class=b}",0.116719245910645,1,1,2
"18","{a01=0} => {class=b}",0.107255518436432,1,1,3
"19","{a03=[0.10135;Inf],a05=[0.00428;0.72314],a16=[-0.38223;0.05018]} => {class=g}",0.107255518436432,1,1,2
"20","{a13=[-1;-0.07727],a17=[-0.94315;-0.03766]} => {class=g}",0.104100950062275,1,1,1
"21","{a05=[0.41287;1],a13=[0.01427;0.59755],a16=[-0.34412;1]} => {class=g}",0.104100950062275,1,1,5
"22","{a13=[-0.05921;0.99745],a16=[0.00286;1],a34=[-0.94823;-6e-05]} => {class=g}",0.100946374237537,1,1,3
"23","{a11=[-1;0.47744],a12=[-0.0351;0.02309]} => {class=b}",0.0977917984127998,1,1,1
"24","{a21=[-0.99219;0.90854],a27=[0.95243;1]} => {class=b}",0.0946372225880623,1,1,2
"25","{a09=[-0.11108;0.06192],a31=[-Inf;0.36364]} => {class=b}",0.0914826467633247,1,1,1
"26","{a18=[-Inf;-0.81556]} => {class=b}",0.0883280783891678,1,1,1
"27","{a22=[0.9273;Inf],a27=[0.84132;1]} => {class=b}",0.0725552067160606,1,1,4
"28","{a16=[-Inf;-0.63668]} => {class=b}",0.0662460550665855,1,1,1
"29","{a29=[-0.82366;0.994],a30=[0.55805;1]} => {class=g}",0.0662460550665855,1,1,1
"30","{a14=[-Inf;-0.47265],a27=[0.68775;1]} => {class=b}",0.063091479241848,1,1,2
"31","{a14=[-Inf;-0.49639],a30=[-0.48936;1]} => {class=b}",0.063091479241848,1,1,1
"32","{a03=[0.05866;Inf],a09=[-0.85;-0.03643]} => {class=g}",0.0599369071424007,1,1,1
"33","{} => {class=b}",0.359621465206146,0.359621465206146,1,6
