"","rules","support","confidence","orderedConf","orderedSupp"
"1","{petallength=[1.1;1.9]} => {class=Iris-setosa}",0.333333343267441,1,1,45
"2","{petallength=[3;4.8],petalwidth=[1;1.6]} => {class=Iris-versicolor}",0.30370369553566,1,1,41
"3","{petallength=[4.9;6.9],petalwidth=[1.8;2.5]} => {class=Iris-virginica}",0.296296298503876,1,1,40
"4","{sepalwidth=[2.5;3],petalwidth=[1.8;2.4]} => {class=Iris-virginica}",0.185185179114342,1,1,1
"5","{sepallength=[5.6;6.2],petallength=[3.5;4.7],petalwidth=[1;1.6]} => {class=Iris-versicolor}",0.155555561184883,1,NA,0
"6","{sepallength=[6.3;7],petallength=[4.3;4.8]} => {class=Iris-versicolor}",0.0740740746259689,1,NA,0
"7","{sepallength=[5.6;6.2],petallength=[4.9;5.6]} => {class=Iris-virginica}",0.0666666701436043,1,1,1
"8","{sepalwidth=[3.1;3.4],petallength=[4.4;4.8]} => {class=Iris-versicolor}",0.0518518500030041,1,1,1
"9","{sepalwidth=[3.1;3.4],petalwidth=[1.4;1.6]} => {class=Iris-versicolor}",0.0518518500030041,1,1,1
"10","{petallength=[4.9;6.9]} => {class=Iris-virginica}",0.31851851940155,0.93478262424469,0.5,2
"11","{} => {class=Iris-setosa}",0.333333343267441,0.333333343267441,0,0
