"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.560444474220276,1,1,5044
"2","{srv_count=[314;Inf]} => {labels=smurf.}",0.560111105442047,1,1,3
"3","{src_bytes=[-Inf;1],diff_srv_rate=[0.04;0.08]} => {labels=neptune.}",0.21288888156414,1,1,1916
"4","{dst_host_count=255,dst_host_diff_srv_rate=[0.06;0.09]} => {labels=neptune.}",0.180888891220093,1,1,42
"5","{flag=b'S0',serror_rate=[0.99;Inf]} => {labels=neptune.}",0.177666664123535,1,1,3
"6","{service=b'http',hot=0,same_srv_rate=1} => {labels=normal.}",0.124111108481884,1,1,1117
"7","{dst_bytes=[4;8302],hot=0,logged_in=1} => {labels=normal.}",0.119444444775581,1,1,212
"8","{service=b'http',flag=b'SF',num_compromised=0} => {labels=normal.}",0.111666664481163,1,1,1
"9","{src_bytes=[29;333],dst_host_srv_count=255} => {labels=normal.}",0.0947777777910233,1,1,18
"10","{dst_bytes=[4;8302],dst_host_srv_count=255} => {labels=normal.}",0.0894444435834885,1,1,1
"11","{src_bytes=[29;333],dst_bytes=[4;8302],logged_in=1} => {labels=normal.}",0.0888888910412788,1,1,1
"12","{dst_host_srv_diff_host_rate=[0.01;0.06]} => {labels=normal.}",0.0844444409012794,1,1,43
"13","{dst_bytes=[4;8302],hot=0,dst_host_count=[5;254]} => {labels=normal.}",0.0816666632890701,1,1,35
"14","{dst_bytes=[4;8302],hot=0,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0799999982118607,1,1,264
"15","{dst_bytes=[4;8302],dst_host_count=[5;254],dst_host_rerror_rate=0} => {labels=normal.}",0.0766666680574417,1,1,3
"16","{src_bytes=[29;333],dst_host_count=255} => {labels=normal.}",0.0741111114621162,1,1,68
"17","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.03]} => {labels=normal.}",0.0596666671335697,1,1,2
"18","{wrong_fragment=0,count=[7;28],same_srv_rate=1} => {labels=normal.}",0.0567777790129185,1,1,9
"19","{protocol_type=b'tcp',flag=b'SF',count=[7;28]} => {labels=normal.}",0.0549999997019768,1,1,1
"20","{=[11584;39708],logged_in=1} => {labels=normal.}",0.0533333346247673,1,1,3
"21","{hot=0,logged_in=1,dst_host_same_src_port_rate=0} => {labels=normal.}",0.0482222214341164,1,1,1
"22","{hot=0,srv_diff_host_rate=[0.01;0.45]} => {labels=normal.}",0.0441111102700233,1,1,1
"23","{hot=0,logged_in=1,dst_host_count=255} => {labels=normal.}",0.0435555540025234,1,1,3
"24","{dst_bytes=[4;8302],hot=0,dst_host_same_srv_rate=[0.38;0.99]} => {labels=normal.}",0.0430000014603138,1,1,1
"25","{src_bytes=[29;333],logged_in=1,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0390000008046627,1,1,4
"26","{src_bytes=[29;333],srv_count=[7;15]} => {labels=normal.}",0.0348888896405697,1,1,1
"27","{hot=0,logged_in=1,srv_count=[3;6]} => {labels=normal.}",0.0307777784764767,1,1,2
"28","{protocol_type=b'tcp',hot=0,dst_host_srv_count=[109;254]} => {labels=normal.}",0.0295555554330349,1,1,2
"29","{src_bytes=[29;333],srv_count=1,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0280000008642673,1,1,9
"30","{src_bytes=[29;333],count=1,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0278888884931803,1,1,3
"31","{=[74104;91602],protocol_type=b'tcp',rerror_rate=[-Inf;0.67]} => {labels=normal.}",0.0263333339244127,1,1,3
"32","{src_bytes=[29;333],srv_count=[3;6]} => {labels=normal.}",0.0262222215533257,1,1,2
"33","{count=1,dst_host_same_src_port_rate=[0.01;0.03],dst_host_rerror_rate=0} => {labels=normal.}",0.0233333334326744,1,1,1
"34","{count=1,dst_host_count=[5;254],dst_host_srv_count=[109;254]} => {labels=normal.}",0.0188888888806105,1,1,1
"35","{hot=0,logged_in=1,dst_host_diff_srv_rate=[0.02;0.04]} => {labels=normal.}",0.0171111114323139,1,1,3
"36","{src_bytes=[1487;30683]} => {labels=normal.}",0.0115555552765727,1,1,2
"37","{src_bytes=[29;333],dst_host_same_srv_rate=1,dst_host_srv_serror_rate=0} => {labels=normal.}",0.0974444448947906,0.997724711894989,0.333333333333333,1
"38","{protocol_type=b'tcp',srv_rerror_rate=0,dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0344444438815117,0.996784567832947,0.666666666666667,2
"39","{} => {labels=smurf.}",0.56077778339386,0.56077778339386,0,0
