"","rules","support","confidence","orderedConf","orderedSupp"
"1","{pension=,statutory-holidays=[11;Inf]} => {class=good}",0.461538463830948,1,1,24
"2","{wage-increase-second-year=[3.5;Inf],education-allowance=,statutory-holidays=[11;Inf]} => {class=good}",0.442307680845261,1,1,6
"3","{wage-increase-first-year=[2.8;Inf],longterm-disability-assistance=} => {class=good}",0.365384608507156,1,1,1
"4","{pension=,education-allowance=} => {class=good}",0.346153855323792,1,1,1
"5","{wage-increase-first-year=[3;Inf],wage-increase-second-year=[2.5;Inf],longterm-disability-assistance=yes} => {class=good}",0.25,1,1,1
"6","{pension=none} => {class=bad}",0.211538463830948,1,1,11
"7","{wage-increase-first-year=[-Inf;2.8],statutory-holidays=[-Inf;11]} => {class=bad}",0.211538463830948,1,1,4
"8","{contribution-to-health-plan=none} => {class=bad}",0.134615391492844,1,NA,0
"9","{longterm-disability-assistance=no} => {class=bad}",0.134615391492844,1,1,2
"10","{statutory-holidays=[11;Inf],contribution-to-dental-plan=half} => {class=good}",0.134615391492844,1,1,1
"11","{cost-of-living-adjustment=none,contribution-to-dental-plan=none} => {class=bad}",0.115384615957737,1,1,1
"12","{} => {class=good}",0.653846144676208,0.653846144676208,NA,0
