"","rules","support","confidence","orderedConf","orderedSupp"
"1","{x2ybr=[6;7],x-ege=[0;1],xegvy=8,y-ege=[0;2]} => {class=I}",0.0225162617862225,1,1,405
"2","{x2bar=[0;1],x2ybr=[6;8],x-ege=0} => {class=I}",0.0178462229669094,1,1,85
"3","{xybar=[-Inf;2],x-ege=0} => {class=L}",0.012286651879549,1,1,221
"4","{xybar=[-Inf;2]} => {class=L}",0.0150664364919066,0.996323525905609,0.980392156862745,50
"5","{x2ybr=[0;2],x-ege=2,xegvy=6} => {class=A}",0.0114527158439159,0.990384638309479,0.990384615384615,206
"6","{width=[0;7],y2bar=[0;2],x2ybr=[0;2]} => {class=A}",0.0247400905936956,0.98888885974884,0.982638888888889,283
"7","{y-bar=[0;7],xybar=[6;7],xy2br=8,x-ege=0} => {class=I}",0.0151220327243209,0.985507249832153,0.555555555555556,5
"8","{y-bar=[0;10],x-ege=[0;1],xegvy=[11;15]} => {class=Y}",0.0121198641136289,0.981981992721558,0.981900452488688,217
"9","{high=[-Inf;8],x2bar=0,x2ybr=6} => {class=I}",0.0109523544088006,0.975247502326965,0.444444444444444,4
"10","{x2ybr=[0;2],xy2br=8,x-ege=2} => {class=A}",0.0131761832162738,0.967346966266632,0.5,7
"11","{x2bar=2,x2ybr=[0;2],x-ege=2} => {class=A}",0.0106743760406971,0.964824140071869,0.3,3
"12","{x-bar=7,y-bar=[5;7],xybar=7,x-ege=0} => {class=I}",0.0159003715962172,0.95333331823349,0.2,3
"13","{x-bar=7,xybar=7,x2ybr=[3;9],x-ege=0} => {class=I}",0.0160671602934599,0.950657904148102,0.5,1
"14","{y-bar=7,xybar=[6;7],x-ege=0,yegvx=8} => {class=I}",0.0156223941594362,0.942952990531921,0.125,2
"15","{high=[-Inf;8],x-ege=[8;9],xegvy=6} => {class=M}",0.0105631845071912,0.935960590839386,0.935960591133005,190
"16","{x-ege=[8;9],xegvy=6} => {class=M}",0.0106187798082829,0.927184462547302,0.333333333333333,1
"17","{high=[-Inf;9],x2ybr=[0;2],x-ege=2} => {class=A}",0.0200144555419683,0.925449848175049,0.235294117647059,4
"18","{x-ege=[0;1],xegvy=11,yegvx=[8;15]} => {class=Y}",0.0108411628752947,0.906976759433746,0.696969696969697,46
"19","{xybar=7,x2ybr=6,x-ege=0,yegvx=8} => {class=I}",0.0164007339626551,0.89939022064209,0.2,4
"20","{x-box=[0;1],y-bar=[7;12],xy2br=[8;10],x-ege=0} => {class=I}",0.0164563301950693,0.888888895511627,0.0263157894736842,1
"21","{xy2br=[6;15],x-ege=[0;1],xegvy=11} => {class=Y}",0.0151220327243209,0.885993480682373,0.525,21
"22","{xy2br=[-Inf;3],xegvy=10} => {class=P}",0.0111191412433982,0.881057262420654,0.881057268722467,200
"23","{high=[-Inf;8],x2ybr=[0;2],x-ege=0} => {class=L}",0.0190137326717377,0.848635256290436,0.682291666666667,131
"24","{x2ybr=[0;2],x-ege=0} => {class=L}",0.019124923273921,0.847290635108948,0.5,1
"25","{onpix=[-Inf;1],y-bar=[7;10],xy2br=[8;9],x-ege=0} => {class=I}",0.0174570530653,0.844086050987244,0.0454545454545455,1
"26","{width=[4;7],high=[-Inf;9],x-ege=2,xegvy=6} => {class=A}",0.0102852061390877,0.814977943897247,0.0909090909090909,4
"27","{y-bar=10,xy2br=8,xegvy=11} => {class=Y}",0.0103408014401793,0.812227070331573,0.488095238095238,41
"28","{y2bar=7,x2ybr=[6;10],x-ege=0,xegvy=8} => {class=I}",0.0110079506412148,0.811475396156311,0.1,4
"29","{high=[1;8],y-bar=2,x2ybr=[1;2]} => {class=A}",0.0105075892060995,0.811158776283264,0.5,17
"30","{onpix=2,x-ege=3,xegvy=9} => {class=U}",0.0103963976725936,0.806034505367279,0.806034482758621,187
"31","{width=[4;7],high=[-Inf;8],x2ybr=[1;2],xy2br=8} => {class=A}",0.0115083111450076,0.799227774143219,0.173913043478261,8
"32","{y2bar=7,x2ybr=[6;8],x-ege=0} => {class=I}",0.0122310556471348,0.791366934776306,0.352941176470588,6
"33","{xy2br=[-Inf;3]} => {class=P}",0.0137877352535725,0.789808928966522,0.564102564102564,44
"34","{high=[-Inf;8],x2ybr=[1;2],xy2br=8} => {class=A}",0.0150664364919066,0.776504278182983,0.1,1
"35","{y2bar=7,x-ege=0,xegvy=8} => {class=I}",0.0115639073774219,0.776119410991669,0.391304347826087,9
"36","{y-bar=2,x2ybr=[1;2]} => {class=A}",0.0105631845071912,0.775510191917419,0.25,1
"37","{x-ege=[0;1],xegvy=11} => {class=Y}",0.0174570530653,0.749403357505798,0.349397590361446,29
"38","{high=[-Inf;8],x2bar=2,x2ybr=[1;2]} => {class=A}",0.0156779903918505,0.74210524559021,0.296296296296296,16
"39","{x2bar=2,x2ybr=[1;2]} => {class=A}",0.0157891809940338,0.737662315368652,0.333333333333333,1
"40","{x2bar=0,x-ege=0,xegvy=[8;9]} => {class=I}",0.0126758217811584,0.735483884811401,0.0476190476190476,4
"41","{width=[4;7],xegvy=10,y-ege=1} => {class=V}",0.0105631845071912,0.730769217014313,0.745098039215686,190
"42","{high=[-Inf;8],xy2br=9,x-ege=3,xegvy=9} => {class=U}",0.0110079506412148,0.727941155433655,0.626315789473684,119
"43","{xy2br=9,x-ege=3,xegvy=9} => {class=U}",0.0110635459423065,0.715827345848083,0.166666666666667,1
"44","{x2bar=0,x-ege=0} => {class=I}",0.0130649916827679,0.685131192207336,0.0526315789473684,1
"45","{y-bar=10,xegvy=11} => {class=Y}",0.0148996496573091,0.678481042385101,0.287037037037037,31
"46","{onpix=[-Inf;1],xegvy=11} => {class=Y}",0.0100072277709842,0.666666686534882,0.0294117647058824,2
"47","{high=[-Inf;8],y-bar=7,xy2br=5} => {class=D}",0.0100072277709842,0.664206624031067,0.666666666666667,180
"48","{high=[1;8],x-ege=3,xegvy=9,yegvx=[6;8]} => {class=U}",0.0220714956521988,0.661666691303253,0.5,130
"49","{high=[1;8],xy2br=[8;9],x-ege=3,xegvy=9} => {class=U}",0.0214043483138084,0.655877351760864,0.027027027027027,1
"50","{xybar=7,x2ybr=6,x-ege=0} => {class=I}",0.0179574135690928,0.648594379425049,0.0347826086956522,4
"51","{high=[-Inf;8],x2ybr=[1;2],xegvy=6} => {class=A}",0.0159003715962172,0.648526072502136,0.112903225806452,7
"52","{y-bar=7,xy2br=5} => {class=D}",0.0100628230720758,0.644128084182739,0.1,1
"53","{xegvy=10,y-ege=1} => {class=V}",0.0111747374758124,0.64012736082077,0.203703703703704,11
"54","{high=[2;8],x2bar=0} => {class=I}",0.0131761832162738,0.630319178104401,0.0454545454545455,1
"55","{high=[-Inf;8],xy2br=11,xegvy=8} => {class=K}",0.0105631845071912,0.629139065742493,0.644067796610169,190
"56","{high=[1;8],y-bar=4,x2ybr=[0;2]} => {class=L}",0.0110079506412148,0.624605655670166,0.133333333333333,2
"57","{x-ege=3,xegvy=9,yegvx=8} => {class=U}",0.0135653531178832,0.622448980808258,0.0526315789473684,1
"58","{high=[1;8],y-bar=2} => {class=A}",0.0117306942120194,0.622418880462646,0.283783783783784,21
"59","{high=[2;8],y-bar=[8;9],x-ege=3,xegvy=9} => {class=U}",0.015010841190815,0.596026480197906,0.0681818181818182,3
"60","{x-box=[0;4],width=[4;15],high=[-Inf;8],x2ybr=[1;2]} => {class=A}",0.0212375596165657,0.595015585422516,0.0645161290322581,2
"61","{xy2br=8,x-ege=1,yegvx=8} => {class=Y}",0.010785567574203,0.591463387012482,0.2109375,27
"62","{x-ege=1,xegvy=6} => {class=J}",0.0114527158439159,0.590257883071899,0.94475138121547,171
"63","{high=[1;8],x-ege=2,y-ege=[0;1]} => {class=V}",0.0143992882221937,0.56427013874054,0.506172839506173,82
"64","{high=[-Inf;8],y-bar=10,xy2br=8} => {class=Y}",0.0106743760406971,0.563049852848053,0.0315789473684211,3
"65","{high=[2;8],x-ege=1,y-ege=4} => {class=C}",0.0107299713417888,0.5594202876091,0.703296703296703,192
"66","{xy2br=8,xegvy=11,yegvx=8} => {class=Y}",0.0114527158439159,0.546419084072113,0.027027027027027,2
"67","{high=[-Inf;9],x-ege=[8;13],yegvx=8} => {class=M}",0.012842608615756,0.544811308383942,0.342629482071713,86
"68","{high=[1;8],xy2br=5,xegvy=8} => {class=D}",0.0116750989109278,0.539845764636993,0.28169014084507,40
"69","{xy2br=8,xegvy=8,y-ege=3,yegvx=8} => {class=O}",0.0102296099066734,0.536443173885345,0.647887323943662,184
"70","{onpix=[3;6],x-ege=[8;15]} => {class=M}",0.0148440543562174,0.529761910438538,0.418918918918919,62
"71","{high=[-Inf;8],xybar=7,xegvy=8,y-ege=[6;7]} => {class=E}",0.0121754603460431,0.528985500335693,0.386100386100386,100
"72","{x-ege=0,xegvy=7} => {class=J}",0.012842608615756,0.526195883750916,0.827027027027027,153
"73","{xybar=7,xegvy=8,y-ege=[6;7]} => {class=E}",0.0122310556471348,0.520094573497772,0.125,1
"74","{width=[4;9],high=[-Inf;8],x-ege=1,xegvy=10} => {class=P}",0.0120642688125372,0.519138753414154,0.284848484848485,47
"75","{xy2br=5,xegvy=8} => {class=D}",0.0117862904444337,0.505966603755951,0.0555555555555556,1
"76","{high=[-Inf;8],xegvy=10,y-ege=4} => {class=P}",0.0110635459423065,0.501259446144104,0.305084745762712,72
"77","{} => {class=N}",0.0391393788158894,0.0391393788158894,0.0632105056840455,645
