"","rules","support","confidence","orderedConf","orderedSupp"
"1","{xybar=[-Inf;2],x-ege=0} => {class=L}",0.0124368444085121,1,1,224
"2","{x2bar=0,x2ybr=6,x-ege=0} => {class=I}",0.0108822388574481,1,1,196
"3","{x2ybr=6,x-ege=0,xegvy=8,y-ege=0} => {class=I}",0.0101049356162548,1,1,174
"4","{high=[-Inf;8],xybar=[-Inf;2]} => {class=L}",0.0150463609024882,0.996323525905609,0.979591836734694,48
"5","{xybar=[-Inf;2]} => {class=L}",0.0152129251509905,0.992753624916077,0.666666666666667,2
"6","{x2ybr=[1;2],x-ege=2,xegvy=6} => {class=A}",0.0112153682857752,0.990196049213409,0.990196078431373,202
"7","{y-bar=7,xybar=7,xy2br=8,x-ege=0} => {class=I}",0.0154905337840319,0.989361703395844,0.956521739130435,66
"8","{xybar=7,x2ybr=6,xy2br=8,x-ege=0} => {class=I}",0.0158791858702898,0.982817888259888,0.777777777777778,7
"9","{width=[4;7],y2bar=2,x2ybr=[1;2]} => {class=A}",0.0120481923222542,0.977477490901947,0.951456310679612,98
"10","{high=[-Inf;8],x2bar=0,x2ybr=6} => {class=I}",0.0110488031059504,0.975490212440491,0.5,5
"11","{y-bar=10,x-ege=1,xegvy=11} => {class=Y}",0.0108267171308398,0.975000023841858,0.974874371859296,194
"12","{x2bar=2,x2ybr=[1;2],x-ege=2} => {class=A}",0.0109377605840564,0.9656862616539,0.862745098039216,44
"13","{x-bar=7,y-bar=7,xybar=7,x-ege=0} => {class=I}",0.0158791858702898,0.95973151922226,0.444444444444444,8
"14","{x2ybr=[1;2],xy2br=8,x-ege=2} => {class=A}",0.0118261063471437,0.959459483623505,0.84,42
"15","{x-bar=7,xybar=7,x2ybr=6,x-ege=0} => {class=I}",0.0164344012737274,0.957928776741028,1,3
"16","{high=[-Inf;8],y2bar=2,x2ybr=[1;2]} => {class=A}",0.0128810172900558,0.950819671154022,0.5625,9
"17","{y-bar=7,xybar=7,x-ege=0,yegvx=8} => {class=I}",0.0159902274608612,0.947368443012238,0.0666666666666667,1
"18","{high=[-Inf;8],x-ege=[8;Inf],xegvy=6} => {class=M}",0.0126589303836226,0.923076927661896,0.923076923076923,228
"19","{high=[-Inf;8],x2ybr=[1;2],x-ege=2} => {class=A}",0.0181000493466854,0.915730357170105,0.35,7
"20","{x-ege=1,xegvy=11,yegvx=8} => {class=Y}",0.0100494138896465,0.914141416549683,0.738461538461539,48
"21","{x-ege=[8;Inf],xegvy=6} => {class=M}",0.0127699738368392,0.91269838809967,0.4,2
"22","{xybar=7,x2ybr=6,x-ege=0,yegvx=8} => {class=I}",0.0167675316333771,0.904191613197327,0.210526315789474,4
"23","{xy2br=8,x-ege=1,xegvy=11} => {class=Y}",0.0100494138896465,0.887254893779755,0.133333333333333,2
"24","{xy2br=[-Inf;3],xegvy=10} => {class=P}",0.0112708900123835,0.878787875175476,0.878787878787879,203
"25","{x-box=1,x2ybr=6,xy2br=8,x-ege=0} => {class=I}",0.0116595411673188,0.875,0.333333333333333,15
"26","{x-box=1,x-bar=7,x2ybr=6,x-ege=0} => {class=I}",0.0124923661351204,0.872093021869659,1,2
"27","{onpix=[-Inf;1],x2ybr=6,xy2br=8,x-ege=0} => {class=I}",0.0167675316333771,0.857954561710358,0.0476190476190476,1
"28","{onpix=[-Inf;1],x-bar=7,x2ybr=6,x-ege=0} => {class=I}",0.0179334841668606,0.856763899326324,0.5,2
