"","rules","support","confidence","orderedConf","orderedSupp"
"1","{x2ybr=[6;7],x-ege=[0;1],xegvy=8,y-ege=[0;2]} => {class=I}",0.0224307365715504,1,1,404
"2","{x2bar=[0;1],x2ybr=[6;8],x-ege=0} => {class=I}",0.0179334841668606,1,1,91
"3","{xybar=[-Inf;3],x-ege=0} => {class=L}",0.0133251901715994,1,1,240
"4","{high=[-Inf;8],xybar=[-Inf;2]} => {class=L}",0.0150463609024882,0.996323525905609,0.979591836734694,48
"5","{xybar=[-Inf;2]} => {class=L}",0.0152129251509905,0.992753624916077,0.666666666666667,2
"6","{x2ybr=[0;2],x-ege=2,xegvy=6} => {class=A}",0.0114374551922083,0.990384638309479,0.990384615384615,206
"7","{y-bar=[0;7],xybar=[6;7],xy2br=8,x-ege=0} => {class=I}",0.015712620690465,0.989510476589203,0.625,5
"8","{width=[0;7],y2bar=[0;2],x2ybr=[0;2]} => {class=A}",0.024818167090416,0.98893803358078,0.982578397212544,282
"9","{xybar=[6;7],x2ybr=[0;9],xy2br=8,x-ege=0} => {class=I}",0.0158791858702898,0.982817888259888,0.333333333333333,1
"10","{y-bar=[8;10],x-ege=[0;1],xegvy=[11;15]} => {class=Y}",0.0120481923222542,0.977477490901947,0.97737556561086,216
"11","{high=[-Inf;8],x2bar=0,x2ybr=6} => {class=I}",0.0110488031059504,0.975490212440491,0.5,5
"12","{high=[-Inf;8],y2bar=[0;2],x2ybr=[0;2]} => {class=A}",0.024818167090416,0.973856210708618,0.125,1
"13","{x2bar=2,x2ybr=[0;2],x-ege=2} => {class=A}",0.0109377605840564,0.9656862616539,0.533333333333333,8
"14","{x2ybr=[0;2],xy2br=8,x-ege=2} => {class=A}",0.0136027978733182,0.964566946029663,0.2,2
"15","{x-bar=7,y-bar=[5;7],xybar=7,x-ege=0} => {class=I}",0.0162123143672943,0.960526287555695,0.166666666666667,2
"16","{x-bar=7,xybar=7,x2ybr=[3;9],x-ege=0} => {class=I}",0.0164344012737274,0.957928776741028,1,1
"17","{y-bar=7,xybar=[6;7],x-ege=0,yegvx=8} => {class=I}",0.0159902274608612,0.947368443012238,0.0666666666666667,1
"18","{high=[-Inf;8],x-ege=[8;Inf],xegvy=6} => {class=M}",0.0126589303836226,0.923076927661896,0.923076923076923,228
"19","{high=[-Inf;8],x2ybr=[0;2],x-ege=2} => {class=A}",0.0198767427355051,0.92268043756485,0.1875,3
"20","{x-ege=[0;1],xegvy=11,yegvx=8} => {class=Y}",0.0100494138896465,0.914141416549683,0.716666666666667,43
"21","{x-ege=[8;Inf],xegvy=6} => {class=M}",0.0127699738368392,0.91269838809967,0.4,2
"22","{xybar=7,x2ybr=6,x-ege=0,yegvx=8} => {class=I}",0.0167675316333771,0.904191613197327,0.210526315789474,4
