"","rules","support","confidence","orderedConf","orderedSupp"
"1","{block_of_affere=yes,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2]} => {class=metastases}",0.300000011920929,1,1,39
"2","{block_of_affere=yes,special_forms=chalices,no_of_nodes_in=[-Inf;3]} => {class=metastases}",0.192307695746422,1,1,5
"3","{block_of_affere=no,special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.184615388512611,1,1,24
"4","{by_pass=no,special_forms=vesicles,dislocation_of=yes,no_of_nodes_in=[3;Inf]} => {class=malign_lymph}",0.169230774044991,1,1,5
"5","{block_of_affere=yes,regeneration_of=no,early_uptake_in=no} => {class=metastases}",0.16153846681118,1,1,4
"6","{block_of_affere=yes,lym_nodes_enlar=[-Inf;2],defect_in_node=lac_margin} => {class=metastases}",0.15384615957737,1,1,1
"7","{lymphatics=arched,block_of_affere=yes,lym_nodes_enlar=[-Inf;2]} => {class=metastases}",0.15384615957737,1,1,1
"8","{early_uptake_in=no,changes_in_node=lac_margin,exclusion_of_no=yes} => {class=metastases}",0.146153852343559,1,1,6
"9","{block_of_affere=no,changes_in_lym=oval,special_forms=vesicles} => {class=malign_lymph}",0.138461545109749,1,1,4
"10","{early_uptake_in=yes,changes_in_node=lacunar,special_forms=vesicles,exclusion_of_no=yes} => {class=malign_lymph}",0.138461545109749,1,1,4
"11","{changes_in_lym=round,defect_in_node=lac_margin,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2]} => {class=metastases}",0.138461545109749,1,1,2
"12","{early_uptake_in=yes,changes_in_lym=oval,special_forms=vesicles,no_of_nodes_in=[3;Inf]} => {class=malign_lymph}",0.130769237875938,1,1,1
"13","{bl_of_lymph_c=no,early_uptake_in=yes,changes_in_lym=oval,no_of_nodes_in=[3;Inf]} => {class=malign_lymph}",0.130769237875938,1,1,1
"14","{lym_nodes_enlar=[3;Inf],changes_in_node=lac_central} => {class=malign_lymph}",0.123076923191547,1,1,5
"15","{block_of_affere=yes,regeneration_of=no,changes_in_stru=coarse} => {class=metastases}",0.115384615957737,1,1,1
"16","{block_of_affere=no,extravasates=yes,exclusion_of_no=yes} => {class=malign_lymph}",0.115384615957737,1,1,2
"17","{bl_of_lymph_c=yes,changes_in_node=lac_margin} => {class=metastases}",0.107692308723927,1,1,1
"18","{block_of_affere=yes,exclusion_of_no=no} => {class=metastases}",0.107692308723927,1,1,2
"19","{extravasates=no,changes_in_lym=round,defect_in_node=lac_margin,changes_in_node=lac_margin} => {class=metastases}",0.107692308723927,1,1,1
"20","{block_of_affere=no,changes_in_node=lac_central} => {class=malign_lymph}",0.100000001490116,1,1,1
"21","{lym_nodes_enlar=[-Inf;2],changes_in_lym=round,exclusion_of_no=yes} => {class=metastases}",0.100000001490116,1,1,1
"22","{early_uptake_in=yes,changes_in_lym=round,special_forms=chalices} => {class=metastases}",0.0923076942563057,1,1,1
"23","{lymphatics=arched,early_uptake_in=no,exclusion_of_no=yes} => {class=metastases}",0.0923076942563057,1,1,2
"24","{block_of_affere=no,early_uptake_in=yes,changes_in_stru=faint,exclusion_of_no=yes} => {class=malign_lymph}",0.0923076942563057,1,1,1
"25","{extravasates=no,changes_in_node=lac_central} => {class=malign_lymph}",0.0769230797886848,1,1,1
"26","{lymphatics=deformed,extravasates=no,changes_in_node=lac_margin} => {class=metastases}",0.0769230797886848,1,1,1
"27","{extravasates=no,special_forms=no,dislocation_of=yes} => {class=metastases}",0.0692307725548744,1,1,3
"28","{changes_in_lym=oval,defect_in_node=lacunar,changes_in_node=lacunar,exclusion_of_no=yes} => {class=malign_lymph}",0.0692307725548744,1,1,1
"29","{lymphatics=deformed,exclusion_of_no=no,no_of_nodes_in=[-Inf;6]} => {class=metastases}",0.0615384615957737,1,1,1
"30","{block_of_affere=no,extravasates=yes,changes_in_node=lacunar} => {class=malign_lymph}",0.0615384615957737,1,1,1
"31","{lymphatics=deformed,block_of_affere=no,changes_in_node=lacunar,exclusion_of_no=yes} => {class=malign_lymph}",0.0384615398943424,1,1,1
"32","{block_of_affere=no,changes_in_stru=drop_like,exclusion_of_no=no} => {class=malign_lymph}",0.0307692307978868,1,1,1
"33","{by_pass=yes,regeneration_of=yes,lym_nodes_enlar=[-Inf;2]} => {class=fibrosis}",0.0230769235640764,1,1,3
"34","{extravasates=yes,changes_in_lym=oval,changes_in_stru=drop_like} => {class=malign_lymph}",0.0230769235640764,1,1,1
"35","{} => {class=normal}",0.00769230769947171,0.00769230769947171,1,1
