"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity-mean=[86.2963;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue-mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region-centroid-row=[176;210],rawred-mean=[26.3333;56.2222]} => {class=path}",0.119769118726254,1,1,249
"4","{region-centroid-row=[176;210],hue-mean=[-2.09439;-1.85826]} => {class=path}",0.10870610922575,1,1,2
"5","{region-centroid-row=[176;210],vedge-mean=[1.83333;4.05556],saturation-mean=[0.275266;0.321085]} => {class=path}",0.0731120705604553,1,1,1
"6","{region-centroid-row=[211;Inf]} => {class=grass}",0.0663780644536018,1,1,2
"7","{exgreen-mean=[-8.44444;-6.33333],hue-mean=[-1.51256;-0.57094]} => {class=brickface}",0.0596440583467484,1,1,124
"8","{exred-mean=[0.222222;Inf],exgreen-mean=[-8.44444;-6.33333]} => {class=brickface}",0.0591630600392818,1,1,1
"9","{rawred-mean=[6.33333;8.55556],hue-mean=[-1.51256;-0.57094]} => {class=brickface}",0.0553150549530983,1,1,1
"10","{saturation-mean=[0.527778;0.621324],hue-mean=[-1.51256;-0.57094]} => {class=brickface}",0.0529100522398949,1,1,2
"11","{rawred-mean=[18.5556;22.8889],rawgreen-mean=[12.4444;16.8889]} => {class=brickface}",0.0466570481657982,1,1,97
"12","{vedge-mean=[0.333335;0.722222],hue-mean=[-1.51256;-0.57094]} => {class=brickface}",0.0466570481657982,1,1,2
"13","{rawblue-mean=[6.22222;8.77778],rawgreen-mean=[2.77778;4.22222],saturation-mean=[0.527778;0.621324]} => {class=brickface}",0.0452140457928181,1,1,3
"14","{region-centroid-col=[-Inf;151],rawblue-mean=[26.3333;36.2222],hue-mean=[-1.84852;-1.51268]} => {class=brickface}",0.0442520454525948,1,1,46
"15","{vegde-sd=[0.0333334;0.207407],exred-mean=[0.222222;Inf]} => {class=brickface}",0.0418470427393913,1,1,1
"16","{exgreen-mean=[-17.7778;-15.2222],hue-mean=[-1.84852;-1.51268]} => {class=brickface}",0.0384800396859646,1,1,3
"17","{region-centroid-col=[-Inf;151],intensity-mean=[17.1852;26.037],exred-mean=[-4.55556;-0.555556],hue-mean=[-1.84852;-1.51268]} => {class=brickface}",0.0384800396859646,1,1,3
"18","{exred-mean=[-4.55556;-0.555556],saturation-mean=[0.363717;0.44725],hue-mean=[-1.84852;-1.51268]} => {class=brickface}",0.0375180393457413,1,1,1
"19","{vegde-sd=[0.0333334;0.207407],exgreen-mean=[-8.44444;-6.33333],saturation-mean=[0.527778;0.621324]} => {class=brickface}",0.034632034599781,1,1,1
"20","{region-centroid-col=[-Inf;151],region-centroid-row=[82;116],rawred-mean=[-Inf;3.77778]} => {class=foliage}",0.0336700342595577,1,1,70
"21","{saturation-mean=[0.718221;Inf],hue-mean=[-2.41039;-2.23887]} => {class=foliage}",0.0331890322268009,1,1,39
"22","{region-centroid-row=[82;116],exred-mean=[0.222222;Inf]} => {class=brickface}",0.0307840313762426,1,1,4
"23","{rawred-mean=[-Inf;3.77778],hue-mean=[-2.41039;-2.23887]} => {class=foliage}",0.030303031206131,1,1,1
"24","{region-centroid-row=[117;129],saturation-mean=[0.718221;Inf]} => {class=foliage}",0.0278980284929276,1,1,45
"25","{vedge-mean=[0.333335;0.722222],vegde-sd=[0.0333334;0.207407],intensity-mean=[4.51852;6.77778]} => {class=brickface}",0.0278980284929276,1,1,1
"26","{region-centroid-row=[176;210],hedge-mean=[5.38889;18.8889]} => {class=path}",0.0259740259498358,1,1,2
"27","{region-centroid-row=[82;116],short-line-density-2=0,value-mean=[48.5556;79.5556]} => {class=cement}",0.0259740259498358,1,1,54
"28","{hedge-sd=[0.177779;0.557773],hue-mean=[-1.51256;-0.57094]} => {class=brickface}",0.0254930257797241,1,1,1
"29","{hedge-mean=[3;5.27778],exgreen-mean=[-25.6667;-21],saturation-mean=[0.275266;0.321085]} => {class=path}",0.024050023406744,1,1,2
"30","{region-centroid-row=[117;129],rawred-mean=[26.3333;56.2222]} => {class=cement}",0.0235690232366323,1,1,49
"31","{short-line-density-2=0,hedge-sd=[1.59745;10.4],rawred-mean=[8.66667;15.5556],value-mean=[15.7778;20.3333]} => {class=grass}",0.0235690232366323,1,1,1
"32","{region-centroid-col=[-Inf;151],rawgreen-mean=[17;22.2222],hue-mean=[-1.84852;-1.51268]} => {class=brickface}",0.0230880230665207,1,1,3
"33","{region-centroid-col=[-Inf;151],exblue-mean=[9.66667;17.1111],exgreen-mean=[-4.77778;-1.44444]} => {class=foliage}",0.022607022896409,1,1,9
"34","{short-line-density-2=0,exgreen-mean=[-4.77778;-1.44444],hue-mean=[-2.41039;-2.23887]} => {class=foliage}",0.022607022896409,1,1,2
"35","{rawred-mean=[-Inf;3.77778],exred-mean=[-13.8889;-8.22222]} => {class=foliage}",0.0221260227262974,1,1,1
"36","{vedge-mean=[1.33333;1.77778],rawred-mean=[18.5556;22.8889],saturation-mean=[0.363717;0.44725]} => {class=brickface}",0.0221260227262974,1,1,1
"37","{region-centroid-row=[82;116],rawred-mean=[26.3333;56.2222],hue-mean=[-2.09439;-1.85826]} => {class=cement}",0.0221260227262974,1,1,10
