"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity-mean=[86.2963;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue-mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region-centroid-row=[155;Inf],rawred-mean=[25.3333;137.111]} => {class=path}",0.140933141112328,1,1,293
"4","{region-centroid-row=[163;Inf],hue-mean=[-2.61865;-1.75551]} => {class=path}",0.131313130259514,1,1,4
"5","{region-centroid-row=[-Inf;159],vegde-sd=[0;4.95162],rawred-mean=[27.3333;65]} => {class=cement}",0.106301106512547,1,1,221
"6","{region-centroid-row=[-Inf;170],rawred-mean=[22.8889;102.889],hue-mean=[-2.09852;-1.86828]} => {class=cement}",0.0841750875115395,1,1,27
"7","{exgreen-mean=[-33.8889;-2.66667],hue-mean=[-1.51268;-0.57094]} => {class=brickface}",0.078403078019619,1,1,163
"8","{rawred-mean=[-Inf;11.2222],hue-mean=[-Inf;-2.21166]} => {class=foliage}",0.0716690719127655,1,1,149
"9","{saturation-mean=[0.466345;Inf],hue-mean=[-Inf;-2.23829]} => {class=foliage}",0.0683020651340485,1,1,15
"10","{region-centroid-row=[211;Inf]} => {class=grass}",0.0663780644536018,1,1,2
"11","{vegde-sd=[0;0.490653],exred-mean=[0.111111;Inf]} => {class=brickface}",0.064935065805912,1,1,5
"12","{exgreen-mean=[-33.8889;-14.5556],hue-mean=[-1.86318;Inf]} => {class=brickface}",0.0644540637731552,1,1,116
"13","{region-centroid-col=[-Inf;131],region-centroid-row=[14;129],exgreen-mean=[-6;24.6667]} => {class=foliage}",0.0630110651254654,1,1,47
"14","{rawred-mean=[18.1111;137.111],rawgreen-mean=[0;18.2222]} => {class=brickface}",0.060606062412262,1,1,3
"15","{region-centroid-col=[-Inf;159],region-centroid-row=[41;129],rawred-mean=[-Inf;4]} => {class=foliage}",0.0582010596990585,1,1,4
"16","{rawblue-mean=[0;150.889],rawgreen-mean=[2.44444;4.44444],saturation-mean=[0.0984723;0.617063]} => {class=brickface}",0.0557960569858551,1,1,3
"17","{region-centroid-row=[82;159],short-line-density-2=0,value-mean=[47.3333;91.4444]} => {class=cement}",0.054353054612875,1,1,2
"18","{exred-mean=[-7.55556;Inf],saturation-mean=[0.38675;0.463569],hue-mean=[-2.00012;-1.5415]} => {class=brickface}",0.0524290539324284,1,1,3
"19","{region-centroid-col=[-Inf;151],intensity-mean=[6.2963;46.1111],exred-mean=[-6.11111;Inf],hue-mean=[-1.7934;-1.5415]} => {class=brickface}",0.0509860515594482,1,1,1
"20","{short-line-density-2=0,hedge-sd=[0.742868;21.6186],rawred-mean=[8.55556;17],value-mean=[9.77778;20.2222]} => {class=grass}",0.0500240512192249,1,1,1
"21","{short-line-density-2=0,exgreen-mean=[-6.22222;24.6667],hue-mean=[-2.44804;-2.21166]} => {class=foliage}",0.0461760461330414,1,1,1
"22","{region-centroid-row=[67;158],vegde-sd=[1.44016;Inf],hue-mean=[-Inf;-2.23829]} => {class=foliage}",0.0447330437600613,1,1,13
"23","{region-centroid-row=[-Inf;122],value-mean=[11.8889;37.5556],hue-mean=[-2.23072;-2.0944]} => {class=window}",0.0442520454525948,1,1,92
"24","{vedge-mean=[0.944447;2.33333],rawred-mean=[17.8889;23.1111],saturation-mean=[0.367923;0.453341]} => {class=brickface}",0.0432900451123714,1,1,1
"25","{region-centroid-row=[-Inf;133],intensity-mean=[0;5],exred-mean=[-49.6667;-4.55556]} => {class=foliage}",0.0423280410468578,1,1,8
"26","{vegde-sd=[0;0.251851],exgreen-mean=[-11.5556;-3.88889],saturation-mean=[0.512566;0.619713]} => {class=brickface}",0.0413660407066345,1,1,1
"27","{region-centroid-col=[-Inf;241],exblue-mean=[10.1111;22.1111],exgreen-mean=[-4.77778;24.6667]} => {class=foliage}",0.0341510325670242,1,1,1
"28","{region-centroid-row=[-Inf;125],exred-mean=[-14.7778;-8.22222],hue-mean=[-2.2166;-2.11635]} => {class=window}",0.0331890322268009,1,1,1
"29","{region-centroid-col=[124;Inf],exgreen-mean=[-1.66667;1.77778]} => {class=window}",0.0317460335791111,1,1,66
"30","{region-centroid-row=[117;129],saturation-mean=[0.6248;Inf]} => {class=foliage}",0.0312650315463543,1,1,9
"31","{region-centroid-row=[-Inf;124],exred-mean=[-16;-6.11111],exgreen-mean=[-10.1111;-7.44444]} => {class=window}",0.0293410290032625,1,1,21
"32","{region-centroid-col=[133;213],hedge-mean=[-Inf;0.333332]} => {class=window}",0.0278980284929276,1,1,12
"33","{region-centroid-col=[110;Inf],vedge-mean=[-Inf;0.22222],rawgreen-mean=0} => {class=window}",0.0269360262900591,1,1,4
"34","{region-centroid-row=[-Inf;129],hedge-sd=[0.0740738;0.551851],saturation-mean=[0.718221;Inf]} => {class=foliage}",0.0264550261199474,1,1,1
"35","{region-centroid-col=[-Inf;155],vegde-sd=[0.177779;0.827758],rawgreen-mean=[0.111111;140],exgreen-mean=[-4.66667;-1]} => {class=foliage}",0.0245310254395008,1,1,11
"36","{saturation-mean=[0.601852;0.881217],hue-mean=[-2.09439;-1.7836]} => {class=window}",0.0235690232366323,1,1,30
