"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity-mean=[86.2963;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue-mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region-centroid-row=[159;Inf],rawred-mean=[25.3333;137.111]} => {class=path}",0.140933141112328,1,1,293
"4","{region-centroid-row=[163;Inf],rawblue-mean=[0;29.2222]} => {class=grass}",0.133237138390541,1,1,3
"5","{region-centroid-row=[163;Inf],hue-mean=[-2.86995;-1.75671]} => {class=path}",0.132756128907204,1,1,4
"6","{region-centroid-row=[11;153],saturation-mean=[0.198052;0.349325],hue-mean=[-2.0943;-1.51876]} => {class=cement}",0.0779220759868622,1,1,162
"7","{exgreen-mean=[-33.8889;-2.66667],hue-mean=[-1.51268;-0.57094]} => {class=brickface}",0.0769600793719292,1,1,160
"8","{region-centroid-col=[-Inf;173],exgreen-mean=[-33.8889;-12.6667],hue-mean=[-1.84058;Inf]} => {class=brickface}",0.0745550766587257,1,1,124
"9","{region-centroid-col=[-Inf;164],exgreen-mean=[-33.8889;-13.2222],saturation-mean=[0.357668;0.448676]} => {class=brickface}",0.0721500739455223,1,1,4
"10","{region-centroid-col=[-Inf;151],rawred-mean=[18.1111;45.5556],hue-mean=[-1.85316;0]} => {class=brickface}",0.0716690719127655,1,1,1
"11","{saturation-mean=[0.466345;Inf],hue-mean=[-Inf;-2.23829]} => {class=foliage}",0.0673400685191154,1,1,140
"12","{exred-mean=[-2.33333;Inf],exgreen-mean=[-8.77778;-5.22222]} => {class=brickface}",0.0615680627524853,1,1,2
"13","{rawblue-mean=[0;20.6667],hue-mean=[-2.86995;-2.22266]} => {class=foliage}",0.0601250603795052,1,1,14
"14","{region-centroid-col=[-Inf;159],region-centroid-row=[69;129],rawred-mean=[-Inf;4.22222]} => {class=foliage}",0.058682058006525,1,1,47
"15","{region-centroid-row=[82;159],short-line-density-2=0,rawgreen-mean=[32.4444;66.4444]} => {class=cement}",0.058682058006525,1,1,35
"16","{region-centroid-row=[11;172],short-line-density-2=0,intensity-mean=[47.2593;68.2963]} => {class=cement}",0.0567580573260784,1,1,21
"17","{rawblue-mean=[0;150.889],rawgreen-mean=[2.44444;4.44444],saturation-mean=[0.0990602;0.617063]} => {class=brickface}",0.0562770552933216,1,1,2
"18","{region-centroid-row=[58;Inf],exgreen-mean=[-7.88889;24.6667],hue-mean=[-2.46749;-2.23756]} => {class=foliage}",0.0553150549530983,1,1,5
"19","{vegde-sd=[0;0.251851],exgreen-mean=[-11.5556;-3.88889],saturation-mean=[0.511905;0.634921]} => {class=brickface}",0.0418470427393913,1,1,1
"20","{region-centroid-col=[-Inf;185],vedge-mean=[-Inf;0.833332],rawgreen-mean=[2.55556;4.44444]} => {class=brickface}",0.0418470427393913,1,1,1
"21","{region-centroid-row=[11;133],intensity-mean=[0;5],exred-mean=[-49.4444;-4.55556]} => {class=foliage}",0.0418470427393913,1,1,14
"22","{region-centroid-row=[67;158],vegde-sd=[1.44016;Inf],hue-mean=[-Inf;-2.24448]} => {class=foliage}",0.0418470427393913,1,1,11
"23","{region-centroid-row=[76;172],rawred-mean=[41.8889;58.3333]} => {class=cement}",0.0379990376532078,1,1,1
"24","{region-centroid-col=[124;Inf],rawred-mean=[-Inf;5.55556],exred-mean=[-1.88889;3.66667]} => {class=window}",0.0379990376532078,1,1,79
"25","{hedge-mean=[-Inf;1.33333],rawred-mean=[27.3333;52]} => {class=cement}",0.0360750369727612,1,1,12
"26","{region-centroid-row=[23;122],exgreen-mean=[-13.3333;-7.11111],hue-mean=[-2.18244;-2.09121]} => {class=window}",0.0360750369727612,1,1,75
"27","{rawgreen-mean=[0;1.77778],hue-mean=[-Inf;-2.13331]} => {class=foliage}",0.0336700342595577,1,1,12
"28","{region-centroid-row=[11;122],exred-mean=[-14.7778;-7.77778],hue-mean=[-2.18547;-2.10265]} => {class=window}",0.0331890322268009,1,1,2
"29","{region-centroid-row=[84;122],rawblue-mean=[20.3333;36.5556],exred-mean=[-14.5556;-7.11111]} => {class=window}",0.0322270318865776,1,1,12
"30","{hedge-mean=[-Inf;1.33333],rawgreen-mean=[20.3333;95.6667],exgreen-mean=[-22;-14.3333]} => {class=cement}",0.0317460335791111,1,1,3
"31","{hedge-sd=[-1.58946e-08;1.0037],rawgreen-mean=[20.5556;95.6667],exgreen-mean=[-21.1111;-14.3333]} => {class=cement}",0.0312650315463543,1,1,1
"32","{region-centroid-row=[117;129],saturation-mean=[0.6248;Inf]} => {class=foliage}",0.030303031206131,1,1,7
"33","{rawblue-mean=[7.77778;150.889],exgreen-mean=[-6.11111;24.6667],saturation-mean=[0.711898;Inf]} => {class=foliage}",0.0298220291733742,1,1,1
"34","{region-centroid-col=[110;Inf],vedge-mean=[-Inf;0.222221],rawred-mean=[-Inf;6.88889]} => {class=window}",0.0298220291733742,1,1,7
"35","{rawred-mean=[-Inf;35.3333],exgreen-mean=[-25.3333;-17.1111]} => {class=brickface}",0.0293410290032625,1,1,2
"36","{hedge-mean=[-Inf;1.55555],intensity-mean=[31.8519;49.7037]} => {class=cement}",0.0293410290032625,1,1,1
