"","rules","support","confidence","orderedConf","orderedSupp"
"1","{value-mean=[115.333;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue-mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region-centroid-row=[159;Inf],rawred-mean=[25.3333;137.111]} => {class=path}",0.140933141112328,1,1,293
"4","{region-centroid-row=[163;Inf],hue-mean=[-2.86995;-1.75551]} => {class=path}",0.133718132972717,1,1,4
"5","{region-centroid-row=[155;Inf],rawgreen-mean=[35.7778;142.556]} => {class=path}",0.12025012075901,1,NA,0
"6","{vegde-sd=[0;4.61111],rawred-mean=[8.55556;16],rawblue-mean=[8.77778;18.7778]} => {class=grass}",0.0880230888724327,1,1,2
"7","{exgreen-mean=[-33.8889;-2.66667],hue-mean=[-1.51268;-0.57094]} => {class=brickface}",0.0779220759868622,1,1,162
"8","{region-centroid-col=[-Inf;151],rawred-mean=[17;45.5556],hue-mean=[-1.85316;0]} => {class=brickface}",0.0755170732736588,1,1,122
"9","{region-centroid-col=[-Inf;173],exgreen-mean=[-33.8889;-13.3333],hue-mean=[-1.86318;Inf]} => {class=brickface}",0.0755170732736588,1,1,2
"10","{region-centroid-col=[-Inf;165],exgreen-mean=[-33.8889;-13.2222],saturation-mean=[0.351487;0.448676]} => {class=brickface}",0.0721500739455223,1,1,1
"11","{short-line-density-5=0,hue-mean=[-1.51256;-0.00492694]} => {class=brickface}",0.0711880698800087,1,NA,0
"12","{saturation-mean=[0.33971;Inf],hue-mean=[-Inf;-2.25454]} => {class=foliage}",0.0702260732650757,1,1,146
"13","{vedge-mean=[0;3.05556],saturation-mean=[0.38675;0.463569],hue-mean=[-2.00012;1.75665]} => {class=brickface}",0.0702260732650757,1,1,2
"14","{saturation-mean=[0.37037;Inf],hue-mean=[-Inf;-2.24632]} => {class=foliage}",0.0697450712323189,1,1,4
"15","{rawred-mean=[-Inf;11.5556],hue-mean=[-Inf;-2.22322]} => {class=foliage}",0.0683020651340485,1,1,20
"16","{region-centroid-row=[211;Inf]} => {class=grass}",0.0663780644536018,1,1,1
"17","{region-centroid-row=[156;Inf],vedge-mean=[2.44445;Inf],saturation-mean=[0.229674;0.329364]} => {class=path}",0.0639730617403984,1,NA,0
"18","{rawred-mean=[17;137.111],rawgreen-mean=[0;18.2222]} => {class=brickface}",0.0634920671582222,1,NA,0
"19","{region-centroid-row=[11;132],exred-mean=[-19.5556;-3.22222],exgreen-mean=[-4.77778;24.6667]} => {class=foliage}",0.0625300630927086,1,1,37
"20","{exred-mean=[-2.33333;Inf],exgreen-mean=[-8.77778;-5.22222]} => {class=brickface}",0.060606062412262,1,1,2
"21","{exgreen-mean=[-33.8889;-6.33333],value-mean=[0;9.44444]} => {class=brickface}",0.0601250603795052,1,NA,0
"22","{region-centroid-col=[-Inf;159],region-centroid-row=[69;129],rawred-mean=[-Inf;4]} => {class=foliage}",0.058682058006525,1,1,26
"23","{region-centroid-col=[-Inf;160],region-centroid-row=[69;129],exgreen-mean=[-6;-1.22222]} => {class=foliage}",0.0567580573260784,1,NA,0
"24","{region-centroid-row=[82;159],short-line-density-2=0,rawgreen-mean=[32.4444;79.4444]} => {class=cement}",0.0562770552933216,1,1,117
"25","{rawred-mean=[-Inf;31.2222],hue-mean=[-2.44984;-2.24632]} => {class=foliage}",0.0557960569858551,1,NA,0
"26","{rawblue-mean=[0;150.889],rawgreen-mean=[2.44444;4.44444],saturation-mean=[0.0984723;0.617063]} => {class=brickface}",0.0548340566456318,1,1,3
"27","{rawblue-mean=[0;46],hue-mean=[-2.44984;-2.24632]} => {class=foliage}",0.054353054612875,1,NA,0
"28","{exgreen-mean=[-6.22222;24.6667],hue-mean=[-2.44804;-2.22322]} => {class=foliage}",0.0500240512192249,1,NA,0
"29","{region-centroid-row=[11;122],value-mean=[8.66667;36.5556],hue-mean=[-2.21646;-2.06335]} => {class=window}",0.0500240512192249,1,1,104
"30","{hedge-mean=[2.33333;44.7222],exgreen-mean=[-33.8889;-20.1111],saturation-mean=[0;0.321085]} => {class=path}",0.048100046813488,1,NA,0
"31","{exblue-mean=[-12.1111;21.1111],hue-mean=[-2.44984;-2.23756]} => {class=foliage}",0.0452140457928181,1,NA,0
"32","{region-centroid-row=[11;124],value-mean=[8;26.2222],hue-mean=[-2.18547;-1.78515]} => {class=window}",0.0423280410468578,1,1,22
"33","{region-centroid-row=[11;122],rawred-mean=[1;18.3333],hue-mean=[-2.17877;-2.06055]} => {class=window}",0.0413660407066345,1,NA,0
"34","{region-centroid-col=[-Inf;185],short-line-density-5=0,vedge-mean=[0;0.833332],rawgreen-mean=[2.55556;4.44444]} => {class=brickface}",0.040885042399168,1,1,1
"35","{vegde-sd=[0;0.251851],exgreen-mean=[-11.5556;-3.88889],saturation-mean=[0.511905;0.619713]} => {class=brickface}",0.0399230383336544,1,1,1
"36","{rawred-mean=[-Inf;5.77778],exred-mean=[-49.6667;-7],saturation-mean=[0.691123;Inf]} => {class=foliage}",0.0399230383336544,1,1,5
"37","{region-centroid-row=[11;133],exblue-mean=[8.88889;22.1111],exgreen-mean=[-5.22222;24.6667]} => {class=foliage}",0.0384800396859646,1,1,2
"38","{region-centroid-row=[11;158],vegde-sd=[2.09497;Inf],hue-mean=[-Inf;-2.25125]} => {class=foliage}",0.0384800396859646,1,1,5
"39","{region-centroid-col=[-Inf;151],vedge-mean=[0;3.05556],hedge-sd=[1.67778;Inf],hue-mean=[-1.88072;-1.19107]} => {class=brickface}",0.0379990376532078,1,NA,0
"40","{region-centroid-row=[11;129],rawgreen-mean=[1.77778;14.8889],hue-mean=[-2.17877;-2.03587]} => {class=window}",0.0375180393457413,1,NA,0
"41","{region-centroid-row=[76;172],rawred-mean=[41.8889;58.3333]} => {class=cement}",0.0360750369727612,1,1,8
"42","{region-centroid-col=[124;Inf],rawred-mean=[-Inf;20.2222],exred-mean=[-1.55556;1.88889]} => {class=window}",0.0360750369727612,1,1,75
"43","{region-centroid-row=[109;159],rawgreen-mean=[32.4444;95.1111]} => {class=cement}",0.034632034599781,1,NA,0
"44","{region-centroid-row=[168;234],hedge-mean=[5.05556;44.7222]} => {class=path}",0.0341510325670242,1,NA,0
"45","{region-centroid-row=[11;133],rawblue-mean=[5.11111;9.44444],saturation-mean=[0.723011;Inf]} => {class=foliage}",0.0341510325670242,1,NA,0
"46","{region-centroid-row=[117;129],saturation-mean=[0.6248;Inf]} => {class=foliage}",0.0331890322268009,1,1,5
"47","{region-centroid-row=[11;124],exgreen-mean=[-10.1111;-7.11111],hue-mean=[-2.23072;-1.90381]} => {class=window}",0.0331890322268009,1,1,5
"48","{region-centroid-col=[-Inf;Inf],exblue-mean=[10.1111;22.1111],exgreen-mean=[-4.77778;24.6667]} => {class=foliage}",0.0327080339193344,1,NA,0
"49","{region-centroid-row=[11;121],exblue-mean=[26;43],hue-mean=[-2.08595;-1.93792]} => {class=cement}",0.0322270318865776,1,1,27
"50","{short-line-density-2=0,hedge-mean=[2.5;9.38889],exgreen-mean=[-25.7778;-21]} => {class=path}",0.0312650315463543,1,NA,0
"51","{region-centroid-col=[-Inf;198],region-centroid-row=[111;129],rawred-mean=[-Inf;4]} => {class=foliage}",0.030303031206131,1,NA,0
"52","{hedge-mean=[-Inf;1.55555],intensity-mean=[31.8519;49.7037]} => {class=cement}",0.0298220291733742,1,1,29
"53","{region-centroid-row=[117;129],intensity-mean=[0.037037;4.51852]} => {class=foliage}",0.0288600288331509,1,NA,0
"54","{region-centroid-col=[133;213],hedge-mean=[-Inf;0.333332]} => {class=window}",0.0278980284929276,1,1,8
"55","{hedge-mean=[0.444445;1.33333],rawred-mean=[25.1111;45.8889]} => {class=cement}",0.0278980284929276,1,1,3
"56","{hedge-sd=[-1.58946e-08;0.962963],intensity-mean=[31.8519;50.7037]} => {class=cement}",0.0274170283228159,1,1,3
"57","{region-centroid-col=[151;189],rawred-mean=[-Inf;6.44444]} => {class=window}",0.0274170283228159,1,1,9
"58","{hedge-sd=[-1.58946e-08;1.20493],rawred-mean=[27.3333;41]} => {class=cement}",0.0259740259498358,1,1,1
"59","{vedge-mean=[3.61111;Inf],hue-mean=[-Inf;-2.2428]} => {class=foliage}",0.0254930257797241,1,NA,0
"60","{region-centroid-row=[121;Inf],rawred-mean=[-Inf;4],hue-mean=[-2.09439;-1.47702]} => {class=window}",0.0254930257797241,1,1,27
