"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.573000013828278,1,1,5157
"2","{srv_count=[418;Inf]} => {labels=smurf.}",0.572666645050049,1,1,4
"3","{src_bytes=1032} => {labels=smurf.}",0.464777767658234,1,1,1
"4","{protocol_type=b'tcp',diff_srv_rate=[0.04;0.23]} => {labels=neptune.}",0.214666664600372,1,1,1932
"5","{same_srv_rate=[0.01;0.19],dst_host_diff_srv_rate=[0.05;0.09]} => {labels=neptune.}",0.206222221255302,1,1,1
"6","{flag=b'S0',serror_rate=[0.97;Inf],dst_host_srv_serror_rate=[0.29;Inf]} => {labels=neptune.}",0.173888891935349,1,1,7
"7","{src_bytes=[29;333]} => {labels=normal.}",0.146555557847023,1,1,1319
"8","{dst_bytes=[4;2446],diff_srv_rate=[-Inf;0.03]} => {labels=normal.}",0.116999998688698,1,1,225
"9","{service=b'http',hot=0,dst_host_serror_rate=0} => {labels=normal.}",0.116888888180256,1,1,122
"10","{service=b'http',hot=0,dst_host_srv_serror_rate=0} => {labels=normal.}",0.115333333611488,1,1,1
"11","{dst_bytes=[4;2446],dst_host_serror_rate=0} => {labels=normal.}",0.114666663110256,1,1,9
"12","{service=b'http',same_srv_rate=1,dst_host_rerror_rate=0} => {labels=normal.}",0.105444446206093,1,1,1
"13","{protocol_type=b'tcp',dst_bytes=[4;2446]} => {labels=normal.}",0.0893333330750465,1,1,1
"14","{service=b'http',num_compromised=0,dst_host_count=[4;225]} => {labels=normal.}",0.0686666667461395,1,1,1
"15","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.05]} => {labels=normal.}",0.0601111128926277,1,1,1
"16","{same_srv_rate=1,dst_host_same_src_port_rate=[0.01;0.05],dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0545555539429188,1,1,1
"17","{=[11507;39506],dst_host_rerror_rate=0} => {labels=normal.}",0.0509999990463257,1,1,6
"18","{num_compromised=0,dst_host_same_srv_rate=1,dst_host_same_src_port_rate=[0.01;0.05]} => {labels=normal.}",0.0493333339691162,1,1,1
"19","{flag=b'SF',wrong_fragment=0,count=[7;17]} => {labels=normal.}",0.0431111119687557,1,1,15
"20","{logged_in=1,count=[7;17]} => {labels=normal.}",0.0397777780890465,1,1,1
"21","{=[74187;91602],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}",0.029222222045064,1,1,3
"22","{count=[2;6],dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.028999999165535,1,1,11
"23","{wrong_fragment=0,same_srv_rate=1,dst_host_same_src_port_rate=[0.06;0.34]} => {labels=normal.}",0.0268888883292675,1,1,5
"24","{wrong_fragment=0,dst_host_same_src_port_rate=[0.06;0.34],dst_host_serror_rate=0} => {labels=normal.}",0.0264444444328547,1,1,2
"25","{duration=[1;Inf],hot=0,dst_host_rerror_rate=0} => {labels=normal.}",0.0205555558204651,1,1,1
"26","{logged_in=1,count=[18;48]} => {labels=normal.}",0.0187777783721685,1,1,6
"27","{=[449786;459717],flag=b'SF',wrong_fragment=0} => {labels=normal.}",0.0174444448202848,1,1,1
"28","{=[-Inf;7662]} => {labels=normal.}",0.0157777778804302,1,1,1
"29","{count=[2;6],dst_host_diff_srv_rate=[0.01;0.03]} => {labels=normal.}",0.0105555551126599,1,1,1
"30","{same_srv_rate=1,dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0873333364725113,0.998729348182678,0.5,1
"31","{hot=0,logged_in=1,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0523333325982094,0.993670880794525,0.25,1
"32","{} => {labels=smurf.}",0.573555529117584,0.573555529117584,0,0
