"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=[152;255]} => {labels=smurf.}",0.573222219944,1,1,5159
"2","{srv_count=[418;Inf]} => {labels=smurf.}",0.572666645050049,1,1,2
"3","{src_bytes=1032} => {labels=smurf.}",0.46511110663414,1,1,1
"4","{src_bytes=[-Inf;0],diff_srv_rate=[0.01;0.43]} => {labels=neptune.}",0.21511110663414,1,1,1936
"5","{same_srv_rate=[0;0.49],dst_host_diff_srv_rate=[0.04;0.1]} => {labels=neptune.}",0.214333340525627,1,1,3
"6","{count=[68;510],dst_host_diff_srv_rate=[0.04;0.48]} => {labels=neptune.}",0.210777774453163,1,NA,0
"7","{src_bytes=[-Inf;1],dst_host_srv_count=[2;75],dst_host_same_src_port_rate=[0;0.01]} => {labels=neptune.}",0.204333335161209,1,1,1
"8","{flag=b'S0',serror_rate=[0.33;Inf],dst_host_srv_serror_rate=[0.03;Inf]} => {labels=neptune.}",0.173888891935349,1,NA,0
"9","{src_bytes=[29;333]} => {labels=normal.}",0.147222220897675,1,1,1325
"10","{dst_bytes=[4;2446],dst_host_serror_rate=[0;0.14]} => {labels=normal.}",0.120444446802139,1,1,236
"11","{service=b'http',hot=0,dst_host_serror_rate=0} => {labels=normal.}",0.118777774274349,1,1,124
"12","{service=b'http',hot=0,dst_host_srv_serror_rate=0} => {labels=normal.}",0.117888890206814,1,1,1
"13","{dst_bytes=[4;2446],diff_srv_rate=[-Inf;0.17]} => {labels=normal.}",0.11711110919714,1,NA,0
"14","{service=b'http',same_srv_rate=[0.38;1],dst_host_rerror_rate=0} => {labels=normal.}",0.107888892292976,1,1,1
"15","{protocol_type=b'tcp',dst_bytes=[4;2446]} => {labels=normal.}",0.0893333330750465,1,NA,0
"16","{same_srv_rate=[0.5;1],dst_host_same_src_port_rate=[0;0.35],dst_host_srv_diff_host_rate=[0.01;0.67]} => {labels=normal.}",0.0881111100316048,1,1,18
"17","{hot=[0;1],logged_in=1,dst_host_same_src_port_rate=[0.01;0.35]} => {labels=normal.}",0.0811111107468605,1,1,9
"18","{logged_in=1,dst_host_same_src_port_rate=[0.01;0.35],dst_host_rerror_rate=0} => {labels=normal.}",0.0756666660308838,1,1,1
"19","{protocol_type=b'tcp',flag=b'SF',srv_count=[7;Inf]} => {labels=normal.}",0.0747777745127678,1,1,15
"20","{logged_in=1,count=[7;511]} => {labels=normal.}",0.0606666654348373,1,1,1
"21","{count=[2;36],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0592222213745117,1,1,3
"22","{=[11507;40312],wrong_fragment=0,dst_host_rerror_rate=[0;0.03]} => {labels=normal.}",0.0527777783572674,1,NA,0
"23","{=[74260;140356],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}",0.0430000014603138,1,NA,0
"24","{flag=b'SF',count=[7;13]} => {labels=normal.}",0.0347777791321278,1,NA,0
"25","{wrong_fragment=0,dst_host_same_src_port_rate=[0.06;0.35],dst_host_serror_rate=[0;0.02]} => {labels=normal.}",0.029111111536622,1,NA,0
"26","{num_compromised=0,srv_diff_host_rate=[0.01;0.75],dst_host_count=[3;254]} => {labels=normal.}",0.028888888657093,1,NA,0
"27","{wrong_fragment=0,same_srv_rate=[0.83;1],dst_host_same_src_port_rate=[0.06;0.35]} => {labels=normal.}",0.028888888657093,1,NA,0
"28","{duration=[1;Inf],hot=[0;2],dst_host_rerror_rate=[0;0.9]} => {labels=normal.}",0.0205555558204651,1,1,1
"29","{=[-Inf;7662]} => {labels=normal.}",0.0163333341479301,1,1,1
"30","{same_srv_rate=[0.5;1],dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0878888890147209,0.998737394809723,0.5,1
"31","{} => {labels=smurf.}",0.573555529117584,0.573555529117584,0,0
