"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.561333358287811,1,1,10104
"2","{service=b'ecr_i',srv_count=[377;Inf]} => {labels=smurf.}",0.561111092567444,1,1,6
"3","{diff_srv_rate=[0.04;0.08],dst_host_same_src_port_rate=0} => {labels=neptune.}",0.212333336472511,1,1,3822
"4","{dst_host_same_src_port_rate=0,dst_host_serror_rate=[0.97;Inf]} => {labels=neptune.}",0.176611110568047,1,1,93
"5","{diff_srv_rate=[0.04;0.08],dst_host_srv_serror_rate=[0.93;Inf]} => {labels=neptune.}",0.172111108899117,1,1,12
"6","{dst_host_srv_count=[3;20],dst_host_srv_serror_rate=[0.93;Inf]} => {labels=neptune.}",0.149555549025536,1,1,1
"7","{src_bytes=0,dst_host_diff_srv_rate=[0.06;0.07],dst_host_same_src_port_rate=0} => {labels=neptune.}",0.148666664958,1,1,1
"8","{service=b'http',hot=0,same_srv_rate=1} => {labels=normal.}",0.126888886094093,1,1,2284
"9","{dst_bytes=[17;2442],num_failed_logins=0} => {labels=normal.}",0.123222224414349,1,1,983
"10","{service=b'http',flag=b'SF',num_compromised=0} => {labels=normal.}",0.115222223103046,1,1,5
"11","{service=b'http',src_bytes=[29;333]} => {labels=normal.}",0.107111111283302,1,1,1
"12","{src_bytes=[29;333],dst_host_srv_count=255} => {labels=normal.}",0.100111111998558,1,1,4
"13","{src_bytes=0,srv_count=[13;20],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0811666697263718,1,1,1
"14","{src_bytes=[29;333],dst_host_count=255} => {labels=normal.}",0.0770555585622787,1,1,133
"15","{src_bytes=0,srv_count=[6;12],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0726666674017906,1,1,2
"16","{src_bytes=[29;333],dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0673333331942558,1,1,32
"17","{dst_host_count=[4;254],dst_host_diff_srv_rate=0,dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0672777742147446,1,1,1
"18","{src_bytes=[29;333],dst_host_same_src_port_rate=0} => {labels=normal.}",0.0581666678190231,1,1,1
"19","{=[11488;39682],wrong_fragment=0,dst_host_rerror_rate=0} => {labels=normal.}",0.0563888885080814,1,1,23
"20","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.03]} => {labels=normal.}",0.0549444444477558,1,1,7
"21","{=[11488;39682],logged_in=1} => {labels=normal.}",0.0544444434344769,1,1,2
"22","{logged_in=1,num_compromised=0,count=[6;17]} => {labels=normal.}",0.0504444427788258,1,1,29
"23","{num_compromised=0,count=[6;17],dst_host_same_srv_rate=1} => {labels=normal.}",0.0497777760028839,1,1,2
"24","{src_bytes=[29;333],dst_host_same_src_port_rate=[0.01;0.03]} => {labels=normal.}",0.0483333319425583,1,1,1
"25","{hot=0,same_srv_rate=1,srv_diff_host_rate=[0.01;0.38]} => {labels=normal.}",0.0449444428086281,1,1,1
"26","{=[108182;128582]} => {labels=neptune.}",0.041833333671093,1,1,1
"27","{count=[6;17],dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0311111118644476,1,1,4
"28","{count=[-Inf;1],dst_host_same_srv_rate=[0.53;0.99],dst_host_serror_rate=0} => {labels=normal.}",0.0269444435834885,1,1,6
"29","{flag=b'SF',count=[-Inf;1],dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0268888883292675,1,1,11
"30","{src_bytes=[29;333],count=[3;5]} => {labels=normal.}",0.0265555549412966,1,1,1
"31","{wrong_fragment=0,dst_host_count=255,dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0259444452822208,1,1,1
"32","{protocol_type=b'udp',count=[-Inf;1]} => {labels=normal.}",0.0242777783423662,1,1,13
"33","{hot=0,logged_in=1,srv_count=[3;5]} => {labels=normal.}",0.0237222220748663,1,1,10
"34","{hot=0,logged_in=1,dst_host_srv_count=[112;254]} => {labels=normal.}",0.0228888895362616,1,1,1
"35","{protocol_type=b'udp',src_bytes=[29;333],srv_count=[-Inf;1]} => {labels=normal.}",0.0228333324193954,1,1,1
"36","{hot=0,logged_in=1,srv_count=[13;20]} => {labels=normal.}",0.0222777780145407,1,1,1
"37","{=[449794;459855],flag=b'SF'} => {labels=normal.}",0.0184444449841976,1,1,6
"38","{protocol_type=b'tcp',dst_host_same_srv_rate=[0.53;0.99],dst_host_serror_rate=0} => {labels=normal.}",0.0180555563420057,1,1,4
"39","{protocol_type=b'tcp',dst_host_same_srv_rate=[0.53;0.99],dst_host_srv_serror_rate=0} => {labels=normal.}",0.0177777782082558,1,1,2
"40","{=[449794;459855],rerror_rate=0,same_srv_rate=1} => {labels=normal.}",0.017000000923872,1,1,1
"41","{dst_bytes=[2468;7296],dst_host_count=[4;254]} => {labels=normal.}",0.0169444438070059,1,1,2
"42","{wrong_fragment=0,count=[18;31],same_srv_rate=1} => {labels=normal.}",0.016833333298564,1,1,2
"43","{num_compromised=0,srv_count=[3;5],dst_host_count=[4;254]} => {labels=normal.}",0.016499999910593,1,1,2
"44","{=[-Inf;7769]} => {labels=normal.}",0.0154999997466803,1,1,1
"45","{flag=b'SF',srv_count=[-Inf;1],dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0151111111044884,1,1,1
"46","{=[83027;91565],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}",0.0149444444105029,1,1,5
"47","{dst_host_diff_srv_rate=[0.13;0.91],dst_host_serror_rate=0,dst_host_rerror_rate=0} => {labels=normal.}",0.014611111022532,1,1,2
"48","{src_bytes=[29;333],count=[-Inf;1],dst_host_srv_count=[112;254]} => {labels=normal.}",0.0144444443285465,1,1,1
"49","{=[83027;91565],src_bytes=[29;333]} => {labels=normal.}",0.0135555556043983,1,1,1
"50","{=[74091;82803],src_bytes=[29;333]} => {labels=normal.}",0.0135555556043983,1,1,4
"51","{=[74091;82803],logged_in=1} => {labels=normal.}",0.0132222222164273,1,1,1
"52","{wrong_fragment=0,count=[6;17],dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0122222220525146,1,1,4
"53","{service=b'private',flag=b'SF',srv_count=[-Inf;1]} => {labels=normal.}",0.0118888886645436,1,1,1
"54","{service=b'other',dst_host_diff_srv_rate=[0.13;0.91],dst_host_rerror_rate=0} => {labels=normal.}",0.0114444447681308,1,1,1
"55","{flag=b'S0',srv_count=[-Inf;1],dst_host_serror_rate=[0.97;Inf]} => {labels=neptune.}",0.0100555559620261,1,1,1
"56","{flag=b'SF',src_bytes=[29;333],dst_host_same_srv_rate=1} => {labels=normal.}",0.108499996364117,0.999488234519958,0.75,3
"57","{protocol_type=b'tcp',src_bytes=[29;333],dst_host_serror_rate=0} => {labels=normal.}",0.104999996721745,0.999471187591553,1,3
"58","{flag=b'SF',dst_host_count=[4;254],dst_host_srv_diff_host_rate=[0.01;0.1]} => {labels=normal.}",0.0842222198843956,0.999340832233429,0.875,7
"59","{hot=0,logged_in=1,dst_host_count=255} => {labels=normal.}",0.0457222238183022,0.998786389827728,0.666666666666667,2
"60","{hot=0,dst_host_diff_srv_rate=0,dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.033111110329628,0.998324930667877,0.5,1
"61","{logged_in=1,num_compromised=0,dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0343888886272907,0.996779382228851,1,6
"62","{=[74091;82803],duration=0,protocol_type=b'tcp'} => {labels=normal.}",0.0133333336561918,0.995850622653961,1,2
"63","{protocol_type=b'tcp',flag=b'SF',dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0363888889551163,0.992424249649048,0.5,3
"64","{protocol_type=b'tcp',hot=0,srv_diff_host_rate=1} => {labels=normal.}",0.0132777774706483,0.991701245307922,0.333333333333333,1
"65","{} => {labels=smurf.}",0.561666667461395,0.561666667461395,0,0
