"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',src_bytes=[31;1479]} => {labels=smurf.}",0.569296300411224,1,1,15371
"2","{src_bytes=0,diff_srv_rate=[0.01;0.46]} => {labels=neptune.}",0.216000005602837,1,1,5832
"3","{flag=b'S0',land=0,dst_host_serror_rate=[0.27;Inf]} => {labels=neptune.}",0.175814807415009,1,1,16
"4","{dst_bytes=[4;8312],hot=0,dst_host_same_src_port_rate=[0;0.38]} => {labels=normal.}",0.137814819812775,1,1,3721
"5","{src_bytes=[19;516],dst_host_srv_count=[165;255]} => {labels=normal.}",0.134148150682449,1,1,600
"6","{dst_bytes=[134;8312],hot=0} => {labels=normal.}",0.13177777826786,1,1,10
"7","{service=b'http',hot=0,dst_host_serror_rate=0} => {labels=normal.}",0.120111107826233,1,1,311
"8","{service=b'http',hot=0,dst_host_srv_serror_rate=0} => {labels=normal.}",0.116888888180256,1,1,1
"9","{service=b'http',src_bytes=[1;26408]} => {labels=normal.}",0.115333333611488,1,1,1
"10","{src_bytes=[29;1030],srv_count=[3;234]} => {labels=normal.}",0.108888886868954,1,1,68
"11","{src_bytes=[1;333],logged_in=1,dst_host_srv_diff_host_rate=[0;0.14]} => {labels=normal.}",0.10714814811945,1,1,34
"12","{service=b'http',dst_host_srv_count=[206;255],dst_host_rerror_rate=[0;0.01]} => {labels=normal.}",0.106629632413387,1,1,1
"13","{src_bytes=[29;1030],count=[3;238]} => {labels=normal.}",0.100555554032326,1,1,63
"14","{flag=b'SF',dst_bytes=[4;1197],wrong_fragment=[0;1]} => {labels=normal.}",0.0971111133694649,1,1,188
"15","{hot=0,dst_host_same_srv_rate=[0.58;1],dst_host_same_src_port_rate=[0.01;0.57]} => {labels=normal.}",0.0938888862729073,1,1,6
"16","{logged_in=1,dst_host_srv_diff_host_rate=[0.01;0.08],dst_host_srv_serror_rate=[0;0.01]} => {labels=normal.}",0.0836296305060387,1,1,72
"17","{duration=[0;3],logged_in=1,dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0824814811348915,1,1,6
"18","{serror_rate=[0;0.99],dst_host_count=[6;255],dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0813333317637444,1,1,25
"19","{logged_in=1,num_compromised=0,srv_count=[6;Inf]} => {labels=normal.}",0.0799629613757133,1,1,22
"20","{src_bytes=[29;516],dst_host_count=[163;255],dst_host_diff_srv_rate=[0;0.01]} => {labels=normal.}",0.0763703733682632,1,1,14
"21","{flag=b'SF',src_bytes=[29;333],dst_host_same_src_port_rate=[0.01;0.83]} => {labels=normal.}",0.0761111080646515,1,1,21
"22","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.1]} => {labels=normal.}",0.0718518495559692,1,1,8
"23","{num_compromised=0,count=[6;38],dst_host_same_srv_rate=[0.58;1]} => {labels=normal.}",0.069370374083519,1,1,1
"24","{logged_in=1,num_compromised=0,count=[6;511]} => {labels=normal.}",0.0687777772545815,1,1,1
"25","{src_bytes=[1;333],dst_host_srv_diff_host_rate=[0.01;0.14]} => {labels=normal.}",0.0662592574954033,1,1,1
"26","{hot=0,logged_in=1,dst_host_count=[28;254]} => {labels=normal.}",0.0649259239435196,1,1,21
"27","{flag=b'SF',src_bytes=[29;333],dst_host_count=[2;161]} => {labels=normal.}",0.0627037063241005,1,1,38
"28","{wrong_fragment=0,dst_host_same_src_port_rate=[0.03;0.99],dst_host_srv_diff_host_rate=[0.01;0.8]} => {labels=normal.}",0.0490740723907948,1,1,1
"29","{flag=b'SF',num_compromised=0,srv_diff_host_rate=[0.01;0.47]} => {labels=normal.}",0.0449629612267017,1,1,2
"30","{=[53273;141878],src_bytes=[29;359]} => {labels=normal.}",0.0425925925374031,1,1,1
"31","{dst_bytes=[2454;8312],rerror_rate=[-Inf;0.24]} => {labels=normal.}",0.0293703712522984,1,1,8
"32","{=[26776;39717]} => {labels=normal.}",0.0259629637002945,1,1,2
"33","{=[11512;22729],wrong_fragment=0} => {labels=normal.}",0.0224814806133509,1,1,1
"34","{hot=[0;4],logged_in=1,dst_host_diff_srv_rate=[0.02;0.06]} => {labels=normal.}",0.0192592591047287,1,1,6
"35","{=[449792;480327],flag=b'SF',wrong_fragment=0} => {labels=normal.}",0.0178148150444031,1,1,22
"36","{dst_bytes=[8320;5134218],num_root=[0;9]} => {labels=normal.}",0.0162962954491377,1,1,1
"37","{=[-Inf;7781],num_compromised=0} => {labels=normal.}",0.0161851849406958,1,1,1
"38","{src_bytes=[1;333],count=1,dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0115185184404254,1,1,6
"39","{src_bytes=[29;333],dst_host_count=[163;255]} => {labels=normal.}",0.0830370336771011,0.99955415725708,0.857142857142857,6
"40","{protocol_type=b'tcp',hot=0,dst_host_srv_count=[84;255]} => {labels=normal.}",0.140740737318993,0.999473989009857,0.666666666666667,2
"41","{protocol_type=b'tcp',flag=b'SF',count=[8;511]} => {labels=normal.}",0.0566666685044765,0.998694539070129,0.5,2
"42","{count=1,dst_host_count=[35;254],dst_host_rerror_rate=0} => {labels=normal.}",0.0228518527001143,0.998381853103638,1,3
"43","{service=b'smtp',dst_host_count=[1;254]} => {labels=normal.}",0.0176296290010214,0.99790358543396,1,1
"44","{wrong_fragment=[0;1],count=[3;5],dst_host_same_src_port_rate=[0.04;0.99]} => {labels=normal.}",0.0100740743800998,0.996336996555328,0.5,1
"45","{=[52000;82850],protocol_type=b'tcp',serror_rate=[0;0.98]} => {labels=normal.}",0.0155925927683711,0.995271861553192,0.333333333333333,1
"46","{} => {labels=back.}",0.00440740725025535,0.00440740725025535,0.243128964059197,115
