"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',src_bytes=[31;1479]} => {labels=smurf.}",0.569296300411224,1,1,15371
"2","{src_bytes=0,diff_srv_rate=[0.01;0.46]} => {labels=neptune.}",0.216000005602837,1,1,5832
"3","{dst_host_same_src_port_rate=[0;0.99],dst_host_serror_rate=[0.97;Inf]} => {labels=neptune.}",0.175999999046326,1,1,17
"4","{dst_bytes=[4;8312],hot=0,dst_host_same_src_port_rate=[0;0.38]} => {labels=normal.}",0.138518512248993,1,1,3740
"5","{flag=b'SF',src_bytes=[29;333],dst_host_same_src_port_rate=[0;0.84]} => {labels=normal.}",0.134333327412605,1,1,663
"6","{src_bytes=[19;516],dst_host_srv_count=[165;255]} => {labels=normal.}",0.134296298027039,1,1,96
"7","{dst_bytes=[134;4993],hot=0} => {labels=normal.}",0.122037038207054,1,1,7
"8","{service=b'http',hot=0,dst_host_serror_rate=0} => {labels=normal.}",0.120518520474434,1,1,288
"9","{service=b'http',hot=0,dst_host_srv_serror_rate=0} => {labels=normal.}",0.117333330214024,1,1,2
"10","{src_bytes=[29;1030],srv_count=[3;234]} => {labels=normal.}",0.108851850032806,1,1,22
"11","{src_bytes=[1;333],logged_in=1,dst_host_srv_diff_host_rate=[0;0.11]} => {labels=normal.}",0.107444442808628,1,1,6
"12","{src_bytes=[29;1030],count=[3;238]} => {labels=normal.}",0.100370369851589,1,1,53
"13","{flag=b'SF',dst_bytes=[4;1197],wrong_fragment=[0;1]} => {labels=normal.}",0.0967777743935585,1,1,171
"14","{hot=0,dst_host_same_srv_rate=[0.58;1],dst_host_same_src_port_rate=[0.01;0.57]} => {labels=normal.}",0.0941851884126663,1,1,6
"15","{logged_in=1,dst_host_srv_diff_host_rate=[0.01;0.08],dst_host_srv_serror_rate=[0;0.01]} => {labels=normal.}",0.0841111093759537,1,1,75
"16","{src_bytes=[29;333],dst_host_count=[163;255]} => {labels=normal.}",0.0834074094891548,1,1,31
"17","{duration=[0;3],logged_in=1,dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0829259231686592,1,1,7
"18","{serror_rate=[0;0.99],dst_host_count=[6;255],dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.08181481808424,1,1,14
"19","{logged_in=1,num_compromised=0,srv_count=[6;Inf]} => {labels=normal.}",0.0801851823925972,1,1,23
"20","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.1]} => {labels=normal.}",0.0714814811944962,1,1,9
"21","{num_compromised=0,count=[6;38],dst_host_same_srv_rate=[0.58;1]} => {labels=normal.}",0.0692222192883492,1,1,1
"22","{logged_in=1,num_compromised=0,count=[6;511]} => {labels=normal.}",0.0687407404184341,1,1,2
"23","{src_bytes=[1;333],dst_host_srv_diff_host_rate=[0.01;0.11]} => {labels=normal.}",0.0663703680038452,1,1,1
"24","{hot=0,logged_in=1,dst_host_count=[28;254]} => {labels=normal.}",0.0652222186326981,1,1,18
"25","{logged_in=1,dst_host_count=[45;254],dst_host_rerror_rate=0} => {labels=normal.}",0.048740740865469,1,1,3
"26","{flag=b'SF',num_compromised=0,srv_diff_host_rate=[0.01;0.47]} => {labels=normal.}",0.0450370386242867,1,1,2
"27","{=[53273;141878],src_bytes=[29;359]} => {labels=normal.}",0.043259259313345,1,1,15
"28","{hot=0,dst_host_count=[34;254],dst_host_diff_srv_rate=0} => {labels=normal.}",0.0430370382964611,1,1,11
"29","{=[19394;39717],flag=b'SF'} => {labels=normal.}",0.03903703764081,1,1,3
"30","{=[77164;106180],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}",0.0307777784764767,1,1,5
"31","{flag=b'SF',dst_bytes=[2454;8312],dst_host_same_src_port_rate=[0;0.99]} => {labels=normal.}",0.0298148151487112,1,1,3
"32","{=[11512;22729],wrong_fragment=0} => {labels=normal.}",0.0227037034928799,1,1,3
"33","{protocol_type=b'udp',wrong_fragment=0,count=1} => {labels=normal.}",0.0223333332687616,1,1,2
"34","{hot=[0;5],logged_in=1,dst_host_diff_srv_rate=[0.02;0.06]} => {labels=normal.}",0.0193703696131706,1,1,6
"35","{=[449813;480327],flag=b'SF',wrong_fragment=0} => {labels=normal.}",0.0177037045359612,1,1,2
"36","{=[-Inf;7781],num_compromised=0} => {labels=normal.}",0.0162592586129904,1,1,1
"37","{dst_bytes=[8320;5134218],num_root=[0;9]} => {labels=normal.}",0.0157037042081356,1,1,1
"38","{src_bytes=[29;333],rerror_rate=[-Inf;0.99],dst_host_srv_diff_host_rate=[0;0.11]} => {labels=normal.}",0.146703705191612,0.999747574329376,0.666666666666667,2
"39","{hot=0,logged_in=1,dst_host_count=[8;254]} => {labels=normal.}",0.0848888903856277,0.998692810535431,0.25,1
"40","{protocol_type=b'tcp',flag=b'SF',count=[8;511]} => {labels=normal.}",0.0562222227454185,0.998684227466583,0.5,2
"41","{count=1,dst_host_count=[35;254],dst_host_rerror_rate=0} => {labels=normal.}",0.022259259596467,0.998338878154755,1,1
"42","{hot=[0;5],count=[1;2],dst_host_diff_srv_rate=[0.02;0.06]} => {labels=normal.}",0.0196296293288469,0.998116731643677,1,2
"43","{hot=0,srv_count=[3;6],dst_host_same_src_port_rate=[0.04;0.79]} => {labels=normal.}",0.0111851850524545,0.996699690818787,0.666666666666667,2
"44","{} => {labels=back.}",0.00437037041410804,0.00437037041410804,0.246284501061571,116
