"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',srv_count=[5;Inf]} => {labels=smurf.}",0.568861126899719,1,1,20479
"2","{service=b'ecr_i',dst_host_count=[119;255]} => {labels=smurf.}",0.568805575370789,1,1,1
"3","{src_bytes=0,diff_srv_rate=[0.01;0.38]} => {labels=neptune.}",0.217055559158325,1,1,7814
"4","{src_bytes=[0;4],dst_host_diff_srv_rate=[0.03;0.9],dst_host_same_src_port_rate=0} => {labels=neptune.}",0.216944441199303,1,1,24
"5","{same_srv_rate=[0.01;0.13],dst_host_same_src_port_rate=[0;0.08]} => {labels=neptune.}",0.195222228765488,1,NA,0
"6","{count=[2;511],serror_rate=[0.94;Inf]} => {labels=neptune.}",0.176388889551163,1,1,1
"7","{count=[2;511],dst_host_serror_rate=[0.6;Inf]} => {labels=neptune.}",0.176388889551163,1,NA,0
"8","{flag=b'S0',dst_host_diff_srv_rate=[0.05;0.09]} => {labels=neptune.}",0.175222218036652,1,NA,0
"9","{count=[50;510],dst_host_same_srv_rate=[0.02;0.08]} => {labels=neptune.}",0.174388885498047,1,NA,0
"10","{flag=b'S0',dst_host_same_srv_rate=[0.01;0.42]} => {labels=neptune.}",0.166583329439163,1,NA,0
"11","{srv_count=[3;Inf],dst_host_serror_rate=[1;Inf]} => {labels=neptune.}",0.15847222507,1,NA,0
"12","{protocol_type=b'tcp',hot=0,dst_host_srv_count=[101;255]} => {labels=normal.}",0.134694442152977,1,1,4849
"13","{src_bytes=[19;516],dst_host_srv_count=[186;255]} => {labels=normal.}",0.131027773022652,1,1,862
"14","{dst_bytes=[4;2438],dst_host_serror_rate=[0;0.04]} => {labels=normal.}",0.121333330869675,1,1,714
"15","{src_bytes=0,srv_count=[11;41]} => {labels=neptune.}",0.114138886332512,1,NA,0
"16","{service=b'http',src_bytes=[1;14496]} => {labels=normal.}",0.111638888716698,1,1,35
"17","{src_bytes=[0;516],dst_host_count=[41;255],dst_host_same_srv_rate=[0.82;1]} => {labels=normal.}",0.104694440960884,1,1,44
"18","{hot=0,logged_in=1,srv_count=[3;Inf]} => {labels=normal.}",0.102333329617977,1,1,97
"19","{src_bytes=[29;1030],srv_count=[4;74]} => {labels=normal.}",0.0957777798175812,1,1,34
"20","{src_bytes=[1;1030],count=[3;75],dst_host_same_srv_rate=[0.67;1]} => {labels=normal.}",0.0937222242355347,1,NA,0
"21","{diff_srv_rate=[0;0.04],dst_host_same_src_port_rate=[0;0.7],dst_host_srv_diff_host_rate=[0.01;0.54]} => {labels=normal.}",0.0927499979734421,1,1,135
"22","{protocol_type=b'tcp',src_bytes=[1;14496],count=[3;511]} => {labels=normal.}",0.0914722234010696,1,1,17
"23","{hot=0,logged_in=1,count=[3;511]} => {labels=normal.}",0.0906944423913956,1,NA,0
"24","{hot=0,logged_in=1,count=[3;511]} => {labels=normal.}",0.0906944423913956,1,NA,0
"25","{src_bytes=[29;1030],count=[4;75]} => {labels=normal.}",0.088277779519558,1,1,26
"26","{src_bytes=[0;29],srv_count=[2;9],dst_host_same_src_port_rate=0} => {labels=neptune.}",0.0824722200632095,1,NA,0
"27","{dst_bytes=[4;5153460],dst_host_srv_diff_host_rate=[0.01;1]} => {labels=normal.}",0.0809722244739532,1,1,4
"28","{service=b'http',hot=0,dst_host_count=[1;254]} => {labels=normal.}",0.079555556178093,1,1,22
"29","{service=b'http',hot=0,dst_host_count=[1;254]} => {labels=normal.}",0.079555556178093,1,NA,0
"30","{serror_rate=[0;0.99],dst_host_count=[6;255],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0787222236394882,1,1,5
"31","{serror_rate=[0;0.99],dst_host_count=[6;255],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0787222236394882,1,NA,0
"32","{diff_srv_rate=[0;0.04],dst_host_count=[6;255],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.078166663646698,1,NA,0
"33","{service=b'http',dst_host_srv_diff_host_rate=[0.01;1]} => {labels=normal.}",0.077194444835186,1,NA,0
"34","{dst_host_srv_count=[196;255],dst_host_same_src_port_rate=[0.01;0.89]} => {labels=normal.}",0.0771388858556747,1,NA,0
"35","{dst_bytes=[848;1345841],hot=0,num_root=[0;3]} => {labels=normal.}",0.0770833343267441,1,1,16
"36","{src_bytes=[29;1030],count=[2;75],dst_host_count=[83;255]} => {labels=normal.}",0.0755277797579765,1,1,67
"37","{service=b'http',dst_bytes=[4;2919]} => {labels=normal.}",0.0748333334922791,1,NA,0
"38","{flag=b'SF',dst_bytes=[4;2448],dst_host_same_src_port_rate=[0.01;1]} => {labels=normal.}",0.0738611146807671,1,NA,0
"39","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.1]} => {labels=normal.}",0.0699166655540466,1,1,3
"40","{logged_in=1,dst_host_same_src_port_rate=[0.01;0.09],dst_host_rerror_rate=0} => {labels=normal.}",0.0650555565953255,1,1,8
"41","{src_bytes=[29;333],num_failed_logins=0,dst_host_same_src_port_rate=[0.01;0.14]} => {labels=normal.}",0.0642499998211861,1,1,21
"42","{src_bytes=[1;333],dst_host_srv_diff_host_rate=[0.01;0.13]} => {labels=normal.}",0.0633611083030701,1,1,1
"43","{hot=0,logged_in=1,dst_host_count=[28;254]} => {labels=normal.}",0.0626944452524185,1,1,8
"44","{src_bytes=[0;333],logged_in=1,dst_host_same_src_port_rate=[0.01;0.99]} => {labels=normal.}",0.062111109495163,1,NA,0
"45","{=[-Inf;39717],service=b'http'} => {labels=normal.}",0.0614444427192211,1,NA,0
"46","{src_bytes=[9;1478],srv_diff_host_rate=[0.01;1]} => {labels=normal.}",0.0589166656136513,1,1,6
"47","{service=b'http',hot=0,count=[6;21]} => {labels=normal.}",0.0534722208976746,1,NA,0
"48","{=[372239;396598]} => {labels=neptune.}",0.0495555549860001,1,NA,0
"49","{protocol_type=b'tcp',srv_count=[13;Inf],diff_srv_rate=[0;0.03]} => {labels=normal.}",0.0470833331346512,1,NA,0
"50","{protocol_type=b'tcp',src_bytes=[1;1151],dst_host_count=[41;254]} => {labels=normal.}",0.0453333333134651,1,NA,0
"51","{=[53253;140377],src_bytes=[29;1030]} => {labels=normal.}",0.0447500012814999,1,1,3
"52","{=[108144;128684]} => {labels=neptune.}",0.0424166657030582,1,NA,0
"53","{=[459871;480310]} => {labels=neptune.}",0.041333332657814,1,NA,0
"54","{dst_bytes=[4;2438],dst_host_same_srv_rate=[0.2;0.99]} => {labels=normal.}",0.0402222238481045,1,1,1
"55","{dst_host_same_srv_rate=[0.52;0.99],dst_host_same_src_port_rate=[0;0.51]} => {labels=normal.}",0.0396111123263836,1,1,1
"56","{=[19386;39717],flag=b'SF'} => {labels=normal.}",0.039527777582407,1,1,3
"57","{flag=b'SF',srv_diff_host_rate=[0.01;0.24]} => {labels=normal.}",0.0346111096441746,1,1,1
"58","{protocol_type=b'tcp',flag=b'SF',count=[13;511]} => {labels=normal.}",0.0336944460868835,1,NA,0
"59","{wrong_fragment=[0;1],count=[7;32],dst_host_count=[16;254]} => {labels=normal.}",0.0286388881504536,1,NA,0
"60","{service=b'http',num_compromised=0,dst_host_same_src_port_rate=[0.05;0.99]} => {labels=normal.}",0.0284722223877907,1,NA,0
"61","{count=1,dst_host_same_srv_rate=[0.52;0.99],dst_host_srv_diff_host_rate=[0;0.11]} => {labels=normal.}",0.0279722213745117,1,1,1
"62","{dst_host_same_src_port_rate=[0.06;0.99],dst_host_srv_diff_host_rate=[0.01;0.11]} => {labels=normal.}",0.0268888883292675,1,NA,0
"63","{src_bytes=[29;1030],dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0264722220599651,1,1,1
"64","{service=b'http',num_compromised=0,count=1} => {labels=normal.}",0.0260277781635523,1,NA,0
"65","{flag=b'SF',count=[7;481],dst_host_count=[1;94]} => {labels=normal.}",0.0232222229242325,1,NA,0
"66","{service=b'smtp',dst_bytes=[4;5153460]} => {labels=normal.}",0.0193333327770233,1,1,2
"67","{dst_bytes=[8320;1345841]} => {labels=normal.}",0.0160277783870697,1,NA,0
"68","{=[-Inf;7789],serror_rate=[0;0.81]} => {labels=normal.}",0.0158888883888721,1,1,1
"69","{=[-Inf;7789],flag=b'SF'} => {labels=normal.}",0.0158611107617617,1,NA,0
"70","{=[11491;19285]} => {labels=normal.}",0.0154999997466803,1,1,2
"71","{=[449796;455721],serror_rate=[0;0.99]} => {labels=normal.}",0.0122222220525146,1,1,9
"72","{service=b'domain_u'} => {labels=normal.}",0.0117222219705582,1,1,1
"73","{src_bytes=[335;516],hot=[0;4]} => {labels=normal.}",0.0105555551126599,1,NA,0
"74","{src_bytes=[29;1030],count=[3;75]} => {labels=normal.}",0.0984999984502792,0.999718070030212,0,0
"75","{flag=b'S0',dst_host_serror_rate=[0.55;Inf]} => {labels=neptune.}",0.176444441080093,0.999685227870941,0.333333333333333,1
"76","{hot=0,logged_in=1,dst_host_count=[13;254]} => {labels=normal.}",0.0755277797579765,0.999632358551025,0,0
"77","{flag=b'SF',dst_host_srv_diff_host_rate=[0.01;0.08]} => {labels=normal.}",0.0843611136078835,0.999341905117035,0.333333333333333,1
"78","{src_bytes=[29;516],dst_host_count=[43;254]} => {labels=normal.}",0.0413611121475697,0.999328851699829,1,2
"79","{protocol_type=b'udp',src_bytes=[29;5133876],dst_host_count=[83;255]} => {labels=normal.}",0.0367499999701977,0.999244689941406,0.972972972972973,36
"80","{protocol_type=b'tcp',hot=[0;1],dst_host_srv_count=[67;255]} => {labels=normal.}",0.141499996185303,0.999215364456177,0.2,1
"81","{src_bytes=[29;364],dst_host_count=[83;255]} => {labels=normal.}",0.103388890624046,0.999194622039795,0,0
