"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.565533339977264,1,1,25449
"2","{service=b'ecr_i',srv_count=[442;511]} => {labels=smurf.}",0.562555551528931,1,1,15
"3","{src_bytes=1032} => {labels=smurf.}",0.461866676807404,1,1,1
"4","{src_bytes=0,diff_srv_rate=[0.05;0.08]} => {labels=neptune.}",0.211844444274902,1,1,9533
"5","{dst_host_same_src_port_rate=0,dst_host_serror_rate=[0.94;1]} => {labels=neptune.}",0.175822228193283,1,1,284
"6","{same_srv_rate=[0.01;0.1],dst_host_same_srv_rate=[0.02;0.08]} => {labels=neptune.}",0.143822222948074,1,1,2
"7","{dst_host_same_srv_rate=[0.02;0.08],dst_host_srv_serror_rate=1} => {labels=neptune.}",0.14248888194561,1,1,1
"8","{=[397013;449767]} => {labels=smurf.}",0.104066669940948,1,1,2
"9","{count=[98;300],dst_host_diff_srv_rate=0.07} => {labels=neptune.}",0.0906444415450096,1,1,4
"10","{src_bytes=0,dst_host_count=255,dst_host_diff_srv_rate=[0.05;0.06]} => {labels=neptune.}",0.0872000008821487,1,1,9
"11","{srv_count=[7;14],dst_host_srv_serror_rate=[0.91;1]} => {labels=neptune.}",0.068511113524437,1,1,5
"12","{service=b'http',dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0683777779340744,1,1,3077
"13","{service=b'http',dst_bytes=[32;2186]} => {labels=normal.}",0.0666444450616837,1,1,1320
"14","{dst_bytes=[4;2186],dst_host_srv_count=255} => {labels=normal.}",0.0634222254157066,1,1,109
"15","{src_bytes=[29;333],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0633555576205254,1,1,83
"16","{src_bytes=0,srv_count=[15;20],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0598666667938232,1,1,1
"17","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0584000013768673,1,1,700
"18","{diff_srv_rate=0,dst_host_same_src_port_rate=[0.01;0.04],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0516444444656372,1,1,7
"19","{dst_bytes=[1;2182],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0516222231090069,1,1,149
"20","{flag=b'SF',src_bytes=[29;333],dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0494444444775581,1,1,382
"21","{logged_in=1,num_compromised=0,count=[7;21]} => {labels=normal.}",0.0484222210943699,1,1,343
"22","{flag=b'SF',dst_bytes=[4;2182],dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0483333319425583,1,1,35
"23","{hot=0,dst_host_same_srv_rate=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0474888905882835,1,1,95
"24","{dst_bytes=[4;2182],hot=0,count=1} => {labels=normal.}",0.0451777763664722,1,1,863
"25","{src_bytes=[30;333],count=[7;21]} => {labels=normal.}",0.0445777773857117,1,1,49
"26","{=[459861;480313]} => {labels=neptune.}",0.0421111099421978,1,1,1
"27","{src_bytes=[50;333],logged_in=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0408444441854954,1,1,1
"28","{=[19385;39706],land=0,srv_rerror_rate=0} => {labels=normal.}",0.0405333340167999,1,1,200
"29","{dst_host_count=[14;89],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.040488887578249,1,1,43
"30","{flag=b'SF',rerror_rate=0,srv_diff_host_rate=[0.01;0.32]} => {labels=normal.}",0.0402444452047348,1,1,145
"31","{service=b'http',num_compromised=0,dst_host_count=[14;89]} => {labels=normal.}",0.0372000001370907,1,1,52
"32","{=[19436;39493],service=b'http'} => {labels=normal.}",0.0348222218453884,1,1,3
"33","{flag=b'SF',src_bytes=[29;333],dst_host_count=[14;89]} => {labels=normal.}",0.0346666648983955,1,1,59
"34","{src_bytes=0,same_srv_rate=[0.11;0.19]} => {labels=neptune.}",0.0340222232043743,1,1,2
"35","{src_bytes=[29;333],count=[3;6]} => {labels=normal.}",0.0338666662573814,1,1,260
"36","{protocol_type=b'udp',src_bytes=[29;147],dst_host_count=255} => {labels=normal.}",0.0337555557489395,1,1,212
"37","{protocol_type=b'udp',dst_bytes=[4;486],dst_host_serror_rate=0} => {labels=normal.}",0.0322222225368023,1,1,9
"38","{src_bytes=[29;333],srv_count=[7;14]} => {labels=normal.}",0.0320666655898094,1,1,1
"39","{service=b'http',dst_bytes=[2456;8280],hot=0} => {labels=normal.}",0.0272222217172384,1,1,77
"40","{flag=b'SF',count=[7;21],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0270666666328907,1,1,5
"41","{dst_bytes=[1;2176],dst_host_count=[90;254]} => {labels=normal.}",0.0260888896882534,1,1,4
"42","{count=[3;6],dst_host_srv_count=255,dst_host_rerror_rate=0} => {labels=normal.}",0.025733333081007,1,1,2
"43","{service=b'http',hot=0,count=1} => {labels=normal.}",0.0253333337605,1,1,332
"44","{dst_host_same_srv_rate=[0.87;0.99],dst_host_rerror_rate=0} => {labels=normal.}",0.0249777771532536,1,1,3
"45","{src_bytes=[29;333],dst_host_count=255,dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0249555557966232,1,1,27
"46","{src_bytes=[66;333],dst_bytes=[2456;8280],root_shell=0} => {labels=normal.}",0.024888888001442,1,1,2
"47","{src_bytes=[30;333],srv_count=1,dst_host_count=255} => {labels=normal.}",0.0233555547893047,1,1,2
"48","{protocol_type=b'udp',wrong_fragment=0,count=1} => {labels=normal.}",0.0227555558085442,1,1,18
