"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.565488874912262,1,1,25447
"2","{service=b'ecr_i',srv_count=[307;Inf]} => {labels=smurf.}",0.565377771854401,1,1,19
"3","{service=b'ecr_i',src_bytes=1032} => {labels=smurf.}",0.460777789354324,1,1,1
"4","{src_bytes=0,diff_srv_rate=[0.05;0.08]} => {labels=neptune.}",0.211799994111061,1,1,9531
"5","{dst_host_same_src_port_rate=0,dst_host_serror_rate=[0.94;Inf]} => {labels=neptune.}",0.176111117005348,1,1,286
"6","{dst_host_same_srv_rate=[0.02;0.08],dst_host_srv_serror_rate=[0.91;Inf]} => {labels=neptune.}",0.142022222280502,1,1,1
"7","{same_srv_rate=[0.01;0.09],dst_host_same_srv_rate=[0.02;0.08]} => {labels=neptune.}",0.136111110448837,1,1,3
"8","{count=[98;305],dst_host_diff_srv_rate=[0.07;0.08]} => {labels=neptune.}",0.117200002074242,1,1,4
"9","{src_bytes=0,dst_host_count=255,dst_host_diff_srv_rate=[0.05;0.06]} => {labels=neptune.}",0.0873333364725113,1,1,8
"10","{src_bytes=0,srv_count=[13;20],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0802222192287445,1,1,1
"11","{service=b'http',dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0698666647076607,1,1,3144
"12","{service=b'http',dst_bytes=[1;2186]} => {labels=normal.}",0.0661333352327347,1,1,1284
"13","{src_bytes=0,srv_count=[7;12],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0648888871073723,1,1,6
"14","{src_bytes=[29;333],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0641111135482788,1,1,94
"15","{dst_bytes=[1;2186],dst_host_srv_count=255} => {labels=normal.}",0.063022218644619,1,1,111
"16","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0580888874828815,1,1,701
"17","{diff_srv_rate=0,dst_host_same_src_port_rate=[0.01;0.04],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.052422221750021,1,1,7
"18","{dst_bytes=[1;2186],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0519333332777023,1,1,144
"19","{flag=b'SF',src_bytes=[29;333],dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0489111095666885,1,1,374
"20","{flag=b'SF',dst_bytes=[1;2186],dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.048200000077486,1,1,37
"21","{logged_in=1,num_compromised=0,count=[7;21]} => {labels=normal.}",0.0478222221136093,1,1,357
"22","{hot=0,dst_host_same_srv_rate=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0469999983906746,1,1,76
"23","{dst_bytes=[1;2186],hot=0,count=1} => {labels=normal.}",0.0458666682243347,1,1,890
"24","{src_bytes=[29;333],count=[7;21]} => {labels=normal.}",0.043688889592886,1,1,50
"25","{logged_in=1,num_compromised=0,dst_host_count=[14;89]} => {labels=normal.}",0.0428000018000603,1,1,58
"26","{src_bytes=0,same_srv_rate=[0.1;0.19]} => {labels=neptune.}",0.0419999994337559,1,1,2
"27","{dst_host_count=[14;89],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0418444462120533,1,1,19
"28","{rerror_rate=0,srv_diff_host_rate=[0.01;0.32]} => {labels=normal.}",0.0405777767300606,1,1,178
"29","{src_bytes=[29;333],logged_in=1,dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0405333340167999,1,1,1
"30","{=[19385;39706],land=0,srv_rerror_rate=0} => {labels=normal.}",0.0398666672408581,1,1,133
"31","{service=b'http',num_compromised=0,dst_host_count=[14;89]} => {labels=normal.}",0.0373111106455326,1,1,41
"32","{flag=b'SF',src_bytes=[29;333],dst_host_count=[14;89]} => {labels=normal.}",0.0349555537104607,1,1,57
"33","{protocol_type=b'udp',src_bytes=[29;333],dst_host_count=255} => {labels=normal.}",0.034400001168251,1,1,344
"34","{=[19385;39706],service=b'http'} => {labels=normal.}",0.0339333340525627,1,1,3
"35","{src_bytes=[29;333],count=[3;6]} => {labels=normal.}",0.0335999988019466,1,1,126
"36","{protocol_type=b'udp',dst_bytes=[1;2186],dst_host_serror_rate=0} => {labels=normal.}",0.0326666682958603,1,1,8
"37","{dst_bytes=[1;2186],dst_host_same_srv_rate=[0.58;0.99]} => {labels=normal.}",0.032600000500679,1,1,1
"38","{flag=b'SF',count=[7;21],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0268444437533617,1,1,6
"39","{service=b'http',dst_bytes=[2456;8280],hot=0} => {labels=normal.}",0.0264888890087605,1,1,68
"40","{dst_bytes=[1;2186],dst_host_count=[90;254]} => {labels=normal.}",0.0260888896882534,1,1,5
"41","{count=[3;6],dst_host_srv_count=255,dst_host_srv_rerror_rate=0} => {labels=normal.}",0.0257555563002825,1,1,3
"42","{count=1,dst_host_same_srv_rate=[0.58;0.99]} => {labels=normal.}",0.025511110201478,1,1,22
"43","{service=b'http',hot=0,count=1} => {labels=normal.}",0.0250222217291594,1,1,294
"44","{src_bytes=[29;333],dst_host_count=255,dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0249777771532536,1,1,25
"45","{src_bytes=[29;333],dst_host_srv_count=[219;254]} => {labels=normal.}",0.0249555557966232,1,1,1
"46","{src_bytes=[29;333],dst_bytes=[2456;8280],root_shell=0} => {labels=normal.}",0.024155555292964,1,1,2
"47","{src_bytes=[29;333],srv_count=1,dst_host_count=255} => {labels=normal.}",0.024155555292964,1,1,2
"48","{protocol_type=b'udp',src_bytes=[29;333],count=1} => {labels=normal.}",0.0233777780085802,1,1,15
"49","{protocol_type=b'tcp',srv_count=[13;20],diff_srv_rate=0} => {labels=normal.}",0.0221999995410442,1,1,4
"50","{src_bytes=0,srv_count=[5;6],srv_diff_host_rate=0} => {labels=neptune.}",0.0215555559843779,1,1,2
"51","{count=1,dst_host_same_src_port_rate=[0.01;0.04],dst_host_rerror_rate=0} => {labels=normal.}",0.0212666671723127,1,1,6
"52","{service=b'http',num_compromised=0,dst_host_count=[90;254]} => {labels=normal.}",0.0206888895481825,1,1,2
"53","{dst_bytes=[1;2186],dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0206000003963709,1,1,1
"54","{service=b'smtp',dst_bytes=[1;2186]} => {labels=normal.}",0.0199555549770594,1,1,2
"55","{protocol_type=b'tcp',hot=0,dst_host_srv_count=[104;218]} => {labels=normal.}",0.0194888897240162,1,1,11
"56","{protocol_type=b'tcp',src_bytes=[29;333],dst_host_count=[90;254]} => {labels=normal.}",0.0191555563360453,1,1,4
"57","{service=b'http',num_compromised=0,dst_host_same_src_port_rate=[0.05;0.17]} => {labels=normal.}",0.0189999993890524,1,1,1
"58","{src_bytes=[29;333],dst_host_count=[90;254],dst_host_same_srv_rate=1} => {labels=normal.}",0.0179999992251396,1,1,11
"59","{dst_host_same_src_port_rate=[0.05;0.17],dst_host_srv_diff_host_rate=[0.01;0.09]} => {labels=normal.}",0.0179333332926035,1,1,10
"60","{flag=b'SF',src_bytes=[29;333],dst_host_same_src_port_rate=[0.05;0.17]} => {labels=normal.}",0.0175999999046326,1,1,1
"61","{srv_count=[3;4],serror_rate=[0.96;Inf]} => {labels=neptune.}",0.0167111102491617,1,1,2
"62","{=[-Inf;7776]} => {labels=normal.}",0.0160888880491257,1,1,5
"63","{=[11490;19285],wrong_fragment=0} => {labels=normal.}",0.0160222221165895,1,1,5
"64","{dst_bytes=[8379;3916592],num_root=0} => {labels=normal.}",0.0157111119478941,1,1,11
"65","{dst_bytes=[8379;3916592],dst_host_same_srv_rate=1} => {labels=normal.}",0.0152666671201587,1,1,1
"66","{service=b'http',srv_count=[26;54]} => {labels=normal.}",0.0145777780562639,1,1,2
"67","{count=1,dst_host_diff_srv_rate=0.01} => {labels=normal.}",0.0141333332285285,1,1,2
"68","{hot=0,logged_in=1,srv_count=[5;6]} => {labels=normal.}",0.0130666671320796,1,1,14
"69","{=[76162;82844],duration=0,serror_rate=0} => {labels=normal.}",0.0124222226440907,1,1,12
"70","{service=b'http',flag=b'REJ',diff_srv_rate=0} => {labels=normal.}",0.0112888887524605,1,1,2
"71","{dst_bytes=[2456;8280],dst_host_same_src_port_rate=[0.01;0.04]} => {labels=normal.}",0.0110666668042541,1,1,2
"72","{protocol_type=b'tcp',flag=b'SF',count=[22;38]} => {labels=normal.}",0.0109777776524425,1,1,1
"73","{=[449790;455731],logged_in=0,dst_host_srv_serror_rate=0} => {labels=normal.}",0.0104222223162651,1,1,1
"74","{src_bytes=[335;516],hot=0} => {labels=normal.}",0.0102666663005948,1,1,14
"75","{=[449790;455731],serror_rate=0,dst_host_srv_diff_host_rate=0} => {labels=normal.}",0.0101555557921529,1,1,4
"76","{src_bytes=[29;333],dst_host_srv_count=255} => {labels=normal.}",0.0949111133813858,0.999765932559967,0.75,3
"77","{flag=b'SF',num_compromised=0,dst_host_count=[14;89]} => {labels=normal.}",0.0467555560171604,0.99952495098114,1,1
"78","{dst_bytes=[1;2186],count=1,dst_host_serror_rate=0} => {labels=normal.}",0.0434666648507118,0.999489009380341,0.5,1
"79","{dst_bytes=[1;2186],hot=0} => {labels=normal.}",0.120155557990074,0.999445497989655,0.25,1
