"","rules","support","confidence","orderedConf","orderedSupp"
"1","{service=b'ecr_i',dst_host_srv_count=255} => {labels=smurf.}",0.565511107444763,1,1,25448
"2","{service=b'ecr_i',count=[442;Inf]} => {labels=smurf.}",0.562644422054291,1,1,18
"3","{service=b'ecr_i',src_bytes=1032} => {labels=smurf.}",0.461311101913452,1,1,1
"4","{src_bytes=0,diff_srv_rate=[0.05;0.08]} => {labels=neptune.}",0.211822226643562,1,1,9532
"5","{dst_host_same_src_port_rate=0,dst_host_serror_rate=[0.94;Inf]} => {labels=neptune.}",0.176133334636688,1,1,285
"6","{count=[98;305],dst_host_diff_srv_rate=[0.06;0.08]} => {labels=neptune.}",0.169977784156799,1,1,5
"7","{same_srv_rate=[0.01;0.19],dst_host_srv_serror_rate=[0.91;Inf]} => {labels=neptune.}",0.16895554959774,1,1,2
"8","{dst_host_same_srv_rate=[0.02;0.08],dst_host_srv_serror_rate=[0.91;Inf]} => {labels=neptune.}",0.142577782273293,1,1,1
"9","{dst_host_diff_srv_rate=[0.06;0.08],dst_host_srv_serror_rate=[0.91;Inf]} => {labels=neptune.}",0.137177780270576,1,1,1
"10","{=[397013;449767]} => {labels=smurf.}",0.104644447565079,1,1,1
"11","{flag=b'SF',src_bytes=[29;333],dst_bytes=[1;2186]} => {labels=normal.}",0.0930444449186325,1,1,4187
"12","{src_bytes=0,srv_count=[13;20],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0803777799010277,1,1,2
"13","{duration=0,dst_bytes=[1;2186],logged_in=1} => {labels=normal.}",0.0757555589079857,1,1,704
"14","{flag=b'SF',dst_bytes=[1;2186],dst_host_same_srv_rate=1} => {labels=normal.}",0.0690888911485672,1,1,33
"15","{service=b'http',dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0680666640400887,1,1,1398
"16","{service=b'http',dst_bytes=[1;2186]} => {labels=normal.}",0.0661555528640747,1,1,1
"17","{src_bytes=0,srv_count=[7;12],dst_host_srv_diff_host_rate=0} => {labels=neptune.}",0.0647111088037491,1,1,9
"18","{src_bytes=[29;333],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0631333366036415,1,1,58
"19","{dst_bytes=[1;2186],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0512666665017605,1,1,300
"20","{logged_in=1,num_compromised=0,count=[7;21]} => {labels=normal.}",0.0480000004172325,1,1,377
"21","{hot=0,logged_in=1,dst_host_same_src_port_rate=[0.01;0.02]} => {labels=normal.}",0.0464222207665443,1,1,121
"22","{dst_bytes=[1;2186],hot=0,count=1} => {labels=normal.}",0.0452222228050232,1,1,102
"23","{duration=0,dst_bytes=[1;2186],dst_host_same_src_port_rate=0} => {labels=normal.}",0.0450888872146606,1,1,1
"24","{src_bytes=[29;333],count=[7;21]} => {labels=normal.}",0.0441777780652046,1,1,10
"25","{logged_in=1,dst_host_same_src_port_rate=[0.01;0.02],dst_host_rerror_rate=0} => {labels=normal.}",0.0427111126482487,1,1,12
"26","{=[459861;480313]} => {labels=neptune.}",0.041777778416872,1,1,6
"27","{dst_bytes=[1;2186],dst_host_same_src_port_rate=[0.01;0.02]} => {labels=normal.}",0.0410222224891186,1,1,4
"28","{=[19385;39706],srv_rerror_rate=0} => {labels=normal.}",0.0408444441854954,1,1,186
"29","{diff_srv_rate=0,dst_host_same_src_port_rate=[0.01;0.02],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0404666662216187,1,1,5
"30","{dst_host_count=[14;89],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0402222238481045,1,1,42
"31","{flag=b'SF',rerror_rate=0,srv_diff_host_rate=[0.01;0.32]} => {labels=normal.}",0.0401999987661839,1,1,72
"32","{src_bytes=[29;333],dst_host_same_src_port_rate=[0.01;0.02]} => {labels=normal.}",0.0393777787685394,1,1,63
"33","{service=b'http',num_compromised=0,dst_host_count=[14;89]} => {labels=normal.}",0.0372444428503513,1,1,140
"34","{num_compromised=0,dst_host_same_srv_rate=1,dst_host_same_src_port_rate=[0.01;0.02]} => {labels=normal.}",0.0357111096382141,1,1,13
"35","{=[19385;39706],hot=0,dst_host_same_srv_rate=1} => {labels=normal.}",0.0350666679441929,1,1,2
"36","{flag=b'SF',src_bytes=[29;333],dst_host_count=[14;89]} => {labels=normal.}",0.0347777791321278,1,1,54
"37","{protocol_type=b'udp',src_bytes=[29;333],dst_host_count=255} => {labels=normal.}",0.0340888872742653,1,1,187
"38","{src_bytes=[29;333],count=[3;6]} => {labels=normal.}",0.033555556088686,1,1,127
"39","{dst_bytes=[1;2186],dst_host_same_srv_rate=[0.58;0.99]} => {labels=normal.}",0.0323555544018745,1,1,1
"40","{flag=b'SF',dst_host_count=[90;254],dst_host_srv_diff_host_rate=[0.01;0.07]} => {labels=normal.}",0.0299777779728174,1,1,60
