"","rules","support","confidence","orderedConf","orderedSupp"
"1","{attribute_4=[-Inf;0.0539],attribute_11=[-Inf;0.168],attribute_51=[-Inf;0.0168]} => {Class=Rock}",0.224598929286003,1,1,42
"2","{attribute_4=[-Inf;0.0581],attribute_12=[0.0259;0.2259],attribute_51=[-Inf;0.0132]} => {Class=Rock}",0.187165781855583,1,1,4
"3","{attribute_28=[0.8105;Inf],attribute_48=[0.072;Inf],attribute_51=[0.0109;Inf]} => {Class=Mine}",0.181818187236786,1,1,34
"4","{attribute_10=[0.1369;Inf],attribute_28=[0.9187;Inf],attribute_47=[0.0365;Inf]} => {Class=Mine}",0.176470592617989,1,1,8
"5","{attribute_35=[-Inf;0.2489],attribute_48=[0.072;Inf],attribute_51=[0.0128;Inf]} => {Class=Mine}",0.171122997999191,1,1,6
"6","{attribute_13=[-Inf;0.3002],attribute_36=[0.5071;Inf],attribute_45=[-Inf;0.2814]} => {Class=Rock}",0.171122997999191,1,1,14
"7","{attribute_5=[-Inf;0.0484],attribute_11=[-Inf;0.1786],attribute_28=[0.0832;0.9509]} => {Class=Rock}",0.165775403380394,1,1,5
"8","{attribute_4=[0.0494;Inf],attribute_37=[-Inf;0.4826],attribute_48=[0.0749;Inf]} => {Class=Mine}",0.160427808761597,1,1,18
"9","{attribute_11=[-Inf;0.2164],attribute_28=[-Inf;0.9595],attribute_36=[0.5071;Inf]} => {Class=Rock}",0.155080214142799,1,1,4
"10","{attribute_12=[-Inf;0.2187],attribute_35=[0.0349;Inf],attribute_47=[-Inf;0.0672]} => {Class=Rock}",0.149732619524002,1,1,3
"11","{attribute_9=[0.0889;Inf],attribute_45=[0.3263;Inf]} => {Class=Mine}",0.139037430286407,1,1,7
"12","{attribute_5=[-Inf;0.0427],attribute_10=[-Inf;0.1675],attribute_51=[-Inf;0.0168]} => {Class=Rock}",0.13368983566761,1,1,1
"13","{attribute_12=[0.2087;Inf],attribute_45=[0.3263;Inf]} => {Class=Mine}",0.128342241048813,1,1,1
"14","{attribute_4=[-Inf;0.0624],attribute_47=[-Inf;0.0651],attribute_51=[-Inf;0.0132]} => {Class=Rock}",0.128342241048813,1,1,3
"15","{attribute_28=[-Inf;0.9955],attribute_36=[0.4787;Inf],attribute_52=[-Inf;0.0093]} => {Class=Rock}",0.128342241048813,1,1,1
"16","{attribute_47=[-Inf;0.0674],attribute_51=[-Inf;0.0136],attribute_52=[-Inf;0.0094]} => {Class=Rock}",0.117647059261799,1,1,1
"17","{attribute_4=[0.0494;Inf],attribute_35=[-Inf;0.2459],attribute_49=[0.0422;Inf]} => {Class=Mine}",0.0962566807866096,1,1,2
"18","{attribute_35=[0.0928;Inf],attribute_37=[0.448;Inf],attribute_47=[-Inf;0.0663]} => {Class=Rock}",0.074866309762001,1,1,1
"19","{attribute_35=[-Inf;0.2421],attribute_47=[-Inf;0.0841],attribute_52=[0.0093;Inf]} => {Class=Mine}",0.0641711205244064,1,1,5
"20","{attribute_4=[0.0387;Inf],attribute_47=[-Inf;0.0624],attribute_52=[-Inf;0.0094]} => {Class=Rock}",0.0641711205244064,1,1,1
"21","{attribute_4=[0.0456;Inf],attribute_48=[0.0762;Inf],attribute_49=[-Inf;0.0506]} => {Class=Mine}",0.0534759350121021,1,1,1
"22","{attribute_11=[0.161;Inf],attribute_48=[0.0762;Inf],attribute_49=[-Inf;0.0422]} => {Class=Mine}",0.0427807494997978,1,1,1
