"","rules","support","confidence","orderedConf","orderedSupp"
"1","{attribute_12=[0.0273;0.225],attribute_21=[0.1354;0.6275],attribute_49=[0;0.045]} => {Class=Rock}",0.180851057171822,1,1,34
"2","{attribute_11=[0.075;0.197],attribute_21=[0.1354;0.6275],attribute_48=[0;0.0752]} => {Class=Rock}",0.170212760567665,1,1,5
"3","{attribute_12=[0.0273;0.225],attribute_21=[0.1354;0.6275],attribute_46=[0;0.0978]} => {Class=Rock}",0.164893612265587,1,1,3
"4","{attribute_10=[0.0251;0.163],attribute_21=[0.1354;0.6275],attribute_48=[0;0.0752]} => {Class=Rock}",0.164893612265587,1,1,2
"5","{attribute_12=[0.05;0.225],attribute_21=[0.1268;0.6275],attribute_51=[0;0.0128]} => {Class=Rock}",0.159574463963509,1,1,3
"6","{attribute_13=[0.0309;0.2007],attribute_36=[0.5071;0.9705],attribute_45=[0.0046;0.2748]} => {Class=Rock}",0.143617019057274,1,1,8
"7","{attribute_35=[0.0223;0.2183],attribute_48=[0.0765;0.2945],attribute_51=[0.013;0.0367]} => {Class=Mine}",0.143617019057274,1,1,27
"8","{attribute_8=[0.0057;0.1026],attribute_13=[0.0252;0.2042],attribute_48=[0;0.0752]} => {Class=Rock}",0.143617019057274,1,1,4
"9","{attribute_4=[0.0525;0.4264],attribute_36=[0.008;0.5023],attribute_46=[0.0985;0.7292]} => {Class=Mine}",0.143617019057274,1,1,19
"10","{attribute_21=[0.2074;0.6275],attribute_49=[0;0.0452],attribute_52=[8e-04;0.009]} => {Class=Rock}",0.138297870755196,1,1,4
"11","{attribute_9=[0.0117;0.116],attribute_36=[0.5122;1],attribute_45=[0.0095;0.3212]} => {Class=Rock}",0.127659574151039,1,1,3
"12","{attribute_9=[0.1199;0.6828],attribute_45=[0.3955;0.7034]} => {Class=Mine}",0.122340425848961,1,1,15
"13","{attribute_8=[0.0057;0.1026],attribute_47=[0;0.0621],attribute_54=[0.0013;0.0204]} => {Class=Rock}",0.122340425848961,1,1,1
"14","{attribute_4=[0.0058;0.0518],attribute_21=[0.1354;0.6275],attribute_47=[0.0205;0.0623]} => {Class=Rock}",0.122340425848961,1,1,1
"15","{attribute_11=[0.2128;0.5304],attribute_45=[0.3955;0.7034]} => {Class=Mine}",0.117021277546883,1,1,1
"16","{attribute_12=[0.2374;0.5341],attribute_28=[0.9582;1],attribute_47=[0.0641;0.2095]} => {Class=Mine}",0.117021277546883,1,1,6
"17","{attribute_1=[0.0411;0.1313],attribute_48=[0.0762;0.3339],attribute_51=[0.014;0.1004]} => {Class=Mine}",0.106382980942726,1,1,4
"18","{attribute_13=[0.0252;0.1908],attribute_46=[0;0.0978],attribute_52=[0.0022;0.0091]} => {Class=Rock}",0.106382980942726,1,1,1
"19","{attribute_28=[0.9582;1],attribute_48=[0.0777;0.1888]} => {Class=Mine}",0.101063832640648,1,1,1
"20","{attribute_1=[0.0411;0.1371],attribute_13=[0.2076;0.7131],attribute_49=[0.0453;0.1794]} => {Class=Mine}",0.101063832640648,1,1,1
"21","{attribute_12=[0.2325;0.5632],attribute_44=[0.4286;0.5762]} => {Class=Mine}",0.0957446843385696,1,1,1
"22","{attribute_9=[0.1171;0.6587],attribute_54=[0.0226;0.0352]} => {Class=Mine}",0.0797872319817543,1,1,4
"23","{attribute_12=[0.2251;0.5484],attribute_54=[0.0226;0.0344]} => {Class=Mine}",0.0744680836796761,1,1,1
