"","rules","support","confidence","orderedConf","orderedSupp"
"1","{word_freq_george=[0.01;Inf],'char_freq_\%21'=[-Inf;0.004]} => {class=0}",0.136714980006218,1,1,566
"2","{word_freq_your=[-Inf;0.39],word_freq_george=[0.01;Inf]} => {class=0}",0.121497586369514,1,1,72
"3","{word_freq_you=[-Inf;0.33],word_freq_george=[0.01;Inf]} => {class=0}",0.0816425085067749,1,1,11
"4","{word_freq_hpl=[0.13;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.0799516886472702,1,1,162
"5","{word_freq_lab=[0.13;Inf]} => {class=0}",0.0760869532823563,1,1,100
"6","{word_freq_hpl=[0.13;Inf],word_freq_85=[0.2;Inf]} => {class=0}",0.0722222253680229,1,1,20
"7","{word_freq_hpl=[0.13;Inf],word_freq_george=[0.01;Inf]} => {class=0}",0.0719806775450706,1,1,4
"8","{word_freq_hp=[1.21;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.0657004863023758,1,1,13
"9","{word_freq_hp=[1.21;Inf],word_freq_1999=[0.11;Inf]} => {class=0}",0.064492754638195,1,1,96
"10","{word_freq_hp=[1.21;Inf],word_freq_85=[0.2;Inf]} => {class=0}",0.063043475151062,1,1,3
"11","{word_freq_hpl=[0.13;Inf],word_freq_technology=[0.1;1.62]} => {class=0}",0.0618357472121716,1,1,26
"12","{word_freq_650=[0.02;Inf],word_freq_labs=[0.13;Inf]} => {class=0}",0.0594202913343906,1,1,4
"13","{word_freq_george=[0.01;Inf],capital_run_length_longest=[-Inf;5]} => {class=0}",0.0589371994137764,1,1,5
"14","{word_freq_address=[-Inf;0.04],word_freq_telnet=[0.09;Inf]} => {class=0}",0.0572463758289814,1,1,21
"15","{word_freq_remove=0,word_freq_receive=[-Inf;0.04],word_freq_telnet=[0.09;Inf]} => {class=0}",0.0570048317313194,1,1,1
"16","{word_freq_labs=[0.13;Inf],word_freq_85=[0.2;Inf]} => {class=0}",0.0567632839083672,1,1,1
"17","{word_freq_hp=[1.21;Inf],word_freq_technology=[0.1;1.62]} => {class=0}",0.0565217398107052,1,1,19
"18","{word_freq_meeting=[0.46;Inf]} => {class=0}",0.0553140081465244,1,1,118
"19","{word_freq_george=[0.01;Inf],word_freq_1999=[0.11;Inf]} => {class=0}",0.053864736109972,1,1,4
"20","{word_freq_george=[0.01;Inf],'char_freq_\%28'=[0.282;Inf]} => {class=0}",0.0533816441893578,1,1,3
"21","{'char_freq_\%21'=[0.334;Inf],capital_run_length_total=[711;Inf]} => {class=1}",0.0504830926656723,1,1,209
"22","{word_freq_hp=[1.21;Inf],word_freq_george=[0.01;Inf]} => {class=0}",0.05024154484272,1,1,1
"23","{word_freq_george=[0.01;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.0500000007450581,1,1,1
"24","{word_freq_hp=[1.21;Inf],capital_run_length_average=[1.194;2.018]} => {class=0}",0.0490338169038296,1,1,43
"25","{word_freq_george=[0.01;Inf],'char_freq_\%28'=[0.111;0.281]} => {class=0}",0.0454106293618679,1,1,1
"26","{word_freq_remove=0,word_freq_free=[-Inf;0.07],word_freq_original=[0.25;Inf]} => {class=0}",0.0451690815389156,1,1,36
"27","{word_freq_credit=[-Inf;0.07],word_freq_857=[0.09;Inf]} => {class=0}",0.0449275374412537,1,1,1
"28","{word_freq_labs=[0.13;Inf],word_freq_1999=[0.11;Inf]} => {class=0}",0.0429951697587967,1,1,8
"29","{word_freq_85=[0.2;Inf],word_freq_technology=[0.1;1.62]} => {class=0}",0.0413043461740017,1,1,2
"30","{word_freq_1999=[0.11;Inf],word_freq_original=[0.25;Inf]} => {class=0}",0.0403381660580635,1,1,1
"31","{word_freq_hpl=[0.13;Inf],word_freq_415=[0.2;Inf]} => {class=0}",0.0381642505526543,1,1,1
"32","{word_freq_addresses=[0.03;Inf],'char_freq_\%21'=[0.334;Inf]} => {class=1}",0.0379227064549923,1,1,49
"33","{word_freq_george=[0.01;Inf],capital_run_length_total=[30;77]} => {class=0}",0.0374396145343781,1,1,1
"34","{word_freq_85=[0.2;Inf],'char_freq_\%28'=[0.282;Inf]} => {class=0}",0.0371980667114258,1,1,4
"35","{word_freq_internet=[-Inf;0.01],word_freq_re=[1.58;Inf],'char_freq_\%21'=[-Inf;0.004]} => {class=0}",0.0369565226137638,1,1,85
"36","{word_freq_labs=[0.13;Inf],'char_freq_\%28'=[0.282;Inf]} => {class=0}",0.0364734306931496,1,1,3
"37","{word_freq_george=0,capital_run_length_longest=[252;Inf]} => {class=1}",0.0359903387725353,1,1,58
"38","{word_freq_1999=[0.11;Inf],word_freq_edu=[0.13;Inf]} => {class=0}",0.0340579710900784,1,1,67
"39","{word_freq_remove=0,word_freq_free=[-Inf;0.07],word_freq_conference=[0.02;Inf]} => {class=0}",0.0338164232671261,1,1,33
"40","{word_freq_000=[-Inf;0.05],word_freq_original=[0.25;Inf],'char_freq_\%21'=[-Inf;0.004]} => {class=0}",0.0333333350718021,1,1,1
"41","{word_freq_money=0,word_freq_cs=[0.02;Inf]} => {class=0}",0.0321256034076214,1,1,48
"42","{word_freq_000=[-Inf;0.05],word_freq_cs=[0.02;Inf]} => {class=0}",0.0321256034076214,1,1,1
"43","{word_freq_free=[-Inf;0.07],word_freq_pm=[0.75;Inf]} => {class=0}",0.0297101456671953,1,1,21
"44","{word_freq_internet=[-Inf;0.01],word_freq_re=[1.58;Inf],capital_run_length_longest=[-Inf;5]} => {class=0}",0.0294685997068882,1,1,12
"45","{word_freq_credit=[-Inf;0.07],word_freq_your=[-Inf;0.39],word_freq_original=[0.25;Inf]} => {class=0}",0.0294685997068882,1,1,1
"46","{word_freq_000=[0.27;Inf],'char_freq_\%23'=[0.036;Inf]} => {class=1}",0.0292270537465811,1,1,55
