"","rules","support","confidence","orderedConf","orderedSupp"
"1","{word_freq_george=[0.01;Inf],'char_freq_\%21'=[-Inf;0.157]} => {class=0}",0.153103113174438,1,1,634
"2","{word_freq_order=[-Inf;0.39],word_freq_george=[0.19;Inf]} => {class=0}",0.147790387272835,1,1,58
"3","{word_freq_your=[-Inf;1.01],word_freq_george=[0.19;Inf]} => {class=0}",0.127263948321342,1,1,1
"4","{word_freq_you=[-Inf;1.27],word_freq_george=[0.01;Inf]} => {class=0}",0.114948078989983,1,1,1
"5","{word_freq_george=[0.01;Inf],'char_freq_\%28'=[0.096;Inf]} => {class=0}",0.100941799581051,1,NA,0
"6","{word_freq_hp=[0.02;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.089591883122921,1,1,173
"7","{word_freq_hp=[0.02;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.089591883122921,1,NA,0
"8","{word_freq_85=[0.15;Inf],'char_freq_\%24'=[-Inf;0.047]} => {class=0}",0.0874184966087341,1,1,59
"9","{word_freq_hpl=[0.04;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.0821057707071304,1,NA,0
"10","{word_freq_650=[0.02;Inf],word_freq_85=[0.01;Inf]} => {class=0}",0.0772760212421417,1,NA,0
"11","{word_freq_hpl=[0.04;Inf],word_freq_technology=[0.01;Inf]} => {class=0}",0.0753441229462624,1,1,49
"12","{word_freq_85=[0.01;Inf],'char_freq_\%21'=[-Inf;0.054]} => {class=0}",0.0738951936364174,1,1,5
"13","{word_freq_free=[-Inf;0.1],word_freq_lab=[0.03;Inf]} => {class=0}",0.0726877599954605,1,1,78
"14","{word_freq_lab=[0.07;Inf],word_freq_edu=[-Inf;0.35]} => {class=0}",0.0726877599954605,1,1,4
"15","{word_freq_hpl=[0.04;Inf],capital_run_length_longest=[5;12]} => {class=0}",0.0712388306856155,1,1,78
"16","{word_freq_hp=[1.17;Inf],word_freq_technology=[0.01;Inf]} => {class=0}",0.0707558542490005,1,1,45
"17","{word_freq_hp=[1.19;Inf],word_freq_1999=[0.05;Inf]} => {class=0}",0.0702728778123856,1,1,54
"18","{word_freq_hp=[0.02;3.34],word_freq_labs=[0.05;Inf]} => {class=0}",0.0702728778123856,1,1,21
"19","{word_freq_hpl=[0.04;Inf],word_freq_george=[0.01;Inf]} => {class=0}",0.0700313970446587,1,NA,0
"20","{'char_freq_\%21'=[0.162;Inf],capital_run_length_total=[640;Inf]} => {class=1}",0.0685824677348137,1,1,284
"21","{word_freq_hp=[1.17;Inf],capital_run_length_average=[1.102;2.216]} => {class=0}",0.0680994912981987,1,1,33
"22","{word_freq_your=[0.47;1.87],word_freq_000=[0.27;Inf]} => {class=1}",0.0644771829247475,1,1,142
"23","{word_freq_will=[0.02;Inf],word_freq_hp=[1.47;Inf]} => {class=0}",0.06423569470644,1,1,9
"24","{word_freq_address=[-Inf;0.39],word_freq_telnet=[0.09;Inf]} => {class=0}",0.0623037926852703,1,1,8
"25","{word_freq_650=[0.02;Inf],word_freq_labs=[0.13;Inf]} => {class=0}",0.0606133788824081,1,1,1
"26","{word_freq_over=[0.07;5.88],word_freq_000=[0.34;Inf]} => {class=1}",0.0601304024457932,1,1,76
"27","{word_freq_address=[0.01;2.59],'char_freq_\%21'=[0.414;Inf]} => {class=1}",0.059405941516161,1,1,110
"28","{word_freq_over=[0.24;5.88],word_freq_money=[0.02;Inf]} => {class=1}",0.0586814768612385,1,1,94
"29","{word_freq_000=[0.21;Inf],'char_freq_\%21'=[0.375;Inf]} => {class=1}",0.0562666021287441,1,1,39
"30","{word_freq_our=[0.35;Inf],word_freq_000=[0.34;Inf]} => {class=1}",0.0555421411991119,1,1,13
"31","{word_freq_meeting=[0.46;Inf]} => {class=0}",0.0531272627413273,1,1,91
"32","{word_freq_you=[0.4;18.75],word_freq_hp=[1.47;Inf]} => {class=0}",0.0531272627413273,1,1,3
"33","{word_freq_you=[0.4;18.75],word_freq_hp=[1.47;Inf]} => {class=0}",0.0531272627413273,1,NA,0
"34","{word_freq_hp=[1.47;Inf],capital_run_length_total=[131;3315]} => {class=0}",0.0519198253750801,1,NA,0
"35","{word_freq_remove=[0.02;Inf],word_freq_000=[0.34;Inf]} => {class=1}",0.0514368526637554,1,1,6
"36","{word_freq_labs=[0.05;Inf],word_freq_1999=[0.05;Inf]} => {class=0}",0.0497464388608932,1,1,3
"37","{word_freq_hp=[0.02;2.05],capital_run_length_longest=[5;12]} => {class=0}",0.0495049506425858,1,1,21
"38","{word_freq_george=[0.01;Inf],word_freq_labs=[0.05;Inf]} => {class=0}",0.0492634624242783,1,NA,0
"39","{word_freq_addresses=[0.01;Inf],'char_freq_\%21'=[0.16;Inf]} => {class=1}",0.0492634624242783,1,1,20
"40","{word_freq_000=[-Inf;0.28],word_freq_original=[0.12;Inf],capital_run_length_average=[1.39;3.278]} => {class=0}",0.0485390014946461,1,1,40
"41","{word_freq_you=[1.75;18.75],capital_run_length_total=[650;Inf]} => {class=1}",0.0480560250580311,1,1,10
"42","{word_freq_remove=[0;0.29],word_freq_free=[-Inf;0.28],word_freq_original=[0.21;Inf]} => {class=0}",0.0480560250580311,1,1,4
"43","{word_freq_1999=[0.05;Inf],word_freq_original=[0.1;Inf]} => {class=0}",0.0470900759100914,1,1,2
"44","{word_freq_will=[1.43;Inf],word_freq_you=[-Inf;1.65],word_freq_your=[-Inf;0.81]} => {class=0}",0.0468485876917839,1,1,59
"45","{word_freq_labs=[0.05;Inf],capital_run_length_total=[-Inf;113]} => {class=0}",0.0461241230368614,1,1,10
"46","{word_freq_credit=[-Inf;0.46],word_freq_857=[0.09;Inf]} => {class=0}",0.0444337129592896,1,NA,0
"47","{word_freq_remove=[0;0.25],word_freq_1999=[0.11;Inf],word_freq_pm=[0.01;Inf]} => {class=0}",0.0432262755930424,1,1,15
"48","{word_freq_internet=[-Inf;6.06],word_freq_re=[1.01;Inf],capital_run_length_longest=[-Inf;9]} => {class=0}",0.0417773500084877,1,1,103
"49","{word_freq_hpl=[0.04;Inf],word_freq_415=[0.07;Inf]} => {class=0}",0.0410528853535652,1,1,1
"50","{word_freq_hp=[1.36;Inf],capital_run_length_total=[52;129]} => {class=0}",0.040328424423933,1,1,1
"51","{word_freq_hp=[0.58;Inf],word_freq_re=[0.48;Inf]} => {class=0}",0.039362471550703,1,1,8
"52","{word_freq_internet=[-Inf;6.06],word_freq_re=[1.38;Inf],'char_freq_\%21'=[-Inf;0.131]} => {class=0}",0.039362471550703,1,1,13
"53","{word_freq_650=[0.02;Inf],word_freq_re=[0.13;Inf]} => {class=0}",0.0386380106210709,1,1,2
"54","{word_freq_85=[0.01;Inf],'char_freq_\%28'=[0.281;Inf]} => {class=0}",0.0383965224027634,1,1,1
"55","{word_freq_labs=[0.13;Inf],'char_freq_\%28'=[0.271;Inf]} => {class=0}",0.0371890850365162,1,NA,0
"56","{word_freq_hp=[0.02;Inf],word_freq_re=[0.58;Inf]} => {class=0}",0.0367061085999012,1,1,3
"57","{word_freq_remove=[0;1.6],word_freq_re=[1.58;Inf],capital_run_length_total=[5;71]} => {class=0}",0.0367061085999012,1,1,7
"58","{word_freq_your=[-Inf;1.27],word_freq_project=[0.07;Inf],capital_run_length_average=[-Inf;2.138]} => {class=0}",0.0364646203815937,1,1,43
"59","{word_freq_re=[1.18;Inf],capital_run_length_average=[1.024;2.122]} => {class=0}",0.035981647670269,1,1,3
"60","{word_freq_hpl=[-Inf;0.5],word_freq_george=[0;0.28],capital_run_length_longest=[245;Inf]} => {class=1}",0.035981647670269,1,1,19
"61","{word_freq_will=[1.1;Inf],word_freq_hpl=[0.13;Inf]} => {class=0}",0.0347742103040218,1,1,1
"62","{word_freq_remove=[0;0.25],word_freq_hp=[0.02;Inf],word_freq_data=[0.06;1.01]} => {class=0}",0.0345327220857143,1,1,3
"63","{word_freq_1999=[0.05;Inf],word_freq_edu=[0.02;Inf]} => {class=0}",0.0342912338674068,1,1,44
"64","{word_freq_000=[0.24;Inf],'char_freq_\%23'=[0.026;Inf]} => {class=1}",0.0342912338674068,1,1,2
"65","{word_freq_remove=[0;0.25],word_freq_free=[-Inf;0.1],word_freq_conference=[0.02;Inf]} => {class=0}",0.0340497456490993,1,1,17
"66","{word_freq_money=[0.02;Inf],word_freq_650=[0;0.02],word_freq_re=[0.01;0.22]} => {class=1}",0.0338082574307919,1,1,12
"67","{word_freq_address=[-Inf;0.33],word_freq_hpl=[0.04;Inf],word_freq_data=[0.02;Inf]} => {class=0}",0.0338082574307919,1,1,1
"68","{word_freq_remove=[0;0.25],word_freq_hpl=[0.04;Inf],word_freq_data=[0.02;Inf]} => {class=0}",0.0335667729377747,1,NA,0
"69","{word_freq_money=[0;0.3],word_freq_pm=[0.75;Inf]} => {class=0}",0.0333252847194672,1,1,11
"70","{word_freq_addresses=[0.01;Inf],word_freq_000=[0.34;Inf]} => {class=1}",0.0326008200645447,1,1,4
"71","{word_freq_hp=[0.08;3.57],word_freq_project=[0.01;Inf]} => {class=0}",0.0311518963426352,1,NA,0
"72","{word_freq_receive=[0.02;2.61],word_freq_1999=[-Inf;0.11],word_freq_re=[0.01;0.22]} => {class=1}",0.0311518963426352,1,1,4
