"","rules","support","confidence","orderedConf","orderedSupp"
"1","{word_freq_order=0,word_freq_george=[0.45;33.33]} => {class=0}",0.133784115314484,1,1,554
"2","{word_freq_george=[0.45;33.33],'char_freq_\%21'=0} => {class=0}",0.113499157130718,1,1,17
"3","{word_freq_hpl=[0.1;6.52],word_freq_650=[0.04;4.76]} => {class=0}",0.0833132117986679,1,1,171
"4","{word_freq_hp=[0.72;9.83],word_freq_650=[0.04;4.76]} => {class=0}",0.0801738724112511,1,1,16
"5","{word_freq_hpl=[0.19;6.52],word_freq_85=[0.15;4.76]} => {class=0}",0.0780004858970642,1,1,27
"6","{word_freq_hp=[0.72;9.83],word_freq_85=[0.15;4.76]} => {class=0}",0.0772760212421417,1,1,10
"7","{word_freq_hp=[0.72;9.83],word_freq_technology=[0.09;1.58]} => {class=0}",0.0700313970446587,1,1,82
"8","{word_freq_lab=[0.13;14.28],word_freq_edu=0} => {class=0}",0.0685824677348137,1,1,73
"9","{word_freq_free=0,word_freq_lab=[0.13;14.28]} => {class=0}",0.0680994912981987,1,1,3
"10","{word_freq_you=0,word_freq_george=[0.47;33.33]} => {class=0}",0.0668920576572418,1,1,1
"11","{word_freq_hpl=[0.1;6.56],word_freq_technology=[0.09;1.58]} => {class=0}",0.0647186636924744,1,1,24
"12","{word_freq_85=[0.15;5.88],capital_run_length_longest=[10;18]} => {class=0}",0.0620623044669628,1,1,14
"13","{word_freq_650=[0.04;5.88],word_freq_labs=[0.13;5.88]} => {class=0}",0.0610963553190231,1,1,2
"14","{word_freq_address=[0;0.06],word_freq_telnet=[0.09;12.5]} => {class=0}",0.0591644532978535,1,1,20
"15","{word_freq_hp=[0.74;9.83],word_freq_telnet=[0.09;4.76]} => {class=0}",0.0572325512766838,1,1,1
"16","{word_freq_meeting=[0.39;14.28]} => {class=0}",0.0548176765441895,1,1,115
"17","{word_freq_receive=[0;0.04],word_freq_telnet=[0.14;4.76],word_freq_85=[0.15;4.76]} => {class=0}",0.0507123880088329,1,1,5
"18","{word_freq_george=[0.48;14.28],'char_freq_\%28'=[0.282;1.754]} => {class=0}",0.0473315641283989,1,1,1
"19","{word_freq_85=[0.15;2.43],word_freq_technology=[0.09;1.58]} => {class=0}",0.0449166856706142,1,1,1
"20","{word_freq_remove=0,word_freq_free=0,word_freq_original=[0.26;3.57]} => {class=0}",0.0446751974523067,1,1,47
"21","{word_freq_credit=0,word_freq_857=[0.09;4.76]} => {class=0}",0.0441922247409821,1,1,1
"22","{word_freq_labs=[0.13;3.7],word_freq_1999=[0.07;3.94]} => {class=0}",0.0439507365226746,1,1,22
"23","{'char_freq_\%21'=[0.378;5.848],capital_run_length_total=[727;10062]} => {class=1}",0.0405699089169502,1,1,168
"24","{word_freq_1999=[0.25;4.34],word_freq_original=[0.25;3.57]} => {class=0}",0.039845447987318,1,1,2
"25","{word_freq_hpl=[0.2;6.52],word_freq_415=[0.2;4.76]} => {class=0}",0.0381550341844559,1,1,1
"26","{word_freq_85=[0.15;5.88],'char_freq_\%28'=[0.282;1.411]} => {class=0}",0.0374305732548237,1,1,3
"27","{word_freq_hpl=[0;0.09],word_freq_george=0,capital_run_length_longest=[252;9989]} => {class=1}",0.0369475968182087,1,1,76
"28","{word_freq_internet=0,word_freq_re=[1.58;21.42],'char_freq_\%21'=0} => {class=0}",0.035981647670269,1,1,86
