"","rules","support","confidence","orderedConf","orderedSupp"
"1","{'char_freq_\%21'=[0.162;Inf],capital_run_length_total=[640;Inf]} => {class=1}",0.0704973414540291,1,1,292
"2","{word_freq_money=[0.02;Inf],capital_run_length_average=[5.21;Inf]} => {class=1}",0.0562530197203159,1,1,75
"3","{word_freq_addresses=[0.01;Inf],'char_freq_\%21'=[0.16;Inf]} => {class=1}",0.0514244325459003,1,1,52
"4","{word_freq_000=[0.27;Inf],capital_run_length_total=[511;Inf]} => {class=1}",0.0465958490967751,1,1,31
"5","{word_freq_receive=[0.06;2.61],word_freq_addresses=[0.01;Inf]} => {class=1}",0.0393529683351517,1,1,11
"6","{word_freq_hpl=[-Inf;0.5],word_freq_george=[0;0.28],capital_run_length_longest=[245;Inf]} => {class=1}",0.0379043929278851,1,1,26
"7","{word_freq_will=[0.2;Inf],word_freq_report=[0.01;2.06],word_freq_you=[1.64;18.75]} => {class=1}",0.0366972461342812,1,1,32
"8","{word_freq_report=[0.01;10],word_freq_hp=[-Inf;0.48],'char_freq_\%24'=[0.091;Inf]} => {class=1}",0.0364558175206184,1,1,13
"9","{word_freq_money=[0.02;Inf],word_freq_650=[0;0.02],word_freq_re=[0.01;0.22]} => {class=1}",0.0354901030659676,1,1,20
"10","{word_freq_000=[0.24;Inf],'char_freq_\%23'=[0.026;Inf]} => {class=1}",0.0342829562723637,1,1,32
"11","{word_freq_internet=[0.01;Inf],word_freq_report=[0.04;10],word_freq_your=[0.45;11.11]} => {class=1}",0.0335586667060852,1,1,1
"12","{word_freq_receive=[0.02;2.61],word_freq_1999=[-Inf;0.11],word_freq_re=[0.01;0.22]} => {class=1}",0.0321100912988186,1,1,3
"13","{word_freq_make=[0.01;4.54],word_freq_report=[0.01;10],word_freq_you=[1.24;18.75]} => {class=1}",0.0318686626851559,1,1,2
"14","{word_freq_1999=[-Inf;0.1],'char_freq_\%23'=[0.008;0.039],capital_run_length_longest=[48;Inf]} => {class=1}",0.0299372281879187,1,1,8
"15","{word_freq_money=[0.02;Inf],word_freq_hp=[-Inf;1.45],'char_freq_\%23'=[0.006;0.04]} => {class=1}",0.0292129404842854,1,1,3
"16","{word_freq_addresses=[0.01;Inf],capital_run_length_average=[5.333;Inf]} => {class=1}",0.028488652780652,1,1,2
"17","{word_freq_report=[0.01;10],word_freq_000=[0.23;Inf],word_freq_1999=[-Inf;0.18]} => {class=1}",0.0282472241669893,1,1,3
"18","{'char_freq_\%24'=[0.08;Inf],'char_freq_\%23'=[0.003;0.035]} => {class=1}",0.0270400773733854,1,1,2
"19","{word_freq_all=[0.17;Inf],word_freq_report=[0.04;10],word_freq_free=[0.1;Inf]} => {class=1}",0.0260743610560894,1,1,3
"20","{word_freq_free=[0.1;Inf],word_freq_hp=[-Inf;0.88],word_freq_re=[0.02;0.13]} => {class=1}",0.0253500733524561,1,1,2
"21","{word_freq_your=[0.39;1.85],word_freq_1999=[-Inf;0.1],'char_freq_\%23'=[0.002;0.036]} => {class=1}",0.0253500733524561,1,1,1
"22","{word_freq_address=[0.08;14.28],word_freq_report=[0.05;1.43],capital_run_length_total=[577;Inf]} => {class=1}",0.0241429265588522,1,1,1
"23","{word_freq_remove=[0.02;Inf],word_freq_report=[0.05;10],capital_run_length_total=[424;Inf]} => {class=1}",0.023177208378911,1,1,1
"24","{word_freq_report=[0.01;10],word_freq_free=[0.08;Inf],'char_freq_\%28'=[0;0.11]} => {class=1}",0.0205214880406857,1,1,2
"25","{word_freq_font=[0.12;Inf],word_freq_edu=[-Inf;0.26],'char_freq_\%3B'=[-Inf;0.309]} => {class=1}",0.0185900535434484,1,1,37
"26","{word_freq_internet=[0.01;Inf],'char_freq_\%21'=[0.373;Inf]} => {class=1}",0.0596330277621746,0.995967745780945,0.987654320987654,80
"27","{word_freq_000=[0.24;Inf],capital_run_length_longest=[56;Inf]} => {class=1}",0.0593915991485119,0.995951414108276,0.980769230769231,51
"28","{word_freq_000=[0.21;Inf],'char_freq_\%21'=[0.375;Inf]} => {class=1}",0.0586673095822334,0.995901644229889,0.978260869565217,45
"29","{word_freq_remove=[0.02;Inf],word_freq_000=[0.24;Inf]} => {class=1}",0.0555287301540375,0.995670974254608,0.958333333333333,23
"30","{word_freq_credit=[0.01;Inf],'char_freq_\%21'=[0.274;Inf]} => {class=1}",0.0555287301540375,0.995670974254608,1,21
"31","{word_freq_000=[0.01;Inf],capital_run_length_average=[5.058;Inf]} => {class=1}",0.0485272817313671,0.995049476623535,1,3
"32","{word_freq_addresses=[0.01;Inf],'char_freq_\%24'=[0.077;Inf]} => {class=1}",0.0473201349377632,0.994923830032349,0.916666666666667,11
"33","{word_freq_people=[0.1;1.88],word_freq_addresses=[0.02;Inf]} => {class=1}",0.0473201349377632,0.994923830032349,0.5,1
"34","{word_freq_make=[0.01;4.54],capital_run_length_average=[5.891;Inf]} => {class=1}",0.0434572659432888,0.994475126266479,0.9,9
"35","{word_freq_you=[1.45;18.75],word_freq_000=[0.27;Inf]} => {class=1}",0.0864316746592522,0.99444442987442,0.952380952380952,20
"36","{word_freq_people=[0.01;Inf],capital_run_length_average=[5.289;Inf]} => {class=1}",0.0429744087159634,0.994413435459137,0.875,7
"37","{word_freq_receive=[0.02;2.61],capital_run_length_average=[5.891;Inf]} => {class=1}",0.0393529683351517,0.993902444839478,0.875,7
"38","{word_freq_credit=[0.01;Inf],capital_run_length_average=[5;Inf]} => {class=1}",0.0383872538805008,0.993749976158142,0.5,1
"39","{word_freq_remove=[0.02;Inf],word_freq_money=[0.02;Inf]} => {class=1}",0.0741187855601311,0.99352753162384,0.982456140350877,56
