"","rules","support","confidence","orderedConf","orderedSupp"
"1","{word_freq_george=[0.01;Inf],'char_freq_\%21'=[-Inf;0.157]} => {class=0}",0.150893285870552,1,1,625
"2","{word_freq_your=[-Inf;0.92],word_freq_george=[0.01;Inf]} => {class=0}",0.140511825680733,1,1,51
"3","{word_freq_george=[0.01;Inf],capital_run_length_longest=[-Inf;27]} => {class=0}",0.130130365490913,1,1,17
"4","{word_freq_hp=[1.5;Inf],word_freq_re=[-Inf;0.34]} => {class=0}",0.0871559605002403,1,1,286
"5","{word_freq_hp=[1.5;Inf],capital_run_length_longest=[-Inf;20]} => {class=0}",0.0837759524583817,1,1,23
"6","{word_freq_hpl=[0.04;Inf],word_freq_650=[0.02;Inf]} => {class=0}",0.0813616588711739,1,1,70
"7","{word_freq_hpl=[0.04;Inf],word_freq_85=[0.01;Inf]} => {class=0}",0.0779816508293152,1,1,6
"8","{word_freq_hpl=[0.04;Inf],word_freq_technology=[0.01;Inf]} => {class=0}",0.0738773569464684,1,1,29
"9","{word_freq_free=[-Inf;0.1],word_freq_lab=[0.03;Inf]} => {class=0}",0.071945920586586,1,1,66
"10","{word_freq_lab=[0.07;Inf],word_freq_edu=[-Inf;0.35]} => {class=0}",0.071945920586586,1,1,3
"11","{'char_freq_\%21'=[0.162;Inf],capital_run_length_total=[640;Inf]} => {class=1}",0.0704973414540291,1,1,292
"12","{word_freq_hp=[1.17;Inf],word_freq_technology=[0.01;Inf]} => {class=0}",0.0692901983857155,1,1,2
"13","{word_freq_hp=[0.02;3.34],word_freq_labs=[0.01;Inf]} => {class=0}",0.0673587620258331,1,1,33
"14","{word_freq_hp=[1.19;Inf],word_freq_1999=[0.05;Inf]} => {class=0}",0.0668759047985077,1,1,10
"15","{word_freq_hp=[1.5;Inf],word_freq_labs=[-Inf;0.16]} => {class=0}",0.0630130395293236,1,1,1
"16","{word_freq_receive=[-Inf;0.54],word_freq_credit=[-Inf;0.39],word_freq_telnet=[0.09;Inf]} => {class=0}",0.0613230317831039,1,1,14
"17","{word_freq_650=[0.02;Inf],word_freq_labs=[0.13;Inf]} => {class=0}",0.0596330277621746,1,1,1
"18","{word_freq_money=[0.02;Inf],capital_run_length_average=[5.21;Inf]} => {class=1}",0.0562530197203159,1,1,75
"19","{word_freq_85=[0.01;Inf],word_freq_technology=[0.01;Inf]} => {class=0}",0.054804440587759,1,1,5
"20","{word_freq_meeting=[0.46;Inf]} => {class=0}",0.0540801547467709,1,1,108
"21","{word_freq_addresses=[0.01;Inf],'char_freq_\%21'=[0.16;Inf]} => {class=1}",0.0514244325459003,1,1,52
"22","{word_freq_remove=[0;0.19],word_freq_free=[-Inf;0.28],word_freq_original=[0.2;Inf]} => {class=0}",0.0478029921650887,1,1,41
"23","{word_freq_labs=[0.01;Inf],word_freq_1999=[0.05;Inf]} => {class=0}",0.0475615635514259,1,1,3
"24","{word_freq_1999=[0.05;Inf],word_freq_original=[0.1;Inf]} => {class=0}",0.0473201349377632,1,1,6
"25","{word_freq_labs=[0.01;Inf],capital_run_length_total=[-Inf;114]} => {class=0}",0.0473201349377632,1,1,10
"26","{word_freq_000=[0.27;Inf],capital_run_length_total=[511;Inf]} => {class=1}",0.0465958490967751,1,1,31
"27","{word_freq_internet=[-Inf;6.06],word_freq_re=[0.01;Inf],capital_run_length_total=[-Inf;33]} => {class=0}",0.0465958490967751,1,1,117
"28","{word_freq_remove=[0;0.25],word_freq_hp=[0.1;Inf],word_freq_data=[0.06;Inf]} => {class=0}",0.0451472736895084,1,1,14
"29","{word_freq_remove=[0;1.48],word_freq_re=[1.38;Inf],capital_run_length_total=[5;71]} => {class=0}",0.041284404695034,1,1,12
"30","{word_freq_free=[-Inf;0.13],word_freq_project=[0.07;Inf],capital_run_length_average=[-Inf;2.444]} => {class=0}",0.0410429760813713,1,1,56
"31","{word_freq_hpl=[0.04;Inf],word_freq_415=[0.07;Inf]} => {class=0}",0.0403186865150928,1,1,1
