"","rules","support","confidence","orderedConf","orderedSupp"
"1","{CIRCULARITY=[40;50],RADIUS RATIO=[-Inf;174],MAX.LENGTH ASPECT RATIO=[9;13]} => {Class=van}",0.103947371244431,1,1,79
"2","{CIRCULARITY=[38;Inf],DISTANCE CIRCULARITY=[77;Inf],MAX.LENGTH ASPECT RATIO=[9;55],ELONGATEDNESS=[42;Inf]} => {Class=van}",0.0921052619814873,1,1,6
"3","{RADIUS RATIO=[-Inf;170],MAX.LENGTH ASPECT RATIO=[9;13],ELONGATEDNESS=[40;47]} => {Class=van}",0.0907894745469093,1,NA,0
"4","{PR.AXIS ASPECT RATIO=[67;Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7]} => {Class=bus}",0.0894736871123314,1,1,68
"5","{CIRCULARITY=[41;47],SCALED VARIANCE_MINOR=[285;343],SKEWNESS ABOUT_MINOR=[-Inf;16],KURTOSIS ABOUT_MINOR=[-Inf;185]} => {Class=bus}",0.0894736871123314,1,1,62
"6","{DISTANCE CIRCULARITY=[-Inf;74],SCALED RADIUS OF GYRATION=[167;264],SKEWNESS ABOUT_MINOR=[-Inf;10],HOLLOWS RATIO=[-Inf;192]} => {Class=bus}",0.0894736871123314,1,1,4
"7","{MAX.LENGTH ASPECT RATIO=[-Inf;8],SCALED RADIUS OF GYRATION=[179;264],SKEWNESS ABOUT_MAJOR=[74;Inf]} => {Class=bus}",0.085526317358017,1,1,32
"8","{MAX.LENGTH ASPECT RATIO=[-Inf;7],PR.AXIS RECTANGULARITY=[21;29],SKEWNESS ABOUT_MAJOR=[72;Inf]} => {Class=bus}",0.0671052634716034,1,1,5
"9","{MAX.LENGTH ASPECT RATIO=[-Inf;9],SCALED VARIANCE_MAJOR=[176;288],SKEWNESS ABOUT_MAJOR=[75;Inf],SKEWNESS ABOUT_MINOR=[-Inf;14]} => {Class=bus}",0.0671052634716034,1,1,4
"10","{COMPACTNESS=[-Inf;Inf],DISTANCE CIRCULARITY=[-Inf;77],SCATTER RATIO=[-Inf;140],MAX.LENGTH RECTANGULARITY=[137;Inf]} => {Class=van}",0.0657894760370255,1,1,44
