"","rules","support","confidence","orderedConf","orderedSupp"
"1","{RADIUS RATIO=[121;166],MAX.LENGTH ASPECT RATIO=[9;12],SCALED VARIANCE_MAJOR=[166;180]} => {Class=van}",0.081471748650074,1,1,62
"2","{CIRCULARITY=[42;46],SCALED VARIANCE_MINOR=[317;342],SKEWNESS ABOUT_MINOR=[0;10],KURTOSIS ABOUT_MINOR=[178;181]} => {Class=bus}",0.0762155055999756,1,1,58
"3","{CIRCULARITY=[41;47],RADIUS RATIO=[121;166],MAX.LENGTH ASPECT RATIO=[9;12]} => {Class=van}",0.0749014467000961,1,1,12
"4","{DISTANCE CIRCULARITY=[77;92],MAX.LENGTH ASPECT RATIO=[9;12],MAX.LENGTH RECTANGULARITY=[148;170],SCALED VARIANCE_MAJOR=[166;180]} => {Class=van}",0.0722733214497566,1,1,7
"5","{ELONGATEDNESS=[45;46],SCALED VARIANCE_MAJOR=[166;175],SCALED RADIUS OF GYRATION=[171;190],HOLLOWS RATIO=[181;191]} => {Class=bus}",0.0683311447501183,1,1,6
"6","{PR.AXIS ASPECT RATIO=[69;76],MAX.LENGTH ASPECT RATIO=[5;7]} => {Class=bus}",0.0643889605998993,1,1,46
"7","{CIRCULARITY=[41;47],DISTANCE CIRCULARITY=[77;92],MAX.LENGTH ASPECT RATIO=[9;12],SCALED VARIANCE_MAJOR=[166;180]} => {Class=van}",0.0591327212750912,1,1,1
"8","{SCATTER RATIO=[155;163],ELONGATEDNESS=[42;44],MAX.LENGTH RECTANGULARITY=[149;170],SKEWNESS ABOUT_MINOR=[0;11]} => {Class=van}",0.056504599750042,1,1,2
"9","{RADIUS RATIO=[171;226],PR.AXIS ASPECT RATIO=[69;76],KURTOSIS ABOUT_MINOR=[192;202]} => {Class=bus}",0.0551905371248722,1,1,2
"10","{COMPACTNESS=[99;114],MAX.LENGTH ASPECT RATIO=[4;7]} => {Class=bus}",0.0538764782249928,1,1,33
"11","{COMPACTNESS=[88;95],ELONGATEDNESS=[42;44],KURTOSIS ABOUT_MINOR=[182;185]} => {Class=van}",0.0512483566999435,1,1,1
"12","{MAX.LENGTH ASPECT RATIO=[5;7],ELONGATEDNESS=[45;46],SCALED VARIANCE_MAJOR=[166;175],SCALED RADIUS OF GYRATION=[171;189]} => {Class=bus}",0.0512483566999435,1,1,2
"13","{COMPACTNESS=[88;95],SCALED RADIUS OF GYRATION=[171;189],KURTOSIS ABOUT_MINOR=[182;185]} => {Class=van}",0.0473061762750149,1,1,1
"14","{DISTANCE CIRCULARITY=[68;76],RADIUS RATIO=[169;205],PR.AXIS ASPECT RATIO=[69;76]} => {Class=bus}",0.040735874325037,1,1,1
"15","{SCATTER RATIO=[155;161],MAX.LENGTH RECTANGULARITY=[151;170],SKEWNESS ABOUT_MAJOR=[75;135]} => {Class=van}",0.040735874325037,1,1,1
"16","{MAX.LENGTH ASPECT RATIO=[9;12],PR.AXIS RECTANGULARITY=19,HOLLOWS RATIO=[195;207]} => {Class=van}",0.040735874325037,1,1,2
"17","{MAX.LENGTH ASPECT RATIO=[4;7],MAX.LENGTH RECTANGULARITY=[148;170],SKEWNESS ABOUT_MAJOR=[75;88]} => {Class=bus}",0.0394218116998672,1,1,2
"18","{COMPACTNESS=[99;114],HOLLOWS RATIO=[181;191]} => {Class=bus}",0.0381077527999878,1,1,1
"19","{RADIUS RATIO=[169;227],KURTOSIS ABOUT_MAJOR=[0;19],HOLLOWS RATIO=[181;191]} => {Class=bus}",0.0302233900874853,1,1,1
"20","{COMPACTNESS=[88;97],CIRCULARITY=[41;47],SKEWNESS ABOUT_MINOR=[0;11],KURTOSIS ABOUT_MINOR=[182;185]} => {Class=van}",0.0302233900874853,1,1,3
"21","{COMPACTNESS=[78;81],CIRCULARITY=[42;47]} => {Class=bus}",0.0275952685624361,1,1,3
"22","{DISTANCE CIRCULARITY=[53;64],SCATTER RATIO=[118;136],MAX.LENGTH RECTANGULARITY=[136;145]} => {Class=van}",0.0275952685624361,1,1,18
"23","{CIRCULARITY=[36;40],SCATTER RATIO=[118;140],MAX.LENGTH RECTANGULARITY=[136;145],SKEWNESS ABOUT_MINOR=[0;11]} => {Class=van}",0.0275952685624361,1,1,12
"24","{SCALED VARIANCE_MAJOR=[221;241],SCALED VARIANCE_MINOR=[722;757]} => {Class=opel}",0.0262812096625566,1,1,20
"25","{SCATTER RATIO=[123;140],MAX.LENGTH RECTANGULARITY=[137;146],SKEWNESS ABOUT_MAJOR=[75;99]} => {Class=van}",0.024967148900032,1,1,3
"26","{DISTANCE CIRCULARITY=[68;76],RADIUS RATIO=[169;205],SCALED RADIUS OF GYRATION=[171;192]} => {Class=bus}",0.024967148900032,1,1,3
"27","{COMPACTNESS=[88;98],SCATTER RATIO=[123;140],MAX.LENGTH RECTANGULARITY=[137;146],HOLLOWS RATIO=[182;190]} => {Class=van}",0.024967148900032,1,1,1
"28","{COMPACTNESS=[88;94],CIRCULARITY=[43;47],MAX.LENGTH RECTANGULARITY=[149;163],SKEWNESS ABOUT_MAJOR=[75;135]} => {Class=van}",0.024967148900032,1,1,1
"29","{DISTANCE CIRCULARITY=[66;76],ELONGATEDNESS=[42;44],MAX.LENGTH RECTANGULARITY=[138;147],SKEWNESS ABOUT_MAJOR=[75;84]} => {Class=bus}",0.0236530881375074,1,1,7
"30","{RADIUS RATIO=[169;188],MAX.LENGTH ASPECT RATIO=[6;7],ELONGATEDNESS=[42;44],KURTOSIS ABOUT_MAJOR=[0;18]} => {Class=bus}",0.0236530881375074,1,1,3
"31","{MAX.LENGTH ASPECT RATIO=[9;10],SCALED VARIANCE_MAJOR=[153;164],KURTOSIS ABOUT_MAJOR=[0;14]} => {Class=van}",0.0223390273749828,1,1,4
"32","{DISTANCE CIRCULARITY=[78;91],MAX.LENGTH RECTANGULARITY=[148;160],SCALED VARIANCE_MINOR=[300;349]} => {Class=van}",0.0223390273749828,1,1,1
"33","{PR.AXIS ASPECT RATIO=[48;52],SCATTER RATIO=[118;140]} => {Class=van}",0.0210249666124582,1,1,3
"34","{DISTANCE CIRCULARITY=[66;76],ELONGATEDNESS=[43;44],MAX.LENGTH RECTANGULARITY=[142;147],HOLLOWS RATIO=[184;191]} => {Class=bus}",0.0210249666124582,1,1,2
"35","{RADIUS RATIO=[140;167],MAX.LENGTH RECTANGULARITY=[148;157],SCALED VARIANCE_MINOR=[300;349],HOLLOWS RATIO=[193;207]} => {Class=van}",0.0210249666124582,1,1,1
"36","{DISTANCE CIRCULARITY=[58;64],SCATTER RATIO=[116;136],SKEWNESS ABOUT_MINOR=[1;10],HOLLOWS RATIO=[194;210]} => {Class=van}",0.0210249666124582,1,1,8
"37","{MAX.LENGTH ASPECT RATIO=[4;6],PR.AXIS RECTANGULARITY=[22;25],SKEWNESS ABOUT_MAJOR=[75;83]} => {Class=bus}",0.0197109058499336,1,1,1
"38","{DISTANCE CIRCULARITY=[58;64],SCATTER RATIO=[116;136],SKEWNESS ABOUT_MINOR=[1;10],KURTOSIS ABOUT_MINOR=[192;203]} => {Class=van}",0.0197109058499336,1,NA,0
"39","{COMPACTNESS=[88;98],CIRCULARITY=[35;40],MAX.LENGTH ASPECT RATIO=8,SCATTER RATIO=[127;140]} => {Class=van}",0.0197109058499336,1,1,5
"40","{RADIUS RATIO=[169;188],MAX.LENGTH ASPECT RATIO=[6;7],SCALED VARIANCE_MINOR=[310;350],SKEWNESS ABOUT_MAJOR=[65;72]} => {Class=bus}",0.0183968469500542,1,1,2
"41","{COMPACTNESS=[88;93],DISTANCE CIRCULARITY=[58;64],SCATTER RATIO=[114;136],HOLLOWS RATIO=[194;210]} => {Class=van}",0.0183968469500542,1,1,1
"42","{SCATTER RATIO=[203;222],MAX.LENGTH RECTANGULARITY=[151;170],SKEWNESS ABOUT_MINOR=[13;22],KURTOSIS ABOUT_MAJOR=[21;38]} => {Class=saab}",0.0183968469500542,1,1,14
"43","{COMPACTNESS=[73;81],PR.AXIS ASPECT RATIO=[53;59],ELONGATEDNESS=[47;59]} => {Class=opel}",0.0170827861875296,1,1,13
"44","{CIRCULARITY=[35;40],MAX.LENGTH ASPECT RATIO=8,PR.AXIS RECTANGULARITY=[17;18],HOLLOWS RATIO=[192;210]} => {Class=van}",0.0170827861875296,1,1,2
"45","{DISTANCE CIRCULARITY=[70;76],MAX.LENGTH ASPECT RATIO=[5;7],SCALED VARIANCE_MINOR=[393;487],SKEWNESS ABOUT_MAJOR=[68;72]} => {Class=bus}",0.0170827861875296,1,1,1
"46","{COMPACTNESS=[89;98],SCATTER RATIO=[114;137],KURTOSIS ABOUT_MAJOR=[0;13],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=van}",0.0170827861875296,1,1,2
"47","{COMPACTNESS=[103;117],CIRCULARITY=[52;54],SKEWNESS ABOUT_MINOR=[12;22],KURTOSIS ABOUT_MAJOR=[21;38]} => {Class=saab}",0.015768725425005,1,1,2
"48","{SCATTER RATIO=[123;139],MAX.LENGTH RECTANGULARITY=[137;146],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=van}",0.0144546646624804,1,NA,0
"49","{MAX.LENGTH ASPECT RATIO=[5;7],PR.AXIS RECTANGULARITY=19,MAX.LENGTH RECTANGULARITY=[136;147],SCALED VARIANCE_MINOR=[352;375]} => {Class=bus}",0.0144546646624804,1,1,2
"50","{MAX.LENGTH ASPECT RATIO=[5;6],SCATTER RATIO=[164;192],SCALED RADIUS OF GYRATION=[129;163],KURTOSIS ABOUT_MAJOR=[3;19]} => {Class=bus}",0.0144546646624804,1,1,2
"51","{COMPACTNESS=[84;87],SCATTER RATIO=[116;138],SKEWNESS ABOUT_MINOR=[0;11],KURTOSIS ABOUT_MINOR=[192;202]} => {Class=van}",0.0144546646624804,1,1,1
"52","{RADIUS RATIO=[171;209],SCALED RADIUS OF GYRATION=[115;169],SKEWNESS ABOUT_MAJOR=[59;64],KURTOSIS ABOUT_MAJOR=[5;19]} => {Class=saab}",0.0144546646624804,1,1,11
"53","{COMPACTNESS=[89;93],DISTANCE CIRCULARITY=[77;89],MAX.LENGTH RECTANGULARITY=[129;134],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=saab}",0.0144546646624804,1,1,11
"54","{COMPACTNESS=[95;98],MAX.LENGTH RECTANGULARITY=[172;186]} => {Class=opel}",0.0131406048312783,1,1,6
"55","{COMPACTNESS=[82;87],CIRCULARITY=[41;43],SCALED RADIUS OF GYRATION=[155;168],SKEWNESS ABOUT_MAJOR=[75;86]} => {Class=bus}",0.0131406048312783,1,1,3
"56","{COMPACTNESS=[104;110],CIRCULARITY=[52;54],MAX.LENGTH RECTANGULARITY=[171;175],SCALED VARIANCE_MINOR=[669;721]} => {Class=saab}",0.0131406048312783,1,1,8
"57","{SCALED VARIANCE_MAJOR=[184;192],SKEWNESS ABOUT_MAJOR=[59;64],KURTOSIS ABOUT_MAJOR=[5;19]} => {Class=saab}",0.0118265440687537,1,1,3
"58","{MAX.LENGTH ASPECT RATIO=[9;10],SCALED VARIANCE_MAJOR=[184;192],KURTOSIS ABOUT_MAJOR=[2;19]} => {Class=saab}",0.0118265440687537,1,1,1
"59","{DISTANCE CIRCULARITY=[68;76],MAX.LENGTH ASPECT RATIO=[5;7],SCATTER RATIO=[155;158],PR.AXIS RECTANGULARITY=19} => {Class=bus}",0.0118265440687537,1,1,1
"60","{COMPACTNESS=[83;87],CIRCULARITY=[41;44],ELONGATEDNESS=[45;46],SCALED RADIUS OF GYRATION=[152;170]} => {Class=bus}",0.0118265440687537,1,1,2
"61","{PR.AXIS ASPECT RATIO=[55;68],PR.AXIS RECTANGULARITY=[17;18],MAX.LENGTH RECTANGULARITY=[137;146],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=van}",0.0118265440687537,1,1,1
"62","{CIRCULARITY=[37;40],DISTANCE CIRCULARITY=[80;89],RADIUS RATIO=[169;191],KURTOSIS ABOUT_MAJOR=[9;19]} => {Class=saab}",0.0118265440687537,1,1,1
"63","{CIRCULARITY=[41;45],SCATTER RATIO=[123;140],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=van}",0.0105124833062291,1,1,1
"64","{MAX.LENGTH ASPECT RATIO=[10;11],ELONGATEDNESS=[30;31],SKEWNESS ABOUT_MAJOR=[75;76]} => {Class=opel}",0.0105124833062291,1,1,3
"65","{COMPACTNESS=[95;98],SCATTER RATIO=[200;216],KURTOSIS ABOUT_MAJOR=[2;9]} => {Class=opel}",0.0105124833062291,1,1,5
"66","{MAX.LENGTH ASPECT RATIO=8,SCATTER RATIO=[128;140],SKEWNESS ABOUT_MAJOR=[65;73],HOLLOWS RATIO=[192;204]} => {Class=van}",0.0105124833062291,1,1,1
"67","{MAX.LENGTH RECTANGULARITY=[130;134],SCALED VARIANCE_MINOR=[299;339],SKEWNESS ABOUT_MINOR=[1;9],HOLLOWS RATIO=[185;191]} => {Class=saab}",0.0105124833062291,1,1,8
"68","{RADIUS RATIO=[115;153],MAX.LENGTH ASPECT RATIO=[5;7],SCATTER RATIO=[141;150],SCALED VARIANCE_MAJOR=[162;165]} => {Class=saab}",0.0105124833062291,1,1,5
"69","{CIRCULARITY=[41;46],ELONGATEDNESS=[45;46],SKEWNESS ABOUT_MINOR=[0;10],HOLLOWS RATIO=[181;191]} => {Class=bus}",0.0840998664498329,0.984615385532379,1,1
"70","{COMPACTNESS=[82;87],MAX.LENGTH ASPECT RATIO=[5;7],SCALED VARIANCE_MAJOR=[166;180],SCALED RADIUS OF GYRATION=[171;190]} => {Class=bus}",0.0512483566999435,0.975000023841858,0.5,1
"71","{COMPACTNESS=[82;87],CIRCULARITY=[41;47],DISTANCE CIRCULARITY=[65;76],PR.AXIS RECTANGULARITY=19} => {Class=bus}",0.0788436233997345,0.967741906642914,0.5,1
"72","{DISTANCE CIRCULARITY=[65;76],ELONGATEDNESS=[45;46],MAX.LENGTH RECTANGULARITY=[139;147],SKEWNESS ABOUT_MINOR=[0;11]} => {Class=bus}",0.077529564499855,0.967213094234467,1,2
"73","{DISTANCE CIRCULARITY=[65;76],MAX.LENGTH RECTANGULARITY=[136;147],SCALED VARIANCE_MINOR=[299;350],SKEWNESS ABOUT_MINOR=[0;11]} => {Class=bus}",0.109067015349865,0.965116262435913,0.5,1
"74","{COMPACTNESS=[103;119],CIRCULARITY=[51;54],SCALED VARIANCE_MINOR=[608;712],SKEWNESS ABOUT_MINOR=[12;22]} => {Class=saab}",0.0302233900874853,0.958333313465118,0.9,9
