"","rules","support","confidence","orderedConf","orderedSupp"
"1","{CIRCULARITY=[42;Inf],MAX.LENGTH ASPECT RATIO=[-Inf;8],ELONGATEDNESS=[26;48],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.141918525099754,1,1,108
"2","{RADIUS RATIO=[-Inf;174],MAX.LENGTH ASPECT RATIO=[9;19],SCALED VARIANCE_MAJOR=[146;216],HOLLOWS RATIO=[190;207]} => {Class=van}",0.113009199500084,1,1,86
"3","{CIRCULARITY=[42;47],SCALED VARIANCE_MINOR=[283;344],SKEWNESS ABOUT_MINOR=[-Inf;12],KURTOSIS ABOUT_MINOR=[176;186]} => {Class=bus}",0.0959264114499092,1,1,9
"4","{CIRCULARITY=[38;Inf],DISTANCE CIRCULARITY=[77;Inf],MAX.LENGTH ASPECT RATIO=[9;55],SCALED VARIANCE_MAJOR=[-Inf;183]} => {Class=van}",0.0906701683998108,1,1,2
"5","{PR.AXIS ASPECT RATIO=[67;138],MAX.LENGTH ASPECT RATIO=[-Inf;7]} => {Class=bus}",0.0867279917001724,1,1,54
"6","{MAX.LENGTH ASPECT RATIO=[-Inf;8],SCALED RADIUS OF GYRATION=[179;268],SKEWNESS ABOUT_MAJOR=[74;Inf]} => {Class=bus}",0.081471748650074,1,1,2
"7","{COMPACTNESS=[86;99],RADIUS RATIO=[-Inf;167],MAX.LENGTH ASPECT RATIO=[9;55],SKEWNESS ABOUT_MAJOR=[-Inf;75]} => {Class=van}",0.077529564499855,1,1,1
"8","{CIRCULARITY=[39;Inf],DISTANCE CIRCULARITY=[77;Inf],ELONGATEDNESS=[43;46],HOLLOWS RATIO=[194;207]} => {Class=van}",0.0735873878002167,1,1,6
"9","{MAX.LENGTH RECTANGULARITY=[147;Inf],SCALED VARIANCE_MAJOR=[-Inf;179],SCALED RADIUS OF GYRATION=[170;189],KURTOSIS ABOUT_MINOR=[182;199]} => {Class=van}",0.0722733214497566,1,1,3
"10","{PR.AXIS ASPECT RATIO=[68;138],KURTOSIS ABOUT_MINOR=[194;Inf]} => {Class=bus}",0.0578186586499214,1,1,1
"11","{COMPACTNESS=[88;Inf],CIRCULARITY=[40;51],SKEWNESS ABOUT_MINOR=[-Inf;16],KURTOSIS ABOUT_MINOR=[181;185]} => {Class=van}",0.0578186586499214,1,1,6
"12","{COMPACTNESS=[99;Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7]} => {Class=bus}",0.0551905371248722,1,1,1
"13","{COMPACTNESS=[85;101],CIRCULARITY=[43;51],SKEWNESS ABOUT_MAJOR=[75;Inf],HOLLOWS RATIO=[191;Inf]} => {Class=van}",0.0459921173751354,1,1,1
"14","{MAX.LENGTH ASPECT RATIO=[8;55],SCALED VARIANCE_MAJOR=[-Inf;164],KURTOSIS ABOUT_MAJOR=[-Inf;17],HOLLOWS RATIO=[187;Inf]} => {Class=van}",0.0459921173751354,1,1,17
"15","{MAX.LENGTH ASPECT RATIO=[-Inf;7],MAX.LENGTH RECTANGULARITY=[157;Inf]} => {Class=bus}",0.0446780547499657,1,1,1
"16","{DISTANCE CIRCULARITY=[-Inf;77],SCATTER RATIO=[-Inf;140],MAX.LENGTH RECTANGULARITY=[136;Inf],KURTOSIS ABOUT_MINOR=[184;197]} => {Class=van}",0.0433639958500862,1,1,16
"17","{COMPACTNESS=[88;Inf],MAX.LENGTH ASPECT RATIO=[8;55],PR.AXIS RECTANGULARITY=[-Inf;18],SCALED VARIANCE_MAJOR=[-Inf;164]} => {Class=van}",0.040735874325037,1,1,2
"18","{RADIUS RATIO=[184;333],MAX.LENGTH ASPECT RATIO=[-Inf;7],MAX.LENGTH RECTANGULARITY=[-Inf;150],SKEWNESS ABOUT_MINOR=[-Inf;10]} => {Class=bus}",0.0381077527999878,1,1,1
"19","{DISTANCE CIRCULARITY=[-Inf;79],RADIUS RATIO=[168;333],SCALED VARIANCE_MAJOR=[-Inf;180],SKEWNESS ABOUT_MAJOR=[64;Inf]} => {Class=bus}",0.0367936939001083,1,1,3
"20","{MAX.LENGTH ASPECT RATIO=[-Inf;7],SCALED VARIANCE_MAJOR=[179;Inf],SCALED RADIUS OF GYRATION=[-Inf;177],KURTOSIS ABOUT_MINOR=[193;Inf]} => {Class=bus}",0.0341655723750591,1,1,2
"21","{CIRCULARITY=[-Inf;40],SCATTER RATIO=[-Inf;141],MAX.LENGTH RECTANGULARITY=[136;Inf],SKEWNESS ABOUT_MINOR=[-Inf;15]} => {Class=van}",0.0315374508500099,1,1,6
"22","{PR.AXIS RECTANGULARITY=[19;29],MAX.LENGTH RECTANGULARITY=[138;150],SKEWNESS ABOUT_MAJOR=[75;79],KURTOSIS ABOUT_MINOR=[176;Inf]} => {Class=bus}",0.0315374508500099,1,1,1
