"","rules","support","confidence","orderedConf","orderedSupp"
"1","{CIRCULARITY=[41;49],RADIUS RATIO=[-Inf;170],MAX.LENGTH ASPECT RATIO=[9;13]} => {Class=van}",0.0972404703497887,1,1,74
"2","{RADIUS RATIO=[-Inf;170],MAX.LENGTH ASPECT RATIO=[9;13],SCALED VARIANCE_MAJOR=[166;180]} => {Class=van}",0.0827858075499535,1,1,4
"3","{CIRCULARITY=[41;49],DISTANCE CIRCULARITY=[77;92],MAX.LENGTH ASPECT RATIO=[9;13],SCALED VARIANCE_MAJOR=[166;180]} => {Class=van}",0.0735873878002167,1,1,5
"4","{CIRCULARITY=[41;49],SCALED VARIANCE_MINOR=[299;347],SKEWNESS ABOUT_MINOR=[-Inf;11],KURTOSIS ABOUT_MINOR=[-Inf;181]} => {Class=bus}",0.0670170858502388,1,1,51
"5","{PR.AXIS ASPECT RATIO=[69;76],MAX.LENGTH ASPECT RATIO=[-Inf;7]} => {Class=bus}",0.0657030194997787,1,1,48
"6","{DISTANCE CIRCULARITY=[64;76],SCALED VARIANCE_MAJOR=[166;180],SCALED RADIUS OF GYRATION=[171;192],HOLLOWS RATIO=[-Inf;189]} => {Class=bus}",0.0657030194997787,1,1,7
"7","{COMPACTNESS=[99;Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7]} => {Class=bus}",0.0630749017000198,1,1,40
"8","{ELONGATEDNESS=[45;46],SCALED VARIANCE_MAJOR=[166;180],SCALED RADIUS OF GYRATION=[171;192],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.0604467801749706,1,1,1
"9","{MAX.LENGTH RECTANGULARITY=[148;171],KURTOSIS ABOUT_MINOR=[182;185],HOLLOWS RATIO=[190;Inf]} => {Class=van}",0.056504599750042,1,1,3
"10","{RADIUS RATIO=[171;234],PR.AXIS ASPECT RATIO=[69;76],KURTOSIS ABOUT_MINOR=[192;Inf]} => {Class=bus}",0.0551905371248722,1,1,2
"11","{MAX.LENGTH ASPECT RATIO=[-Inf;7],MAX.LENGTH RECTANGULARITY=[148;171],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.0525624193251133,1,1,2
"12","{MAX.LENGTH ASPECT RATIO=[-Inf;7],ELONGATEDNESS=[45;46],SCALED VARIANCE_MAJOR=[166;180],SCALED RADIUS OF GYRATION=[171;192]} => {Class=bus}",0.0486202351748943,1,1,2
"13","{COMPACTNESS=[88;98],CIRCULARITY=[41;49],SKEWNESS ABOUT_MINOR=[-Inf;11],KURTOSIS ABOUT_MINOR=[182;185]} => {Class=van}",0.0486202351748943,1,1,4
"14","{MAX.LENGTH ASPECT RATIO=[9;13],PR.AXIS RECTANGULARITY=19,HOLLOWS RATIO=[190;Inf]} => {Class=van}",0.0459921173751354,1,1,2
"15","{ELONGATEDNESS=[42;44],MAX.LENGTH RECTANGULARITY=[148;171],SKEWNESS ABOUT_MAJOR=[75;Inf],HOLLOWS RATIO=[190;Inf]} => {Class=van}",0.0446780547499657,1,1,1
"16","{COMPACTNESS=[99;Inf],HOLLOWS RATIO=[-Inf;189]} => {Class=bus}",0.0420499332249165,1,1,1
"17","{MAX.LENGTH ASPECT RATIO=[-Inf;7],SCATTER RATIO=[164;227],KURTOSIS ABOUT_MAJOR=[-Inf;17],KURTOSIS ABOUT_MINOR=[192;Inf]} => {Class=bus}",0.0394218116998672,1,1,6
"18","{DISTANCE CIRCULARITY=[64;76],RADIUS RATIO=[171;234],PR.AXIS ASPECT RATIO=[69;76]} => {Class=bus}",0.0354796312749386,1,1,1
"19","{DISTANCE CIRCULARITY=[64;76],RADIUS RATIO=[171;234],MAX.LENGTH ASPECT RATIO=[-Inf;7],KURTOSIS ABOUT_MAJOR=[-Inf;17]} => {Class=bus}",0.0354796312749386,1,1,3
"20","{RADIUS RATIO=[-Inf;170],MAX.LENGTH ASPECT RATIO=[9;13],KURTOSIS ABOUT_MINOR=[192;Inf]} => {Class=van}",0.0315374508500099,1,1,4
"21","{RADIUS RATIO=[-Inf;170],MAX.LENGTH ASPECT RATIO=[9;13],MAX.LENGTH RECTANGULARITY=[135;147],HOLLOWS RATIO=[190;Inf]} => {Class=van}",0.0302233900874853,1,1,1
"22","{MAX.LENGTH ASPECT RATIO=[9;13],SCALED VARIANCE_MINOR=[722;757]} => {Class=opel}",0.0289093293249607,1,1,22
"23","{MAX.LENGTH ASPECT RATIO=[-Inf;7],SCALED RADIUS OF GYRATION=[193;241],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.0289093293249607,1,1,1
"24","{SCATTER RATIO=[-Inf;140],MAX.LENGTH RECTANGULARITY=[135;147],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=van}",0.024967148900032,1,1,15
"25","{CIRCULARITY=[41;49],MAX.LENGTH ASPECT RATIO=[-Inf;7],PR.AXIS RECTANGULARITY=[21;25],KURTOSIS ABOUT_MINOR=[192;Inf]} => {Class=bus}",0.024967148900032,1,1,1
"26","{DISTANCE CIRCULARITY=[64;76],RADIUS RATIO=[171;234],SCALED VARIANCE_MAJOR=[166;180],SKEWNESS ABOUT_MAJOR=[65;74]} => {Class=bus}",0.0236530881375074,1,1,1
"27","{DISTANCE CIRCULARITY=[64;76],MAX.LENGTH ASPECT RATIO=[-Inf;7],ELONGATEDNESS=[30;41],KURTOSIS ABOUT_MINOR=[192;Inf]} => {Class=bus}",0.0236530881375074,1,1,1
"28","{COMPACTNESS=[88;98],SCATTER RATIO=[-Inf;140],MAX.LENGTH RECTANGULARITY=[135;147],HOLLOWS RATIO=[-Inf;189]} => {Class=van}",0.0223390273749828,1,1,3
"29","{MAX.LENGTH ASPECT RATIO=[-Inf;7],SCALED VARIANCE_MAJOR=[181;241],SKEWNESS ABOUT_MAJOR=[75;Inf],SKEWNESS ABOUT_MINOR=[-Inf;11]} => {Class=bus}",0.0223390273749828,1,1,3
"30","{MAX.LENGTH RECTANGULARITY=[148;171],SCALED VARIANCE_MINOR=[299;347],HOLLOWS RATIO=[190;Inf]} => {Class=van}",0.0210249666124582,1,1,4
"31","{COMPACTNESS=[88;98],CIRCULARITY=[-Inf;40],MAX.LENGTH ASPECT RATIO=8,SCATTER RATIO=[-Inf;140]} => {Class=van}",0.0210249666124582,1,1,12
"32","{DISTANCE CIRCULARITY=[64;76],ELONGATEDNESS=[42;44],MAX.LENGTH RECTANGULARITY=[135;147],SKEWNESS ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.0210249666124582,1,1,3
"33","{DISTANCE CIRCULARITY=[64;76],SCATTER RATIO=[-Inf;140],MAX.LENGTH RECTANGULARITY=[135;147],KURTOSIS ABOUT_MINOR=[186;191]} => {Class=van}",0.0210249666124582,1,1,5
