"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Feature 1=[-Inf;-0.137]} => {Class=hid}",0.0471380464732647,1,1,42
"2","{Feature 0=[-2.318;-1.672],Feature 1=[1.34;2.172],Feature 4=[-0.734;0.385]} => {Class=hAd}",0.030303031206131,1,1,27
"3","{Feature 0=[-2.318;-1.672],Feature 1=[1.34;2.172],Feature 7=[-0.592;0.076]} => {Class=hAd}",0.0269360262900591,1,1,6
"4","{Feature 0=[-Inf;-4.676],Feature 2=[-Inf;0.471]} => {Class=hud}",0.0246913582086563,1,1,22
"5","{Feature 0=[-3.52;-3.019],Feature 1=[2.796;3.176],Feature 7=[0.077;Inf]} => {Class=hOd}",0.0213243551552296,1,1,19
"6","{Feature 1=[3.177;Inf],Feature 4=[-Inf;-1.183],Feature 6=[-0.658;0.479]} => {Class=hod}",0.0202020201832056,1,1,18
"7","{Sex=Male,Feature 0=[-Inf;-4.676]} => {Class=hud}",0.0190796852111816,1,1,4
"8","{Feature 0=[-4.261;-3.53],Feature 3=[-Inf;0.147],Feature 4=[-Inf;-1.183]} => {Class=hod}",0.0179573521018028,1,1,3
"9","{Feature 0=[-2.318;-1.672],Feature 1=[1.34;2.172],Feature 3=[0.151;0.828]} => {Class=hAd}",0.0157126821577549,1,1,1
"10","{Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 6=[-0.658;0.479],Feature 8=[0.123;Inf]} => {Class=hod}",0.0157126821577549,1,1,2
"11","{Feature 0=[-4.261;-3.53],Feature 1=[-0.11;0.418]} => {Class=hid}",0.0145903481170535,1,1,13
"12","{Feature 0=[-Inf;-4.676],Feature 3=[-Inf;0.147]} => {Class=hud}",0.0134680131450295,1,1,6
"13","{Sex=Female,Feature 0=[-Inf;-4.676],Feature 3=[0.83;Inf]} => {Class=hid}",0.0134680131450295,1,1,12
"14","{Sex=Male,Feature 0=[-4.661;-4.264],Feature 4=[-0.734;0.385]} => {Class=hud}",0.0134680131450295,1,1,12
"15","{Feature 1=[2.796;3.176],Feature 3=[-Inf;0.147],Feature 6=[0.48;Inf],Feature 8=[-Inf;0.121]} => {Class=hOd}",0.0134680131450295,1,1,6
"16","{Feature 0=[-4.261;-3.53],Feature 1=[2.178;2.792],Feature 3=[-Inf;0.147],Feature 7=[0.077;Inf]} => {Class=hUd}",0.0134680131450295,1,1,12
"17","{Feature 2=[0.474;1.085],Feature 4=[0.386;Inf],Feature 7=[0.077;Inf]} => {Class=hud}",0.0123456791043282,1,1,6
"18","{Feature 0=[-3.52;-3.019],Feature 1=[0.431;1.329],Feature 5=[1.453;Inf]} => {Class=hId}",0.0123456791043282,1,1,11
"19","{Feature 1=[0.431;1.329],Feature 3=[0.151;0.828],Feature 4=[0.386;Inf]} => {Class=hEd}",0.0123456791043282,1,1,11
"20","{Feature 0=[-2.318;-1.672],Feature 3=[0.151;0.828],Feature 7=[-0.592;0.076]} => {Class=hAd}",0.0123456791043282,1,1,1
"21","{Feature 0=[-3.52;-3.019],Feature 1=[2.178;2.792],Feature 4=[-0.734;0.385],Feature 6=[-0.658;0.479]} => {Class=hed}",0.0123456791043282,1,1,11
"22","{Feature 1=[-0.11;0.418],Feature 8=[0.123;Inf]} => {Class=hId}",0.0112233441323042,1,1,10
"23","{Feature 4=[0.386;Inf],Feature 6=[-Inf;-0.663],Feature 7=[-Inf;-0.602]} => {Class=hid}",0.0112233441323042,1,1,1
"24","{Feature 0=[-3.018;-2.321],Feature 4=[-1.17;-0.735],Feature 6=[0.48;Inf]} => {Class=hYd}",0.0112233441323042,1,1,10
"25","{Feature 0=[-3.52;-3.019],Feature 3=[-Inf;0.147],Feature 4=[-1.17;-0.735],Feature 6=[-0.658;0.479]} => {Class=hOd}",0.0112233441323042,1,1,4
"26","{Sex=Female,Feature 0=[-3.52;-3.019],Feature 1=[2.178;2.792],Feature 3=[0.151;0.828]} => {Class=hed}",0.0112233441323042,1,1,3
"27","{Feature 2=[1.087;Inf],Feature 8=[-Inf;0.121]} => {Class=hid}",0.0101010100916028,1,1,1
"28","{Feature 0=[-1.657;Inf],Feature 1=[-0.11;0.418]} => {Class=hId}",0.0101010100916028,1,1,2
"29","{Feature 0=[-4.661;-4.264],Feature 1=[2.178;2.792]} => {Class=hud}",0.0101010100916028,1,1,3
"30","{Feature 1=[-0.11;0.418],Feature 3=[0.151;0.828],Feature 7=[0.077;Inf]} => {Class=hId}",0.0101010100916028,1,1,7
"31","{Feature 1=[2.178;2.792],Feature 3=[0.83;Inf],Feature 4=[0.386;Inf]} => {Class=hud}",0.0101010100916028,1,1,9
"32","{Sex=Male,Feature 0=[-2.318;-1.672],Feature 1=[0.431;1.329],Feature 8=[-Inf;0.121]} => {Class=hEd}",0.0280583612620831,0.961538434028625,0.956521739130435,22
"33","{Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 4=[-Inf;-1.183]} => {Class=hod}",0.0258136931806803,0.958333313465118,0.75,3
"34","{Feature 1=[2.796;3.176],Feature 3=[-Inf;0.147],Feature 6=[0.48;Inf]} => {Class=hOd}",0.0179573521018028,0.941176474094391,0.5,1
"35","{Feature 0=[-4.261;-3.53],Feature 1=[2.178;2.792],Feature 4=[-0.734;0.385],Feature 7=[0.077;Inf]} => {Class=hUd}",0.0157126821577549,0.933333337306976,0.8,4
"36","{Feature 6=[-Inf;-0.663],Feature 7=[-Inf;-0.602]} => {Class=hid}",0.0134680131450295,0.923076927661896,0.5,1
"37","{Feature 0=[-3.52;-3.019],Feature 3=[0.151;0.828],Feature 4=[-0.734;0.385],Feature 7=[0.077;Inf]} => {Class=hed}",0.0123456791043282,0.916666686534882,0.833333333333333,5
"38","{Feature 0=[-4.261;-3.53],Feature 2=[-Inf;0.471],Feature 6=[-Inf;-0.663],Feature 7=[-0.592;0.076]} => {Class=hud}",0.0112233441323042,0.909090936183929,0.666666666666667,2
"39","{Feature 0=[-2.318;-1.672],Feature 1=[0.431;1.329],Feature 8=[-Inf;0.121]} => {Class=hEd}",0.030303031206131,0.899999976158142,0.666666666666667,2
"40","{Feature 0=[-4.261;-3.53],Feature 4=[-Inf;-1.183],Feature 6=[-0.658;0.479]} => {Class=hod}",0.030303031206131,0.899999976158142,0.727272727272727,8
"41","{Feature 4=[0.386;Inf],Feature 7=[-Inf;-0.602]} => {Class=hid}",0.0202020201832056,0.899999976158142,0.333333333333333,1
"42","{Feature 0=[-3.52;-3.019],Feature 1=[0.431;1.329],Feature 2=[-Inf;0.471],Feature 3=[0.83;Inf]} => {Class=hId}",0.0202020201832056,0.899999976158142,0.777777777777778,7
"43","{Feature 0=[-4.661;-4.264],Feature 2=[-Inf;0.471],Feature 3=[0.151;0.828]} => {Class=hud}",0.0101010100916028,0.899999976158142,0.5,1
"44","{Feature 0=[-3.52;-3.019],Feature 1=[0.431;1.329],Feature 3=[0.83;Inf],Feature 4=[0.386;Inf]} => {Class=hId}",0.0101010100916028,0.899999976158142,1,1
"45","{Sex=Female,Feature 0=[-3.018;-2.321],Feature 3=[-Inf;0.147],Feature 4=[-1.17;-0.735]} => {Class=hYd}",0.0101010100916028,0.899999976158142,0.5,1
"46","{Feature 0=[-3.018;-2.321],Feature 1=[2.178;2.792],Feature 4=[-0.734;0.385],Feature 7=[-0.592;0.076]} => {Class=had}",0.0101010100916028,0.899999976158142,0.9,9
"47","{Sex=Male,Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 3=[0.151;0.828]} => {Class=hUd}",0.0101010100916028,0.899999976158142,0.888888888888889,8
"48","{Feature 0=[-4.261;-3.53],Feature 1=[1.34;2.172],Feature 4=[-1.17;-0.735],Feature 8=[0.123;Inf]} => {Class=hUd}",0.0101010100916028,0.899999976158142,0.9,9
"49","{Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 3=[-Inf;0.147],Feature 6=[-0.658;0.479]} => {Class=hod}",0.029180696234107,0.896551728248596,0.785714285714286,11
"50","{Sex=Male,Feature 0=[-3.52;-3.019],Feature 3=[-Inf;0.147],Feature 7=[0.077;Inf]} => {Class=hOd}",0.0179573521018028,0.888888895511627,0.5,2
"51","{Feature 0=[-3.52;-3.019],Feature 3=[-Inf;0.147],Feature 6=[-0.658;0.479],Feature 7=[0.077;Inf]} => {Class=hOd}",0.0179573521018028,0.888888895511627,1,1
"52","{Feature 0=[-3.52;-3.019],Feature 4=[-0.734;0.385],Feature 6=[0.48;Inf]} => {Class=hOd}",0.0157126821577549,0.875,0.6,3
"53","{Sex=Female,Feature 0=[-3.018;-2.321],Feature 1=[0.431;1.329],Feature 3=[0.83;Inf]} => {Class=hEd}",0.0157126821577549,0.875,0.875,14
"54","{Sex=Male,Feature 0=[-4.261;-3.53],Feature 3=[-Inf;0.147],Feature 8=[0.123;Inf]} => {Class=hod}",0.0145903481170535,0.866666674613953,0.5,1
"55","{Feature 0=[-3.018;-2.321],Feature 3=[-Inf;0.147],Feature 4=[-1.17;-0.735]} => {Class=hYd}",0.0213243551552296,0.863636374473572,0.818181818181818,9
"56","{Feature 0=[-4.261;-3.53],Feature 4=[-Inf;-1.183]} => {Class=hod}",0.04152637347579,0.860465109348297,0.714285714285714,5
"57","{Feature 0=[-2.318;-1.672],Feature 7=[-0.592;0.076]} => {Class=hAd}",0.0336700342595577,0.857142865657806,0.571428571428571,4
"58","{Sex=Male,Feature 1=[1.34;2.172],Feature 3=[-Inf;0.147],Feature 8=[-Inf;0.121]} => {Class=hAd}",0.0202020201832056,0.857142865657806,0.5,3
"59","{Feature 0=[-3.018;-2.321],Feature 4=[-1.17;-0.735],Feature 7=[-0.592;0.076]} => {Class=hYd}",0.0134680131450295,0.857142865657806,0.777777777777778,7
"60","{Feature 0=[-3.018;-2.321],Feature 6=[-0.658;0.479],Feature 7=[-0.592;0.076],Feature 8=[0.123;Inf]} => {Class=had}",0.0134680131450295,0.857142865657806,0.818181818181818,9
"61","{Feature 0=[-4.261;-3.53],Feature 3=[0.151;0.828],Feature 6=[-0.658;0.479],Feature 8=[0.123;Inf]} => {Class=hUd}",0.0134680131450295,0.857142865657806,0.5,2
"62","{Feature 0=[-4.261;-3.53],Feature 1=[1.34;2.172],Feature 6=[-0.658;0.479],Feature 8=[0.123;Inf]} => {Class=hUd}",0.0123456791043282,0.846153855323792,0.333333333333333,1
"63","{Feature 0=[-2.318;-1.672],Feature 1=[1.34;2.172],Feature 8=[-Inf;0.121]} => {Class=hAd}",0.0426487103104591,0.844444453716278,0.416666666666667,5
"64","{Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 8=[0.123;Inf]} => {Class=hod}",0.0235690232366323,0.839999973773956,0.5,1
"65","{Sex=Male,Feature 0=[-4.261;-3.53],Feature 1=[3.177;Inf],Feature 3=[-Inf;0.147]} => {Class=hod}",0.0280583612620831,0.833333313465118,0.625,5
