"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Feature 1=[-Inf;-0.137]} => {Class=hid}",0.0493827164173126,1,1,44
"2","{Feature 0=[-2.439;Inf],Feature 1=[0.798;3.342],Feature 4=[-0.41;0.424]} => {Class=hAd}",0.043771043419838,1,1,39
"3","{Feature 0=[-2.346;Inf],Feature 1=[-Inf;Inf],Feature 7=[-0.24;0.272]} => {Class=hAd}",0.043771043419838,1,1,12
"4","{Feature 0=[-2.439;Inf],Feature 3=[-Inf;1.136],Feature 4=[-0.41;0.584],Feature 5=[-Inf;0.55]} => {Class=hAd}",0.043771043419838,1,NA,0
"5","{Feature 0=[-Inf;-3.291],Feature 1=[-Inf;0.491]} => {Class=hid}",0.0426487103104591,1,1,20
"6","{Feature 0=[-5.08;-4.211],Feature 4=[-1.023;-0.261]} => {Class=hud}",0.0392817072570324,1,1,35
"7","{Feature 0=[-Inf;-4.676],Feature 2=[-Inf;0.888]} => {Class=hud}",0.0325476974248886,1,1,14
"8","{Feature 0=[-Inf;-4.676],Feature 3=[-Inf;1.461]} => {Class=hud}",0.0325476974248886,1,1,2
"9","{Feature 0=[-Inf;-4.235],Feature 1=[2.438;3.353]} => {Class=hud}",0.0325476974248886,1,1,3
"10","{Sex=Male,Feature 1=[0.557;1.29],Feature 3=[-Inf;0.957],Feature 8=[-Inf;-0.279]} => {Class=hEd}",0.0325476974248886,1,1,29
"11","{Feature 0=[-3.006;-2.343],Feature 1=[2.525;3.391],Feature 4=[-1.447;-0.478]} => {Class=hYd}",0.0314253643155098,1,1,28
"12","{Feature 0=[-2.904;-1.611],Feature 1=[-0.079;1.26],Feature 3=[-0.047;0.716],Feature 8=[-1.049;-0.118]} => {Class=hEd}",0.0314253643155098,1,1,4
"13","{Feature 0=[-Inf;-3.591],Feature 3=[-Inf;0.393],Feature 4=[-Inf;-0.79]} => {Class=hod}",0.030303031206131,1,1,27
"14","{Feature 1=[-Inf;2.051],Feature 4=[-0.524;0.658],Feature 6=[-0.677;-0.308],Feature 7=[-0.592;0.104]} => {Class=hEd}",0.030303031206131,1,1,25
"15","{Feature 0=[-2.439;Inf],Feature 3=[-Inf;Inf],Feature 4=[-0.425;Inf],Feature 7=[-0.24;0.272]} => {Class=hAd}",0.030303031206131,1,NA,0
"16","{Sex=Male,Feature 0=[-Inf;-4.243],Feature 2=[-Inf;0.727]} => {Class=hud}",0.029180696234107,1,1,3
"17","{Sex=Male,Feature 0=[-Inf;-4.475]} => {Class=hud}",0.0280583612620831,1,NA,0
"18","{Feature 0=[-3.816;-2.762],Feature 1=[2.719;3.194],Feature 7=[0.083;1.003]} => {Class=hOd}",0.0280583612620831,1,1,25
"19","{Feature 0=[-2.499;Inf],Feature 1=[1.418;2.525],Feature 7=[-Inf;0.031]} => {Class=hAd}",0.0280583612620831,1,NA,0
"20","{Feature 0=[-Inf;-3.046],Feature 1=[3.129;Inf],Feature 4=[-Inf;-0.917],Feature 6=[-0.65;0.48]} => {Class=hod}",0.0280583612620831,1,1,5
"21","{Sex=Female,Feature 0=[-3.441;Inf],Feature 3=[0.799;Inf],Feature 4=[-0.298;0.537]} => {Class=hEd}",0.0269360262900591,1,1,4
"22","{Feature 0=[-4.001;Inf],Feature 4=[0.469;Inf],Feature 7=[-0.387;0.172]} => {Class=hId}",0.0258136931806803,1,1,23
"23","{Feature 0=[-2.852;Inf],Feature 1=[1.412;2.607],Feature 7=[-0.323;0.109],Feature 8=[-0.431;0.161]} => {Class=hAd}",0.0258136931806803,1,1,2
"24","{Sex=Male,Feature 0=[-3.338;Inf],Feature 1=[0.771;1.167],Feature 8=[-0.988;-0.118]} => {Class=hEd}",0.0258136931806803,1,1,2
"25","{Feature 1=[-Inf;0.85],Feature 8=[-1.479;-0.98]} => {Class=hid}",0.0246913582086563,1,1,6
"26","{Feature 1=[2.433;3.576],Feature 3=[-0.69;0.036],Feature 5=[0.195;Inf],Feature 6=[0.454;0.929]} => {Class=hOd}",0.0235690232366323,1,1,9
"27","{Sex=Female,Feature 0=[-3.033;Inf],Feature 3=[0.834;Inf],Feature 6=[-0.663;0.17]} => {Class=hEd}",0.0235690232366323,1,1,5
"28","{Feature 0=[-Inf;Inf],Feature 1=[1.974;2.755],Feature 3=[-Inf;0.082],Feature 4=[-1.077;-0.418]} => {Class=hYd}",0.0235690232366323,1,1,13
"29","{Feature 4=[0.501;Inf],Feature 7=[-Inf;-0.564]} => {Class=hid}",0.0224466882646084,1,NA,0
"30","{Feature 0=[-5.143;-3.354],Feature 1=[1.954;2.988],Feature 4=[-0.43;0.416],Feature 7=[0.226;Inf]} => {Class=hUd}",0.0224466882646084,1,1,20
"31","{Feature 0=[-3.594;-2.945],Feature 3=[-0.69;0.462],Feature 6=[0.48;0.914]} => {Class=hOd}",0.0213243551552296,1,1,1
"32","{Feature 0=[-3.006;-2.343],Feature 1=[2.642;3.391],Feature 7=[0.207;Inf]} => {Class=hYd}",0.0213243551552296,1,1,5
"33","{Feature 0=[-4.247;Inf],Feature 4=[0.725;Inf],Feature 5=[0.05;1.149],Feature 7=[-0.71;0.127]} => {Class=hId}",0.0213243551552296,1,1,5
"34","{Sex=Female,Feature 0=[-3.39;-2.902],Feature 6=[-1.537;0.442],Feature 7=[0.068;0.975]} => {Class=hed}",0.0202020201832056,1,1,18
"35","{Feature 0=[-Inf;Inf],Feature 3=[-Inf;-0.46],Feature 6=[0.598;Inf],Feature 7=[0.181;1.397]} => {Class=hod}",0.0202020201832056,1,1,16
"36","{Feature 0=[-3.917;-2.596],Feature 1=[2.086;3.059],Feature 4=[-0.37;0.452],Feature 6=[-1.537;0.09]} => {Class=hed}",0.0202020201832056,1,1,10
"37","{Feature 0=[-2.483;-1.093],Feature 1=[0.418;0.786]} => {Class=hEd}",0.0190796852111816,1,1,6
"38","{Feature 4=[-Inf;Inf],Feature 5=[1.696;Inf],Feature 8=[-Inf;-0.838]} => {Class=hid}",0.0190796852111816,1,NA,0
"39","{Feature 0=[-3.591;-1.978],Feature 1=[-0.342;0.431],Feature 8=[-0.93;Inf]} => {Class=hId}",0.0190796852111816,1,1,9
"40","{Feature 0=[-5.011;-3.44],Feature 1=[-Inf;2.775],Feature 3=[-Inf;0.127],Feature 7=[0.053;Inf]} => {Class=hUd}",0.0190796852111816,1,1,2
"41","{Sex=Male,Feature 0=[-3.986;-2.938],Feature 3=[0.167;0.801],Feature 4=[-0.44;0.516]} => {Class=hed}",0.0190796852111816,1,1,15
"42","{Feature 1=[-Inf;3.228],Feature 3=[0.464;0.898],Feature 7=[-Inf;0.04],Feature 8=[-0.37;0.062]} => {Class=hAd}",0.0190796852111816,1,1,10
"43","{Feature 0=[-3.055;-2.058],Feature 1=[1.025;2.143],Feature 6=[-0.212;0.294],Feature 8=[0.086;Inf]} => {Class=had}",0.0190796852111816,1,1,17
"44","{Feature 1=[2.897;3.705],Feature 8=[-Inf;-0.885]} => {Class=hOd}",0.0179573521018028,1,1,12
"45","{Sex=Male,Feature 0=[-3.674;-2.776],Feature 1=[2.796;3.192]} => {Class=hOd}",0.0179573521018028,1,NA,0
"46","{Feature 0=[-3.008;-2.029],Feature 1=[2.023;2.925],Feature 4=[-0.428;Inf]} => {Class=had}",0.0179573521018028,1,1,16
"47","{Feature 0=[-Inf;-2.836],Feature 1=[0.408;0.716],Feature 3=[0.823;1.718]} => {Class=hId}",0.0179573521018028,1,1,8
"48","{Feature 0=[-4.386;-3.478],Feature 3=[0.13;0.996],Feature 8=[-0.005;0.5]} => {Class=hUd}",0.0179573521018028,1,1,13
"49","{Feature 0=[-3.917;-2.911],Feature 3=[-0.665;0.127],Feature 7=[0.293;0.874],Feature 8=[-1.006;-0.013]} => {Class=hOd}",0.0179573521018028,1,1,2
"50","{Feature 0=[-4.718;-3.146],Feature 1=[3.147;Inf],Feature 6=[-0.658;0.48],Feature 8=[-0.009;Inf]} => {Class=hod}",0.0179573521018028,1,NA,0
"51","{Feature 0=[-Inf;-3.983],Feature 6=[-0.397;0.198],Feature 7=[-0.047;Inf],Feature 8=[-0.893;-0.128]} => {Class=hud}",0.0179573521018028,1,1,4
"52","{Feature 0=[-3.029;Inf],Feature 4=[-0.994;-0.478],Feature 7=[-0.671;0.157],Feature 8=[-1.055;-0.003]} => {Class=hYd}",0.0179573521018028,1,1,1
"53","{Feature 0=[-4.394;Inf],Feature 6=[-1.537;-0.634],Feature 7=[-Inf;-0.564]} => {Class=hid}",0.0168350171297789,1,1,1
"54","{Feature 0=[-Inf;Inf],Feature 1=[2.88;Inf],Feature 6=[0.771;Inf]} => {Class=hod}",0.0168350171297789,1,1,1
"55","{Feature 0=[-3.797;-3.206],Feature 1=[1.115;1.968],Feature 3=[0.19;0.719],Feature 5=[0.159;1.577]} => {Class=hed}",0.0168350171297789,1,NA,0
"56","{Sex=Female,Feature 0=[-3.917;-3.024],Feature 3=[-0.665;0.086],Feature 7=[0.239;1.58]} => {Class=hOd}",0.0168350171297789,1,1,3
"57","{Sex=Female,Feature 1=[1.608;2.731],Feature 6=[0.57;Inf],Feature 8=[-1.181;Inf]} => {Class=hYd}",0.0168350171297789,1,1,4
"58","{Sex=Male,Feature 0=[-4.019;-3.02],Feature 3=[0.571;1.561],Feature 4=[-0.649;0.419]} => {Class=hId}",0.0168350171297789,1,1,6
"59","{Feature 0=[-3.055;-2.076],Feature 4=[-0.562;Inf],Feature 8=[0.128;0.848]} => {Class=had}",0.0157126821577549,1,1,2
"60","{Feature 1=[-Inf;0.458],Feature 3=[-0.221;0.803],Feature 6=[-1.537;0.531]} => {Class=hId}",0.0157126821577549,1,1,6
"61","{Sex=Male,Feature 0=[-4.019;-2.98],Feature 3=[0.825;1.586],Feature 8=[-1.113;0.058]} => {Class=hId}",0.0157126821577549,1,NA,0
"62","{Feature 0=[-4.138;-2.624],Feature 3=[0.305;0.706],Feature 4=[-0.37;0.516],Feature 7=[0.115;0.613]} => {Class=hed}",0.0157126821577549,1,NA,0
"63","{Feature 1=[1.061;2.26],Feature 2=[-Inf;-0.065],Feature 3=[1.047;1.857],Feature 7=[-Inf;0.006]} => {Class=hEd}",0.0157126821577549,1,1,1
