"","rules","support","confidence","lift","laplace"
"1","{SPIDERS=no,ALBUMIN=(3.86532258065; Inf]} => {Class=LIVE}",0.434782608695652,1,1.25454545454545,0.983870967741935
"2","{LIVER_FIRM=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.427536231884058,1,1.25454545454545,0.983606557377049
"3","{SPIDERS=no,BILIRUBIN=[-Inf;1.65],PROTIME=(44.5; Inf]} => {Class=LIVE}",0.543478260869565,0.986842105263158,1.23803827751196,0.974358974358974
"4","{BILIRUBIN=[-Inf;1.65],ALBUMIN=(3.86532258065; Inf]} => {Class=LIVE}",0.507246376811594,0.985915492957747,1.23687580025608,0.972602739726027
"5","{LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.65]} => {Class=LIVE}",0.217391304347826,0.967741935483871,1.21407624633431,0.939393939393939
"6","{SEX=male,HISTOLOGY=no} => {Class=LIVE}",0.0797101449275362,1,1.25454545454545,0.923076923076923
"7","{MALAISE=yes,ANOREXIA=no,PROTIME=[-Inf;44.5]} => {Class=DIE}",0.0652173913043478,1,4.92857142857143,0.909090909090909
"8","{ASCITES=yes,BILIRUBIN=(1.65; Inf],HISTOLOGY=yes} => {Class=DIE}",0.0579710144927536,1,4.92857142857143,0.9
"9","{STEROID=yes,LIVER_FIRM=yes,VARICES=no} => {Class=LIVE}",0.115942028985507,0.941176470588235,1.1807486631016,0.894736842105263
"10","{ANOREXIA=no,SPIDERS=yes,BILIRUBIN=(1.65; Inf]} => {Class=DIE}",0.0434782608695652,1,4.92857142857143,0.875
"11","{STEROID=no,FATIGUE=yes,LIVER_BIG=} => {Class=DIE}",0.0289855072463768,1,4.92857142857143,0.833333333333333
"12","{SPLEEN_PALPABLE=,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.0289855072463768,1,1.25454545454545,0.833333333333333
"13","{ANOREXIA=yes,ASCITES=no,VARICES=yes} => {Class=LIVE}",0.0217391304347826,1,1.25454545454545,0.8
"14","{LIVER_FIRM=no,SPIDERS=yes,ALBUMIN=[-Inf;3.86532258065]} => {Class=DIE}",0.0579710144927536,0.8,3.94285714285714,0.75
"15","{ANOREXIA=yes,PROTIME=[-Inf;44.5]} => {Class=LIVE}",0.0217391304347826,0.75,0.940909090909091,0.666666666666667
"16","{SPLEEN_PALPABLE=no,SPIDERS=yes} => {Class=DIE}",0.101449275362319,0.5,2.46428571428571,0.5
"17","{FATIGUE=no,LIVER_FIRM=yes,ALBUMIN=[-Inf;3.86532258065]} => {Class=DIE}",0.0072463768115942,0.166666666666667,0.821428571428572,0.25
