"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;507.5]} => {label=1}",1,1,1
"2","{service=b'private'} => {label=0}",1,1,1
"3","{same_srv_rate=[-Inf;0.195]} => {label=0}",1,1,1
"4","{protocol_type=b'icmp'} => {label=0}",1,1,1
"5","{dst_host_srv_diff_host_rate=(0.005;0.105]} => {label=1}",1,1,1
"6","{flag=b'S0'} => {label=0}",1,1,1
"7","{src_bytes=[-Inf;3.5]} => {label=1}",1,1,1
"8","{service=b'http'} => {label=0}",1,1,1
"9","{is_guest_login=0} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
