"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{dst_bytes=(2;2205.5]} => {label=1}",1,1,1
"3","{protocol_type=b'icmp'} => {label=0}",1,1,1
"4","{diff_srv_rate=(0.035;0.095]} => {label=0}",1,1,1
"5","{service=b'private'} => {label=0}",1,1,1
"6","{flag=b'S0'} => {label=0}",1,1,1
"7","{dst_host_srv_diff_host_rate=(0.005;0.065]} => {label=1}",1,1,1
"8","{dst_host_diff_srv_rate=(0.005;0.015]} => {label=1}",1,1,1
"9","{X=(11489;26603]} => {label=1}",1,1,1
"10","{srv_diff_host_rate=(0.005;0.275]} => {label=1}",1,1,1
"11","{dst_bytes=(2453.5;8302.5]} => {label=1}",1,1,1
"12","{dst_host_same_srv_rate=(0.015;0.085]} => {label=1}",1,1,1
"13","{dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"14","{logged_in=1} => {label=0}",1,1,1
"15","{service=b'http'} => {label=1}",1,1,1
"16","{dst_host_count=(6.5;175.5]} => {label=1}",1,1,1
"17","{} => {label=0}",1,1,1
