"","rules","support","confidence","orderedConf","orderedSupp"
"1","{dst_bytes=[4;2205]} => {label=1}",0.121911108493805,0.997998893260956,0.997998908495543,5486
"2","{dst_host_srv_diff_host_rate=[0.01;0.06]} => {label=1}",0.0847555547952652,0.997645854949951,0.994267515923567,1561
"3","{src_bytes=[29;333]} => {label=1}",0.14926666021347,0.997475504875183,0.99327731092437,1182
"4","{srv_diff_host_rate=[0.01;0.27]} => {label=1}",0.0389555543661118,0.997155845165253,0.888888888888889,32
"5","{dst_bytes=[2454;8291]} => {label=1}",0.0274888891726732,0.993574321269989,0.857142857142857,48
"6","{X=[11494;39713]} => {label=1}",0.0551111102104187,0.98804783821106,0.545454545454545,24
"7","{dst_host_diff_srv_rate=0.01} => {label=1}",0.026688888669014,0.978013038635254,0.133333333333333,4
"8","{dst_host_count=[7;175]} => {label=1}",0.0856444463133812,0.96809846162796,0.735042735042735,258
"9","{service=b'http'} => {label=1}",0.125911116600037,0.958227634429932,0.562790697674419,242
"10","{} => {label=0}",0.802511096000671,0.802511096000671,0.998603195887809,35746
