"","rules","support","confidence","orderedConf","orderedSupp"
"1","{same_srv_rate=[-Inf;0.1]} => {label=0}",0.183277770876884,1,1,6598
"2","{X=[26776;39717]} => {label=1}",0.0253055561333895,1,1,911
"3","{flag=b'S0'} => {label=0}",0.176972225308418,0.999529361724854,0.997368421052632,1137
"4","{dst_bytes=[4;2196]} => {label=1}",0.118555553257465,0.99859619140625,0.998394863563403,3732
"5","{dst_host_srv_diff_host_rate=[0.01;0.08]} => {label=1}",0.0866388902068138,0.998399496078491,0.997257769652651,1091
"6","{src_bytes=[29;333]} => {label=1}",0.145861104130745,0.997909545898438,0.992932862190813,843
"7","{protocol_type=b'icmp'} => {label=0}",0.571388900279999,0.995402872562408,1,20570
"8","{dst_bytes=[2456;8302]} => {label=1}",0.0272499993443489,0.992914974689484,0.842105263157895,32
"9","{dst_host_same_srv_rate=[0.59;0.99]} => {label=1}",0.039583332836628,0.992339849472046,0.739130434782609,17
"10","{dst_host_same_src_port_rate=[0.01;0.99]} => {label=1}",0.119111113250256,0.952254056930542,0.684536082474227,332
"11","{} => {label=0}",0.804194450378418,0.804194450378418,0.84115523465704,466
