dataset,accuracy,rules,antlength,buildtime
hepatitis,0.768823529411765,3.8,0.73,0.474
ionosphere,0.914383753501401,6,0.832380952380952,0.795
sonar,0.643636363636364,3.8,0.733333333333333,0.683
spambase,0.842420251636761,8.5,0.881388888888889,2.514
australian,0.839172451589331,4.2,0.76,0.665
breast-w,0.931281311054734,5,0.796666666666667,0.767
colic,0.85632606290501,3.8,0.733333333333333,0.71
credit-a,0.833312629399586,4.4,0.77,0.6
credit-g,0.69,3.9,0.735,0.781
diabetes,0.747470950102529,5.5,0.816666666666667,0.995
heart-statlog,0.748148148148148,3.4,0.7,0.677
